DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20241110 07:18:58;20241110 10:18:58;7.6;271;1;296;1
20241110 09:18:59;20241110 12:18:59;12.7;271;1;296;1
20241110 07:33:57;20241110 10:33:57;8.6;271;1;296;1
20241110 08:18:57;20241110 11:18:57;11.0;271;1;296;1
20241110 09:34:00;20241110 12:34:00;12.8;271;1;296;1
20241110 10:34:02;20241110 13:34:02;12.0;271;1;296;1
20241110 12:04:06;20241110 15:04:06;7.5;271;1;296;1
20241110 08:33:57;20241110 11:33:57;11.6;271;1;296;1
20241110 11:19:03;20241110 14:19:03;10.3;271;1;296;1
20241110 11:49:06;20241110 14:49:06;8.5;271;1;296;1
20241110 10:19:02;20241110 13:19:02;12.4;271;1;296;1
20241110 07:48:56;20241110 10:48:56;9.5;271;1;296;1
20241110 11:04:05;20241110 14:04:05;11.0;271;1;296;1
20241110 12:34:11;20241110 15:34:11;5.2;271;1;296;1
20241110 12:19:11;20241110 15:19:11;6.4;271;1;296;1
20241110 09:49:01;20241110 12:49:01;12.8;271;1;296;1
20241110 10:04:01;20241110 13:04:01;12.6;271;1;296;1
20241110 11:34:05;20241110 14:34:05;9.5;271;1;296;1
20241110 08:03:56;20241110 11:03:56;10.3;271;1;296;1
20241110 10:49:02;20241110 13:49:02;11.6;271;1;296;1
20241110 07:03:56;20241110 10:03:56;6.5;271;1;296;1
20241110 06:49:01;20241110 09:49:01;5.3;271;1;296;1
20241110 08:48:54;20241110 11:48:54;12.1;271;1;296;1
20241110 09:03:55;20241110 12:03:55;12.4;271;1;296;1
