DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20241106 06:36:17;20241106 08:36:17;5.1;275;1;294;1
20241106 06:51:18;20241106 08:51:18;6.4;274;1;286;1
20241106 07:06:13;20241106 09:06:13;7.6;274;1;288;1
20241106 07:21:17;20241106 09:21:17;8.7;269;1;291;1
20241106 07:36:14;20241106 09:36:14;9.7;268;1;293;1
20241106 07:51:14;20241106 09:51:14;10.7;266;1;294;1
20241106 08:06:15;20241106 10:06:15;11.5;267;1;294;1
20241106 08:21:15;20241106 10:21:15;12.2;269;1;294;1
20241106 08:36:17;20241106 10:36:17;12.8;268;1;293;1
20241106 08:51:17;20241106 10:51:17;13.3;270;1;296;1
20241106 09:06:13;20241106 11:06:13;13.6;272;1;297;1
20241106 09:21:13;20241106 11:21:13;13.9;273;1;300;1
20241106 09:36:11;20241106 11:36:11;14.0;274;1;300;1
20241106 09:51:13;20241106 11:51:13;14.0;271;1;297;1
20241106 10:06:14;20241106 12:06:14;13.9;272;1;298;1
20241106 10:21:14;20241106 12:21:14;13.6;271;1;299;1
20241106 10:36:15;20241106 12:36:15;13.3;272;1;298;1
20241106 10:51:15;20241106 12:51:15;12.8;273;1;297;1
20241106 11:06:15;20241106 13:06:15;12.2;273;1;297;1
20241106 11:21:16;20241106 13:21:16;11.5;274;1;298;1
20241106 11:36:20;20241106 13:36:20;10.7;274;1;298;1
20241106 11:51:21;20241106 13:51:21;9.8;274;1;297;1
20241106 12:06:17;20241106 14:06:17;8.8;280;1;299;1
20241106 12:21:22;20241106 14:21:22;7.6;278;1;295;1
20241106 12:36:29;20241106 14:36:29;6.4;277;1;291;1
20241106 12:51:30;20241106 14:51:30;5.2;276;1;296;1
