DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20241105 09:02:51;20241105 12:02:51;13.9;268;1;279;1
20241105 11:18:02;20241105 14:18:02;11.7;268;1;279;1
20241105 09:17:52;20241105 12:17:52;14.1;268;1;279;1
20241105 11:33:03;20241105 14:33:03;10.9;268;1;279;1
20241105 07:02:56;20241105 10:02:56;7.8;268;1;279;1
20241105 07:17:57;20241105 10:17:57;9.0;268;1;279;1
20241105 08:03:06;20241105 11:03:06;11.7;268;1;279;1
20241105 12:33:21;20241105 15:33:21;6.6;268;1;279;1
20241105 11:02:56;20241105 14:02:56;12.4;268;1;279;1
20241105 08:17:42;20241105 11:17:42;12.4;268;1;279;1
20241105 12:18:11;20241105 15:18:11;7.8;268;1;279;1
20241105 10:02:54;20241105 13:02:54;14.1;268;1;279;1
20241105 07:48:04;20241105 10:48:04;10.9;268;1;279;1
20241105 10:17:54;20241105 13:17:54;13.9;268;1;279;1
20241105 10:32:55;20241105 13:32:55;13.5;268;1;279;1
20241105 09:47:53;20241105 12:47:53;14.2;268;1;279;1
20241105 12:03:05;20241105 15:03:05;9.0;268;1;279;1
20241105 08:32:50;20241105 11:32:50;13.0;268;1;279;1
20241105 06:32:59;20241105 09:32:59;5.4;268;1;279;1
20241105 11:48:04;20241105 14:48:04;10.0;268;1;279;1
20241105 10:47:56;20241105 13:47:56;13.0;268;1;279;1
20241105 07:32:55;20241105 10:32:55;10.0;268;1;279;1
20241105 09:32:52;20241105 12:32:52;14.2;268;1;279;1
20241105 12:48:22;20241105 15:48:22;5.3;268;1;279;1
20241105 06:47:56;20241105 09:47:56;6.6;268;1;279;1
20241105 08:47:50;20241105 11:47:50;13.5;268;1;279;1
