DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20241108 06:57:34;20241108 09:57:34;6.6;262;1;277;1
20241108 07:27:32;20241108 10:27:32;8.7;262;1;277;1
20241108 08:57:29;20241108 11:57:29;12.8;262;1;277;1
20241108 08:42:33;20241108 11:42:33;12.4;262;1;277;1
20241108 06:42:34;20241108 09:42:34;5.3;262;1;277;1
20241108 10:42:36;20241108 13:42:36;12.3;262;1;277;1
20241108 09:27:30;20241108 12:27:30;13.3;262;1;277;1
20241108 09:42:30;20241108 12:42:30;13.3;262;1;277;1
20241108 10:57:33;20241108 13:57:33;11.8;262;1;277;1
20241108 10:27:35;20241108 13:27:35;12.8;262;1;277;1
20241108 12:12:45;20241108 15:12:45;7.4;262;1;277;1
20241108 07:42:33;20241108 10:42:33;9.7;262;1;277;1
20241108 09:57:31;20241108 12:57:31;13.3;262;1;277;1
20241108 08:27:35;20241108 11:27:35;11.9;262;1;277;1
20241108 07:57:33;20241108 10:57:33;10.5;262;1;277;1
20241108 10:12:35;20241108 13:12:35;13.1;262;1;277;1
20241108 12:27:45;20241108 15:27:45;6.3;262;1;277;1
20241108 11:12:38;20241108 14:12:38;11.1;262;1;277;1
20241108 11:42:41;20241108 14:42:41;9.5;262;1;277;1
20241108 11:57:45;20241108 14:57:45;8.5;262;1;277;1
20241108 11:27:40;20241108 14:27:40;10.3;262;1;277;1
20241108 08:12:34;20241108 11:12:34;11.3;262;1;277;1
20241108 09:12:30;20241108 12:12:30;13.1;262;1;277;1
20241108 12:42:52;20241108 15:42:52;5.0;262;1;277;1
20241108 07:12:37;20241108 10:12:37;7.7;262;1;277;1
