DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20241102 06:23:33;20241102 08:23:33;5.1;442;1;401;1
20241102 06:38:29;20241102 08:38:29;6.5;451;1;408;1
20241102 06:53:29;20241102 08:53:29;7.7;438;1;403;1
20241102 07:08:30;20241102 09:08:30;8.9;432;1;408;1
20241102 07:23:29;20241102 09:23:29;10.1;419;1;408;1
20241102 07:38:32;20241102 09:38:32;11.1;420;1;404;1
20241102 07:53:31;20241102 09:53:31;12.0;419;1;407;1
20241102 08:08:27;20241102 10:08:27;12.8;419;1;406;1
20241102 08:23:28;20241102 10:23:28;13.5;426;1;408;1
20241102 08:38:29;20241102 10:38:29;14.1;425;1;407;1
20241102 08:53:30;20241102 10:53:30;14.6;433;1;412;1
20241102 09:08:30;20241102 11:08:30;14.9;436;1;413;1
20241102 09:23:31;20241102 11:23:31;15.1;433;1;411;1
20241102 09:38:32;20241102 11:38:32;15.2;432;1;410;1
20241102 09:53:38;20241102 11:53:38;15.2;441;1;415;1
20241102 10:08:38;20241102 12:08:38;15.1;441;1;415;1
20241102 10:23:55;20241102 12:23:55;14.8;456;1;423;1
20241102 10:38:41;20241102 12:38:41;14.4;457;1;424;1
20241102 10:53:40;20241102 12:53:40;13.9;450;1;420;1
20241102 11:08:26;20241102 13:08:26;13.3;473;1;418;1
20241102 11:23:34;20241102 13:23:34;12.6;443;1;416;1
20241102 11:38:39;20241102 13:38:39;11.7;454;1;425;1
20241102 11:53:45;20241102 13:53:45;10.8;462;1;425;1
20241102 12:08:39;20241102 14:08:39;9.8;470;1;429;1
20241102 12:23:46;20241102 14:23:46;8.6;472;1;423;1
20241102 12:38:53;20241102 14:38:53;7.4;519;1;429;1
20241102 12:54:09;20241102 14:54:09;6.0;568;1;464;1
