DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20241104 07:14:45;20241104 10:14:45;9,0;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 06:59:44;20241104 09:59:44;7,9;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 07:29:45;20241104 10:29:45;10,1;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 08:59:41;20241104 11:59:41;14,1;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 12:44:58;20241104 15:44:58;5,9;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 09:14:42;20241104 12:14:42;14,4;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 09:29:43;20241104 12:29:43;14,5;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 10:29:48;20241104 13:29:48;13,9;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 10:14:44;20241104 13:14:44;14,2;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 10:59:49;20241104 13:59:49;12,9;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 09:59:44;20241104 12:59:44;14,4;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 11:44:52;20241104 14:44:52;10,5;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 08:29:45;20241104 11:29:45;13,2;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 06:29:47;20241104 09:29:47;5,4;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 08:14:44;20241104 11:14:44;12,6;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 07:59:44;20241104 10:59:44;11,8;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 10:44:45;20241104 13:44:45;13,4;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 12:29:53;20241104 15:29:53;7,2;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 12:14:53;20241104 15:14:53;8,4;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 09:44:43;20241104 12:44:43;14,5;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 07:44:45;20241104 10:44:45;11,0;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 11:59:52;20241104 14:59:52;9,5;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 11:14:49;20241104 14:14:49;12,2;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 11:29:50;20241104 14:29:50;11,4;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 06:44:47;20241104 09:44:47;6,7;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 08:44:45;20241104 11:44:45;13,7;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
20241104 12:59:58;20241104 15:59:58;4,6;308;0,0486;0,6621;0,9523;0,9969;1;324;0,1075;1,1102;0,9978;0,9885;1
