DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20241106 10:06:14;20241106 13:06:14;13.8;265;1;290;1
20241106 11:51:21;20241106 14:51:21;9.5;265;1;290;1
20241106 12:36:29;20241106 15:36:29;6.1;265;1;290;1
20241106 11:06:15;20241106 14:06:15;12.0;265;1;290;1
20241106 12:21:22;20241106 15:21:22;7.3;265;1;290;1
20241106 12:51:30;20241106 15:51:30;4.8;265;1;290;1
20241106 08:06:15;20241106 11:06:15;11.6;265;1;290;1
20241106 11:21:16;20241106 14:21:16;11.3;265;1;290;1
20241106 09:06:13;20241106 12:06:13;13.6;265;1;290;1
20241106 07:06:13;20241106 10:06:13;7.8;265;1;290;1
20241106 11:36:20;20241106 14:36:20;10.4;265;1;290;1
20241106 09:36:11;20241106 12:36:11;13.9;265;1;290;1
20241106 09:21:13;20241106 12:21:13;13.8;265;1;290;1
20241106 06:51:18;20241106 09:51:18;6.6;265;1;290;1
20241106 07:21:17;20241106 10:21:17;8.9;265;1;290;1
20241106 08:51:17;20241106 11:51:17;13.3;265;1;290;1
20241106 07:36:14;20241106 10:36:14;9.9;265;1;290;1
20241106 08:36:17;20241106 11:36:17;12.8;265;1;290;1
20241106 09:51:13;20241106 12:51:13;13.9;265;1;290;1
20241106 06:36:17;20241106 09:36:17;5.4;265;1;290;1
20241106 08:21:15;20241106 11:21:15;12.3;265;1;290;1
20241106 07:51:14;20241106 10:51:14;10.8;265;1;290;1
20241106 12:06:17;20241106 15:06:17;8.4;265;1;290;1
20241106 10:36:15;20241106 13:36:15;13.1;265;1;290;1
20241106 10:21:14;20241106 13:21:14;13.5;265;1;290;1
20241106 10:51:15;20241106 13:51:15;12.6;265;1;290;1
