DatetimeUTC;DatetimeLocal;Sunheight[°];UV-A[mWt/m^2];UV-B[mWt/m^2];UV-E[mWt/m^2]
20230512 01:39:25;20230512 04:39:25;0.2;63;4;3
20230512 01:44:25;20230512 04:44:25;0.7;55;0;0
20230512 01:49:25;20230512 04:49:25;1.3;70;-1;0
20230512 01:54:26;20230512 04:54:26;1.8;95;2;2
20230512 01:59:26;20230512 04:59:26;2.3;129;3;1
20230512 02:04:26;20230512 05:04:26;2.8;133;2;1
20230512 02:09:26;20230512 05:09:26;3.4;132;-3;-2
20230512 02:14:26;20230512 05:14:26;3.9;176;2;1
20230512 02:19:45;20230512 05:19:45;4.5;16662;-5;4
20230512 02:25:03;20230512 05:25:03;5.1;16316;-8;3
20230512 02:30:04;20230512 05:30:04;5.6;19031;-2;8
20230512 02:35:04;20230512 05:35:04;6.2;19364;-4;7
20230512 02:40:05;20230512 05:40:05;6.8;19687;-10;5
20230512 02:44:05;20230512 05:44:05;7.2;-1053012;-286434;-145982
20230512 02:46:59;20230512 05:46:59;7.5;-56187;-13571;-4672
20230512 02:49:14;20230512 05:49:14;7.8;-65019;-16999;-8632
20230512 02:55:09;20230512 05:55:09;8.5;24272;-8;10
20230512 03:00:09;20230512 06:00:09;9.1;23483;-18;6
20230512 03:05:10;20230512 06:05:10;9.7;23771;-11;9
20230512 03:10:10;20230512 06:10:10;10.3;23814;-10;9
20230512 03:15:10;20230512 06:15:10;10.9;24222;-17;6
20230512 03:19:59;20230512 06:19:59;11.4;-17;-3;-1
20230512 03:24:47;20230512 06:24:47;12.0;1068;-4;-2
20230512 03:29:47;20230512 06:29:47;12.6;1079;-5;-2
20230512 03:35:06;20230512 06:35:06;13.3;23332;-16;7
20230512 03:40:06;20230512 06:40:06;13.9;23839;-13;8
20230512 03:45:07;20230512 06:45:07;14.5;23967;-7;11
20230512 03:50:16;20230512 06:50:16;15.1;23855;-18;6
20230512 03:55:16;20230512 06:55:16;15.7;-62;-17;-9
20230512 04:00:17;20230512 07:00:17;16.4;24858;-16;9
20230512 04:04:59;20230512 07:04:59;17.0;-26;-7;-2
20230512 04:09:50;20230512 07:09:50;17.6;1299;0;0
20230512 04:14:59;20230512 07:14:59;18.2;26761;-9;12
20230512 04:19:59;20230512 07:19:59;18.8;27555;-12;10
20230512 04:24:51;20230512 07:24:51;19.4;9;1;1
20230512 04:29:51;20230512 07:29:51;20.1;-11;-2;0
20230512 04:34:51;20230512 07:34:51;20.7;-31;-6;-4
20230512 04:39:51;20230512 07:39:51;21.3;14;1;0
20230512 04:44:51;20230512 07:44:51;21.9;-2;-2;-1
20230512 04:49:51;20230512 07:49:51;22.6;-3;-1;0
20230512 04:54:52;20230512 07:54:52;23.2;-11;-2;-1
20230512 04:59:52;20230512 07:59:52;23.8;5;0;0
20230512 05:04:52;20230512 08:04:52;24.4;0;-1;0
20230512 05:09:52;20230512 08:09:52;25.1;-19;-3;-2
20230512 05:14:52;20230512 08:14:52;25.7;-11;-2;-1
20230512 05:19:52;20230512 08:19:52;26.3;16;2;0
20230512 05:24:52;20230512 08:24:52;26.9;-16;-2;-1
20230512 05:29:53;20230512 08:29:53;27.5;-1;0;0
20230512 05:34:53;20230512 08:34:53;28.2;-3;0;0
20230512 05:39:53;20230512 08:39:53;28.8;13;0;0
20230512 05:44:53;20230512 08:44:53;29.4;-9;-2;-1
20230512 05:49:53;20230512 08:49:53;30.0;-6;0;-1
20230512 05:54:53;20230512 08:54:53;30.6;-18;-3;-2
20230512 05:59:53;20230512 08:59:53;31.2;8;0;0
20230512 06:04:53;20230512 09:04:53;31.8;10;1;0
20230512 06:09:54;20230512 09:09:54;32.3;-9;-1;0
20230512 06:25:52;20230512 09:25:52;34.2;14145;318;23
20230512 06:30:18;20230512 09:30:18;34.7;12835;274;20
20230512 06:36:18;20230512 09:36:18;35.4;14265;316;23
20230512 06:39:45;20230512 09:39:45;35.7;0;3;0
20230512 06:44:45;20230512 09:44:45;36.3;-16;-3;0
