DatetimeUTC;DatetimeLocal;Sunheight[°];UV-A[mWt/m^2];UV-B[mWt/m^2];UV-E[mWt/m^2]
20230511 19:16:38;20230511 22:16:38;-5.9;-2313;-560;0
20230511 19:55:32;20230511 22:55:32;-8.6;-9;-2;-1
20230511 19:58:12;20230511 22:58:12;-8.7;-3943;-1192;-517
20230511 20:04:23;20230511 23:04:23;-9.1;-6140;-1682;-667
20230511 20:09:21;20230511 23:09:21;-9.3;48;13;6
20230511 20:14:51;20230511 23:14:51;-9.6;13;2;0
20230511 20:32:27;20230511 23:32:27;-10.4;-17;-3;-1
20230511 20:44:18;20230511 23:44:18;-10.9;-3;-2;-2
