	MuEff				
4	Ozone	number			
75	Mueff	number			
0.05	Mueff	step			
290	317	370	470	Ozon	number
0.368995984	0.339733683	0.321611591	0.280042835	1.1	
0.35172071	0.324706765	0.303236915	0.263052696	1.15	
0.335334674	0.310023686	0.285989237	0.247257636	1.2	
0.319797647	0.295729836	0.269809532	0.232576561	1.25	
0.305070772	0.281863659	0.254641064	0.218933157	1.3	
0.291116538	0.2684571	0.240429337	0.206255688	1.35	
0.27789875	0.255536043	0.22712204	0.194476795	1.4	
0.265382502	0.243120734	0.214668992	0.183533291	1.45	
0.25353415	0.231226196	0.203022096	0.173365976	1.5	
0.242321286	0.219862628	0.192135281	0.163919447	1.55	
0.231712708	0.20903579	0.181964456	0.155141911	1.6	
0.221678395	0.198747384	0.172467457	0.14698501	1.65	
0.212189479	0.188995408	0.163603995	0.139403646	1.7	
0.203218222	0.179774514	0.155335611	0.132355812	1.75	
0.194737984	0.17107634	0.147625621	0.125802426	1.8	
0.186723203	0.162889841	0.140439074	0.119707174	1.85	
0.179149366	0.155201597	0.133742695	0.114036354	1.9	
0.171992982	0.147996113	0.127504844	0.108758721	1.95	
0.165231559	0.141256114	0.121695467	0.10384535	2	
0.158843578	0.134962813	0.116286047	0.099269489	2.05	
0.152808468	0.129096177	0.111249557	0.095006422	2.1	
0.147106582	0.123635178	0.106560419	0.091033343	2.15	
0.141719168	0.118558033	0.102194451	0.087329224	2.2	
0.13662835	0.113842427	0.098128827	0.083874696	2.25	
0.131817103	0.109465728	0.09434203	0.080651931	2.3	
0.127269223	0.105405187	0.090813809	0.077644527	2.35	
0.122969311	0.101638128	0.087525134	0.074837406	2.4	
0.118902744	0.098142126	0.084458153	0.072216702	2.45	
0.115055654	0.094895165	0.081596147	0.069769672	2.5	
0.111414904	0.091875796	0.078923492	0.067484596	2.55	
0.107968063	0.089063272	0.076425612	0.06535069	2.6	
0.104703387	0.086437675	0.074088942	0.063358021	2.65	
0.101609793	0.083980033	0.071900883	0.061497429	2.7	
0.098676837	0.081672416	0.06984976	0.059760451	2.75	
0.095894693	0.079498032	0.06792479	0.05813925	2.8	
0.09325413	0.0774413	0.066116032	0.056626552	2.85	
0.09074649	0.075487914	0.064414353	0.055215583	2.9	
0.088363666	0.073624898	0.06281139	0.053900013	2.95	
0.086098081	0.071840643	0.061299508	0.052673909	3	
0.083942667	0.070124935	0.059871763	0.051531681	3.05	
0.081890842	0.068468969	0.058521868	0.050468047	3.1	
0.079936492	0.066865355	0.05724415	0.049477992	3.15	
0.078073946	0.065308103	0.056033517	0.048556737	3.2	
0.076297961	0.063792602	0.054885422	0.047699712	3.25	
0.074603696	0.062315588	0.053795826	0.04690253	3.3	
0.072986696	0.060875093	0.052761163	0.046160975	3.35	
0.071442869	0.059470387	0.051778304	0.045470979	3.4	
0.06996847	0.058101906	0.050844524	0.044828623	3.45	
0.068560076	0.056771166	0.049957469	0.044230127	3.5	
0.067214572	0.055480668	0.04911512	0.043671851	3.55	
0.065929127	0.054233787	0.048315761	0.043150305	3.6	
0.064701181	0.05303465	0.047557948	0.042662152	3.65	
0.063528419	0.051888003	0.046840473	0.042204229	3.7	
0.062408759	0.050799064	0.046162337	0.041773562	3.75	
0.061340327	0.049773363	0.045522714	0.041367393	3.8	
0.060321446	0.048816572	0.044920924	0.04098321	3.85	
0.059350611	0.047934318	0.044356401	0.040618775	3.9	
0.058426479	0.047131991	0.043828663	0.040272171	3.95	
0.057547842	0.046414531	0.043337283	0.039941835	4	
0.056713617	0.045786209	0.042881861	0.039626616	4.05	
0.055922826	0.045250393	0.042461991	0.03932582	4.1	
0.055174578	0.044809304	0.04207724	0.039039271	4.15	
0.054468056	0.044463751	0.041727114	0.038767372	4.2	
0.053802494	0.044212869	0.041411034	0.038511171	4.25	
0.053177168	0.044053828	0.041128309	0.038272433	4.3	
0.052591371	0.043981542	0.040878108	0.038053717	4.35	
0.052044408	0.043988359	0.040659438	0.037858457	4.4	
0.051535569	0.044063739	0.040471112	0.037691044	4.45	
0.051064121	0.044193925	0.040311733	0.037556921	4.5	
0.050629288	0.044361593	0.040179661	0.037462677	4.55	
0.05023024	0.044545498	0.040072993	0.037416143	4.6	
0.049866074	0.044720101	0.03998954	0.0374265	4.65	
0.0495358	0.044855188	0.039926803	0.037504389	4.7	
0.049238328	0.044915471	0.039881949	0.037662023	4.75	
0.048972452	0.044860189	0.039851791	0.037913303	4.8	
0.048736837	0.044642678	0.039832764	0.038273947	4.85	
0.048530002	0.044209946	0.039820907	0.038761614	4.9	
