DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250415 03:16:17;20250415 06:16:17;3.4;437;1;411;1
20250415 03:30:34;20250415 06:30:34;5.1;444;1;411;1
20250415 03:45:34;20250415 06:45:34;7.0;389;1;381;1
20250415 04:00:31;20250415 07:00:31;8.9;414;1;401;1
20250415 04:16:03;20250415 07:16:03;10.8;398;1;397;1
20250415 04:30:32;20250415 07:30:32;12.6;387;1;387;1
20250415 04:45:33;20250415 07:45:33;14.5;390;1;388;1
20250415 05:00:34;20250415 08:00:34;16.4;394;1;393;1
20250415 05:15:35;20250415 08:15:35;18.2;391;1;390;1
20250415 05:30:35;20250415 08:30:35;20.0;395;1;392;1
20250415 05:45:36;20250415 08:45:36;21.8;394;1;393;1
20250415 06:00:37;20250415 09:00:37;23.6;395;1;392;1
20250415 06:15:38;20250415 09:15:38;25.3;393;1;391;1
20250415 06:30:39;20250415 09:30:39;27.0;395;1;389;1
20250415 06:45:40;20250415 09:45:40;28.6;392;1;386;1
20250415 07:00:41;20250415 10:00:41;30.1;390;1;385;1
20250415 07:15:41;20250415 10:15:41;31.6;390;1;383;1
20250415 07:30:41;20250415 10:30:41;32.9;391;1;382;1
20250415 07:45:42;20250415 10:45:42;34.2;390;1;381;1
20250415 08:00:44;20250415 11:00:44;35.4;390;1;381;1
20250415 08:15:44;20250415 11:15:44;36.4;390;1;383;1
20250415 08:30:45;20250415 11:30:45;37.4;391;1;382;1
20250415 08:45:45;20250415 11:45:45;38.1;393;1;385;1
20250415 09:00:46;20250415 12:00:46;38.8;397;1;387;1
20250415 09:15:46;20250415 12:15:46;39.3;400;1;389;1
20250415 09:30:47;20250415 12:30:47;39.7;401;1;389;1
20250415 09:45:48;20250415 12:45:48;39.9;403;1;392;1
20250415 10:00:48;20250415 13:00:48;39.9;406;1;393;1
20250415 10:15:48;20250415 13:15:48;39.8;406;1;393;1
20250415 10:30:49;20250415 13:30:49;39.5;406;1;391;1
20250415 10:45:49;20250415 13:45:49;39.1;403;1;392;1
20250415 11:00:49;20250415 14:00:49;38.6;399;1;389;1
20250415 11:15:49;20250415 14:15:49;37.8;396;1;389;1
20250415 11:30:50;20250415 14:30:50;37.0;394;1;387;1
20250415 11:45:50;20250415 14:45:50;36.0;395;1;387;1
20250415 12:00:51;20250415 15:00:51;34.9;393;1;388;1
20250415 12:15:51;20250415 15:15:51;33.7;390;1;386;1
20250415 12:30:52;20250415 15:30:52;32.4;389;1;386;1
20250415 12:45:52;20250415 15:45:52;31.0;387;1;385;1
20250415 13:00:52;20250415 16:00:52;29.5;385;1;382;1
20250415 13:15:52;20250415 16:15:52;27.9;383;1;384;1
20250415 13:30:53;20250415 16:30:53;26.3;382;1;383;1
20250415 13:45:53;20250415 16:45:53;24.6;381;1;381;1
20250415 14:00:54;20250415 17:00:54;22.9;380;1;380;1
20250415 14:15:54;20250415 17:15:54;21.1;380;1;383;1
20250415 14:30:55;20250415 17:30:55;19.3;379;1;381;1
20250415 14:45:55;20250415 17:45:55;17.5;378;1;379;1
20250415 15:01:00;20250415 18:01:00;15.6;376;1;378;1
20250415 15:16:01;20250415 18:16:01;13.8;371;1;376;1
20250415 15:31:02;20250415 18:31:02;11.9;364;1;374;1
20250415 15:46:35;20250415 18:46:35;9.9;367;1;378;1
20250415 16:01:35;20250415 19:01:35;8.1;364;1;376;1
20250415 16:16:42;20250415 19:16:42;6.2;359;1;376;1
20250415 16:31:46;20250415 19:31:46;4.4;359;1;380;1
