DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250414 03:19:09;20250414 06:19:09;3.4;390;1;378;1
20250414 03:33:27;20250414 06:33:27;5.1;361;1;366;1
20250414 03:48:28;20250414 06:48:28;7.0;360;1;364;1
20250414 04:03:28;20250414 07:03:28;8.9;359;1;361;1
20250414 04:18:28;20250414 07:18:28;10.8;351;1;353;1
20250414 04:33:29;20250414 07:33:29;12.6;347;1;347;1
20250414 04:48:26;20250414 07:48:26;14.5;356;1;356;1
20250414 05:03:27;20250414 08:03:27;16.4;354;1;352;1
20250414 05:18:28;20250414 08:18:28;18.2;353;1;351;1
20250414 05:33:29;20250414 08:33:29;20.0;354;1;351;1
20250414 05:48:29;20250414 08:48:29;21.8;353;1;350;1
20250414 06:03:30;20250414 09:03:30;23.6;353;1;349;1
20250414 06:18:30;20250414 09:18:30;25.3;354;1;350;1
20250414 06:33:00;20250414 09:33:00;26.9;354;1;348;1
20250414 06:48:31;20250414 09:48:31;28.5;354;1;351;1
20250414 07:03:33;20250414 10:03:33;30.0;356;1;353;1
20250414 07:18:33;20250414 10:18:33;31.5;357;1;351;1
20250414 07:33:34;20250414 10:33:34;32.8;356;1;350;1
20250414 07:48:35;20250414 10:48:35;34.1;355;1;349;1
20250414 08:03:36;20250414 11:03:36;35.2;358;1;351;1
20250414 08:18:37;20250414 11:18:37;36.3;357;1;353;1
20250414 08:33:38;20250414 11:33:38;37.2;358;1;355;1
20250414 08:48:38;20250414 11:48:38;37.9;358;1;354;1
20250414 09:03:39;20250414 12:03:39;38.6;358;1;357;1
20250414 09:18:39;20250414 12:18:39;39.0;358;1;355;1
20250414 09:33:41;20250414 12:33:41;39.4;359;1;356;1
20250414 09:48:42;20250414 12:48:42;39.5;359;1;354;1
20250414 10:03:42;20250414 13:03:42;39.6;359;1;355;1
20250414 10:18:42;20250414 13:18:42;39.4;360;1;359;1
20250414 10:33:12;20250414 13:33:12;39.1;354;1;353;1
20250414 10:48:12;20250414 13:48:12;38.7;350;1;352;1
20250414 11:03:13;20250414 14:03:13;38.1;348;1;351;1
20250414 11:18:44;20250414 14:18:44;37.3;359;1;363;1
20250414 11:33:14;20250414 14:33:14;36.5;345;1;351;1
20250414 11:48:45;20250414 14:48:45;35.5;350;1;350;1
20250414 12:03:15;20250414 15:03:15;34.4;349;1;352;1
20250414 12:18:46;20250414 15:18:46;33.1;360;1;365;1
20250414 12:33:16;20250414 15:33:16;31.9;356;1;362;1
20250414 12:48:47;20250414 15:48:47;30.4;360;1;372;1
20250414 13:04:50;20250414 16:04:50;28.8;363;1;373;1
20250414 13:18:18;20250414 16:18:18;27.4;365;1;369;1
20250414 13:33:49;20250414 16:33:49;25.7;364;1;370;1
20250414 13:48:49;20250414 16:48:49;24.0;365;1;376;1
20250414 14:04:52;20250414 17:04:52;22.2;381;1;387;1
20250414 14:18:50;20250414 17:18:50;20.5;380;1;385;1
20250414 14:33:51;20250414 17:33:51;18.7;388;1;390;1
20250414 14:48:55;20250414 17:48:55;16.9;385;1;385;1
20250414 15:04:35;20250414 18:04:35;14.9;405;1;402;1
20250414 15:18:57;20250414 18:18:57;13.1;387;1;386;1
20250414 15:34:46;20250414 18:34:46;11.1;413;1;404;1
20250414 15:49:06;20250414 18:49:06;9.4;410;1;395;1
20250414 16:04:57;20250414 19:04:57;7.4;434;1;417;1
20250414 16:20:05;20250414 19:20:05;5.5;448;1;422;1
20250414 16:35:09;20250414 19:35:09;3.7;476;1;430;1
Среднее значение ОСО (P1): 367
Стандартное отклонение: 25.89
Среднее значение ОСО (P2): 365
Стандартное отклонение: 20.21

