DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250420 03:02:57;20250420 06:02:57;3.4;448;1;392;1
20250420 03:17:37;20250420 06:17:37;5.2;411;1;376;1
20250420 03:32:34;20250420 06:32:34;7.0;387;1;371;1
20250420 03:47:38;20250420 06:47:38;8.9;369;1;369;1
20250420 04:02:29;20250420 07:02:29;10.8;364;1;366;1
20250420 04:17:26;20250420 07:17:26;12.6;359;1;360;1
20250420 04:32:24;20250420 07:32:24;14.5;360;1;360;1
20250420 04:46:48;20250420 07:46:48;16.3;354;1;351;1
20250420 05:02:25;20250420 08:02:25;18.3;368;1;370;1
20250420 05:16:49;20250420 08:16:49;20.0;366;1;368;1
20250420 05:32:22;20250420 08:32:22;21.9;366;1;372;1
20250420 05:47:22;20250420 08:47:22;23.7;370;1;374;1
20250420 06:01:50;20250420 09:01:50;25.4;361;1;362;1
20250420 06:16:47;20250420 09:16:47;27.1;359;1;358;1
20250420 06:31:48;20250420 09:31:48;28.8;367;1;375;1
20250420 06:46:48;20250420 09:46:48;30.4;375;1;376;1
20250420 07:01:49;20250420 10:01:49;31.9;356;1;353;1
20250420 07:16:49;20250420 10:16:49;33.4;361;1;361;1
20250420 07:31:50;20250420 10:31:50;34.8;362;1;361;1
20250420 07:46:50;20250420 10:46:50;36.0;388;1;386;1
20250420 08:01:51;20250420 11:01:51;37.2;365;1;368;1
20250420 08:16:51;20250420 11:16:51;38.3;365;1;365;1
20250420 08:31:51;20250420 11:31:51;39.2;381;1;377;1
20250420 08:46:51;20250420 11:46:51;40.0;383;1;379;1
20250420 09:01:52;20250420 12:01:52;40.6;394;1;390;1
20250420 09:16:52;20250420 12:16:52;41.1;381;1;383;1
20250420 09:31:53;20250420 12:31:53;41.5;398;1;393;1
20250420 09:46:53;20250420 12:46:53;41.6;384;1;380;1
20250420 10:01:54;20250420 13:01:54;41.7;384;1;379;1
20250420 10:16:54;20250420 13:16:54;41.5;395;1;390;1
20250420 10:31:55;20250420 13:31:55;41.2;371;1;369;1
20250420 10:46:56;20250420 13:46:56;40.8;389;1;385;1
20250420 11:01:57;20250420 14:01:57;40.2;375;1;376;1
20250420 11:16:26;20250420 14:16:26;39.4;367;1;367;1
20250420 11:31:57;20250420 14:31:57;38.5;370;1;370;1
20250420 11:46:58;20250420 14:46:58;37.5;391;1;388;1
20250420 12:02:00;20250420 15:02:00;36.4;381;1;379;1
20250420 12:17:00;20250420 15:17:00;35.1;391;1;386;1
20250420 12:32:00;20250420 15:32:00;33.8;405;1;402;1
20250420 12:47:00;20250420 15:47:00;32.4;401;1;400;1
20250420 13:02:01;20250420 16:02:01;30.8;393;1;391;1
20250420 13:17:01;20250420 16:17:01;29.3;402;1;403;1
20250420 13:32:02;20250420 16:32:02;27.6;383;1;384;1
20250420 13:47:02;20250420 16:47:02;25.9;368;1;374;1
20250420 14:02:03;20250420 17:02:03;24.2;366;1;373;1
20250420 14:17:04;20250420 17:17:04;22.4;363;1;370;1
20250420 14:32:04;20250420 17:32:04;20.6;371;1;374;1
20250420 14:47:08;20250420 17:47:08;18.7;367;1;369;1
20250420 15:02:05;20250420 18:02:05;16.8;366;1;368;1
20250420 15:17:05;20250420 18:17:05;15.0;365;1;367;1
20250420 15:32:05;20250420 18:32:05;13.1;360;1;364;1
20250420 15:47:43;20250420 18:47:43;11.2;363;1;369;1
20250420 16:02:11;20250420 19:02:11;9.4;364;1;365;1
20250420 16:17:12;20250420 19:17:12;7.5;380;1;367;1
20250420 16:32:55;20250420 19:32:55;5.6;416;1;378;1
20250420 16:49:04;20250420 19:49:04;3.6;454;1;388;1
Среднее значение ОСО (P1): 378
Стандартное отклонение: 20.29
Среднее значение ОСО (P2): 374
Стандартное отклонение: 11.74

