DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250407 03:39:16;20250407 06:39:16;3.4;416;1;402;1
20250407 03:53:38;20250407 06:53:38;5.2;441;1;408;1
20250407 04:08:39;20250407 07:08:39;7.1;411;1;404;1
20250407 04:23:39;20250407 07:23:39;8.9;418;1;407;1
20250407 04:38:39;20250407 07:38:39;10.8;417;1;406;1
20250407 04:53:36;20250407 07:53:36;12.7;419;1;409;1
20250407 05:08:37;20250407 08:08:37;14.5;415;1;411;1
20250407 05:23:38;20250407 08:23:38;16.4;415;1;410;1
20250407 05:38:39;20250407 08:38:39;18.2;417;1;412;1
20250407 05:53:40;20250407 08:53:40;19.9;417;1;414;1
20250407 06:08:40;20250407 09:08:40;21.7;418;1;412;1
20250407 06:23:41;20250407 09:23:41;23.3;417;1;409;1
20250407 06:38:42;20250407 09:38:42;25.0;418;1;410;1
20250407 06:53:43;20250407 09:53:43;26.5;420;1;409;1
20250407 07:09:14;20250407 10:09:14;28.0;424;1;410;1
20250407 07:23:44;20250407 10:23:44;29.4;424;1;411;1
20250407 07:38:45;20250407 10:38:45;30.7;429;1;413;1
20250407 07:53:45;20250407 10:53:45;31.9;431;1;412;1
20250407 08:08:14;20250407 11:08:14;32.9;436;1;420;1
20250407 08:23:46;20250407 11:23:46;34.0;433;1;414;1
20250407 08:39:17;20250407 11:39:17;34.8;435;1;414;1
20250407 08:54:17;20250407 11:54:17;35.6;422;1;396;1
20250407 09:08:47;20250407 12:08:47;36.1;430;1;412;1
20250407 09:23:48;20250407 12:23:48;36.6;436;1;416;1
20250407 09:38:18;20250407 12:38:18;36.8;427;1;410;1
20250407 09:53:50;20250407 12:53:50;37.0;435;1;415;1
20250407 10:09:00;20250407 13:09:00;37.0;426;1;413;1
20250407 10:23:51;20250407 13:23:51;36.8;435;1;415;1
20250407 10:38:21;20250407 13:38:21;36.5;433;1;413;1
20250407 10:53:52;20250407 13:53:52;36.0;436;1;415;1
20250407 11:08:53;20250407 14:08:53;35.4;435;1;413;1
20250407 11:23:54;20250407 14:23:54;34.7;433;1;413;1
20250407 11:38:55;20250407 14:38:55;33.8;432;1;413;1
20250407 11:53:56;20250407 14:53:56;32.8;433;1;413;1
20250407 12:08:57;20250407 15:08:57;31.7;433;1;415;1
20250407 12:23:58;20250407 15:23:58;30.5;434;1;418;1
20250407 12:38:59;20250407 15:38:59;29.1;436;1;420;1
20250407 12:54:00;20250407 15:54:00;27.7;438;1;425;1
20250407 13:09:00;20250407 16:09:00;26.2;435;1;424;1
20250407 13:24:01;20250407 16:24:01;24.7;433;1;425;1
20250407 13:39:02;20250407 16:39:02;23.1;429;1;424;1
20250407 13:54:02;20250407 16:54:02;21.4;430;1;425;1
20250407 14:09:03;20250407 17:09:03;19.6;428;1;426;1
20250407 14:24:03;20250407 17:24:03;17.9;429;1;426;1
20250407 14:39:35;20250407 17:39:35;16.0;437;1;432;1
20250407 14:54:05;20250407 17:54:05;14.2;430;1;424;1
20250407 15:09:06;20250407 18:09:06;12.4;433;1;421;1
20250407 15:24:10;20250407 18:24:10;10.5;428;1;417;1
20250407 15:39:10;20250407 18:39:10;8.6;419;1;414;1
20250407 15:54:11;20250407 18:54:11;6.8;432;1;417;1
20250407 16:09:50;20250407 19:09:50;4.8;418;1;415;1
20250407 16:24:55;20250407 19:24:55;2.9;421;1;409;1
Среднее значение ОСО (P1): 427
Стандартное отклонение: 7.73
Среднее значение ОСО (P2): 414
Стандартное отклонение: 6.72

