DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250408 03:36:23;20250408 06:36:23;3,4;438;0,0273;0,7024;1,0816;1,0886;1;414;0,077;1,0502;1,0377;1,0471;1
20250408 03:50:44;20250408 06:50:44;5,2;445;0,0261;0,7389;1,0653;1,0736;1;410;0,0888;1,0693;1,0332;1,0428;1
20250408 04:05:41;20250408 07:05:41;7,0;429;0,0286;0,7717;1,0541;1,063;1;414;0,1036;1,0902;1,0296;1,0392;1
20250408 04:20:41;20250408 07:20:41;8,9;429;0,0329;0,8018;1,0464;1,0557;1;414;0,1216;1,1107;1,0279;1,0375;1
20250408 04:35:42;20250408 07:35:42;10,8;426;0,0395;0,8302;1,0393;1,0488;1;413;0,142;1,1307;1,0264;1,036;1
20250408 04:50:38;20250408 07:50:38;12,7;425;0,0473;0,8582;1,0303;1,0399;1;415;0,1621;1,1509;1,0236;1,0332;1
20250408 05:05:38;20250408 08:05:38;14,5;423;0,0561;0,8811;1,0251;1,0347;1;417;0,1824;1,1708;1,0196;1,0291;1
20250408 05:20:39;20250408 08:20:39;16,4;423;0,0658;0,903;1,0188;1,0283;1;416;0,2032;1,1846;1,0195;1,029;1
20250408 05:37:18;20250408 08:37:18;18,4;423;0,0769;0,9217;1,0154;1,0249;1;417;0,2241;1,2013;1,0164;1,0259;1
20250408 05:50:42;20250408 08:50:42;20,0;422;0,0864;0,9379;1,01;1,0193;1;416;0,2416;1,2132;1,0142;1,0236;1
20250408 06:05:43;20250408 09:05:43;21,7;425;0,0954;0,9489;1,0098;1,0191;1;418;0,2567;1,2214;1,0149;1,0243;1
20250408 06:21:01;20250408 09:21:01;23,4;424;0,106;0,9605;1,0081;1,0173;1;416;0,2734;1,23;1,0144;1,0238;1
20250408 06:35:45;20250408 09:35:45;25,0;425;0,1154;0,9715;1,0045;1,0136;1;413;0,2889;1,2396;1,0121;1,0215;1
20250408 06:50:15;20250408 09:50:15;26,5;427;0,1044;0,8427;1,185;1,1758;1;413;0,2538;1,0711;1,2003;1,1878;1
20250408 07:05:46;20250408 10:05:46;28,1;423;0,117;0,8716;1,1445;1,1431;1;407;0,2732;1,0967;1,1705;1,1643;1
20250408 07:20:47;20250408 10:20:47;29,5;429;0,1394;0,9923;0,9997;1,0086;1;413;0,3227;1,2551;1,0109;1,0202;1
20250408 07:35:47;20250408 10:35:47;30,8;432;0,1466;1,0048;0,9915;0,9998;1;414;0,3336;1,2677;1,0032;1,0123;1
20250408 07:50:48;20250408 10:50:48;32,0;432;0,1525;1,0058;0,9935;1,0019;1;412;0,3415;1,2652;1,0068;1,016;1
20250408 08:05:49;20250408 11:05:49;33,2;434;0,1587;1,0157;0,9868;0,9948;1;410;0,3511;1,2755;1,0002;1,0091;1
20250408 08:20:49;20250408 11:20:49;34,2;434;0,1632;1,0154;0,989;0,9972;1;411;0,3557;1,2731;1,0031;1,0121;1
20250408 08:35:50;20250408 11:35:50;35,0;438;0,1658;1,0184;0,9879;0,996;1;411;0,3602;1,2736;1,0035;1,0125;1
20250408 08:50:50;20250408 11:50:50;35,8;437;0,1698;1,0179;0,9898;0,998;1;412;0,3635;1,274;1,0037;1,0127;1
20250408 09:05:51;20250408 12:05:51;36,4;437;0,1721;1,0179;0,9908;0,999;1;413;0,366;1,2735;1,0045;1,0136;1
20250408 09:20:51;20250408 12:20:51;36,9;439;0,1745;1,0266;0,9838;0,9914;1;414;0,3703;1,2834;0,9974;1,0062;1
20250408 09:35:52;20250408 12:35:52;37,2;440;0,1747;1,021;0,9893;0,9974;1;416;0,3688;1,2773;1,0022;1,0112;1
20250408 09:50:52;20250408 12:50:52;37,3;440;0,1751;1,0214;0,9891;0,9972;1;416;0,3696;1,2779;1,0018;1,0108;1
20250408 10:05:52;20250408 13:05:52;37,4;441;0,175;1,0225;0,9881;0,9962;1;417;0,3695;1,2802;1,0001;1,009;1
20250408 10:20:53;20250408 13:20:53;37,2;442;0,1738;1,0222;0,9883;0,9963;1;418;0,3684;1,2793;1,0007;1,0096;1
20250408 10:35:54;20250408 13:35:54;36,9;443;0,1722;1,0224;0,9876;0,9956;1;419;0,3668;1,2804;0,9997;1,0085;1
20250408 10:50:54;20250408 13:50:54;36,5;444;0,1697;1,0212;0,988;0,996;1;419;0,3639;1,2795;1,0001;1,0089;1
