DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250406 03:42:11;20250406 06:42:11;3,4;542;0,0199;0,6608;1,1614;1,157;1;485;0,0619;1,012;1,0795;1,0866;1
20250406 03:56:33;20250406 06:56:33;5,2;501;0,0205;0,6965;1,1395;1,139;1;469;0,0724;1,0277;1,0776;1,085;1
20250406 04:12:06;20250406 07:12:06;7,1;467;0,0232;0,7326;1,1187;1,1213;1;473;0,0843;1,0514;1,0704;1,0783;1
20250406 04:26:33;20250406 07:26:33;8,9;483;0,0235;0,7284;1,1679;1,1623;1;476;0,0932;1,0299;1,116;1,119;1
20250406 04:41:30;20250406 07:41:30;10,8;483;0,027;0,7365;1,1931;1,1822;1;470;0,1068;1,0222;1,148;1,146;1
20250406 04:56:33;20250406 07:56:33;12,7;458;0,0402;0,8384;1,0557;1,0645;1;450;0,1439;1,1381;1,0353;1,0448;1
20250406 05:11:31;20250406 08:11:31;14,5;464;0,0426;0,8054;1,1311;1,1319;1;456;0,148;1,08;1,1122;1,1157;1
20250406 05:27:02;20250406 08:27:02;16,4;466;0,0485;0,8108;1,1476;1,1457;1;461;0,1611;1,0804;1,1271;1,1285;1
20250406 05:41:32;20250406 08:41:32;18,1;457;0,0643;0,9005;1,0376;1,0471;1;450;0,1995;1,1853;1,029;1,0385;1
20250406 05:56:33;20250406 08:56:33;19,9;458;0,0726;0,9127;1,0375;1,047;1;450;0,2157;1,1913;1,0326;1,0421;1
20250406 06:11:33;20250406 09:11:33;21,6;460;0,081;0,9264;1,0338;1,0434;1;451;0,2315;1,2042;1,0291;1,0387;1
20250406 06:26:34;20250406 09:26:34;23,3;463;0,0853;0,9014;1,0759;1,0833;1;452;0,2347;1,1617;1,0761;1,0836;1
20250406 06:41:35;20250406 09:41:35;24,9;465;0,0975;0,9521;1,0241;1,0337;1;452;0,2602;1,2264;1,0225;1,0321;1
20250406 06:56:36;20250406 09:56:36;26,4;468;0,1053;0,9707;1,011;1,0204;1;452;0,2749;1,2436;1,0133;1,0227;1
20250406 07:11:05;20250406 10:11:05;27,8;471;0,102;0,897;1,1056;1,1099;1;449;0,261;1,1425;1,1138;1,1171;1
20250406 07:26:36;20250406 10:26:36;29,3;471;0,1202;0,9897;1,0016;1,0105;1;450;0,2983;1,2596;1,007;1,0162;1
20250406 07:41:36;20250406 10:41:36;30,5;472;0,1261;0,9928;1,0021;1,0111;1;451;0,3061;1,2602;1,0086;1,0179;1
20250406 07:56:37;20250406 10:56:37;31,7;473;0,1306;0,9892;1,0087;1,018;1;449;0,3123;1,2527;1,0162;1,0257;1
20250406 08:11:38;20250406 11:11:38;32,8;476;0,135;0,9943;1,0062;1,0154;1;452;0,3181;1,257;1,0142;1,0236;1
20250406 08:26:39;20250406 11:26:39;33,8;476;0,1391;0,9959;1,0067;1,0159;1;452;0,3235;1,2574;1,0149;1,0243;1
20250406 08:41:39;20250406 11:41:39;34,6;472;0,1406;0,9676;1,0379;1,0473;1;448;0,3192;1,2167;1,0503;1,0594;1
20250406 08:56:40;20250406 11:56:40;35,3;471;0,137;0,9264;1,0892;1,0954;1;444;0,3079;1,1586;1,1093;1,1132;1
20250406 09:11:40;20250406 12:11:40;35,8;474;0,1505;1,008;0,999;1,0079;1;449;0,3393;1,2688;1,0077;1,0169;1
20250406 09:26:41;20250406 12:26:41;36,2;473;0,152;1,003;1,0045;1,0136;1;450;0,3391;1,2623;1,0131;1,0225;1
20250406 09:41:42;20250406 12:41:42;36,5;473;0,1534;1,0031;1,0049;1,014;1;447;0,3419;1,2608;1,0145;1,0239;1
20250406 09:56:43;20250406 12:56:43;36,6;470;0,1549;1,0028;1,0054;1,0145;1;445;0,3436;1,2606;1,0147;1,0242;1
20250406 10:11:43;20250406 13:11:43;36,6;469;0,1552;1,0006;1,0074;1,0166;1;444;0,3434;1,2585;1,0164;1,0259;1
20250406 10:26:43;20250406 13:26:43;36,4;465;0,1555;0,9973;1,0103;1,0196;1;441;0,3427;1,2538;1,02;1,0295;1
20250406 10:41:44;20250406 13:41:44;36,0;461;0,1561;0,9982;1,0089;1,0182;1;438;0,3437;1,2549;1,0188;1,0284;1
20250406 10:56:44;20250406 13:56:44;35,6;459;0,1555;1,0009;1,0054;1,0145;1;436;0,3431;1,2567;1,017;1,0265;1
20250406 11:11:44;20250406 14:11:44;34,9;457;0,1537;1,001;1,0041;1,0132;1;434;0,3413;1,2594;1,0144;1,0238;1
20250406 11:26:44;20250406 14:26:44;34,2;453;0,1521;1,0008;1,0028;1,0118;1;432;0,339;1,2603;1,013;1,0224;1
20250406 11:41:45;20250406 14:41:45;33,3;449;0,1494;0,9977;1,0039;1,013;1;430;0,3353;1,2578;1,0141;1,0235;1
20250406 11:56:46;20250406 14:56:46;32,3;448;0,1451;0,9965;1,0028;1,0118;1;428;0,33;1,257;1,0135;1,0229;1
20250406 12:11:47;20250406 15:11:47;31,1;446;0,1404;0,9946;1,0019;1,0109;1;427;0,3248;1,2569;1,0121;1,0215;1
