DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250410 03:30:45;20250410 06:30:45;3,4;560;0,0182;0,6387;1,2131;1,1977;1;505;0,0559;0,9922;1,104;1,1086;1
20250410 03:44:53;20250410 06:44:53;5,2;525;0,0197;0,7192;1,0973;1,1027;1;480;0,073;1,0695;1,0329;1,0425;1
20250410 03:59:53;20250410 06:59:53;7,0;486;0,0213;0,7308;1,1199;1,1223;1;484;0,0817;1,0584;1,0618;1,0703;1
20250410 04:15:25;20250410 07:15:25;9,0;488;0,0235;0,7389;1,1485;1,1464;1;493;0,091;1,0485;1,0939;1,0996;1
20250410 04:29:51;20250410 07:29:51;10,8;496;0,0268;0,7713;1,1271;1,1285;1;491;0,1065;1,0772;1,0803;1,0873;1
20250410 04:45:22;20250410 07:45:22;12,7;496;0,0297;0,7578;1,1883;1,1785;1;492;0,1144;1,0394;1,1463;1,1446;1
20250410 04:59:52;20250410 07:59:52;14,5;493;0,0369;0,8094;1,1247;1,1264;1;484;0,1383;1,0988;1,0906;1,0967;1
20250410 05:14:52;20250410 08:14:52;16,4;491;0,042;0,7988;1,1683;1,1625;1;481;0,1488;1,0701;1,1398;1,1392;1
20250410 05:29:53;20250410 08:29:53;18,2;489;0,0505;0,8314;1,1344;1,1347;1;482;0,1677;1,1079;1,1073;1,1114;1
20250410 05:45:24;20250410 08:45:24;20,1;491;0,0566;0,8317;1,1531;1,1502;1;482;0,1791;1,0965;1,1325;1,1331;1
20250410 06:01:21;20250410 09:01:21;21,9;495;0,0651;0,8604;1,1235;1,1255;1;483;0,1974;1,1251;1,1091;1,1131;1
20250410 06:14:54;20250410 09:14:54;23,5;499;0,072;0,8818;1,1039;1,1085;1;485;0,2119;1,1492;1,0898;1,096;1
20250410 06:29:55;20250410 09:29:55;25,1;499;0,0796;0,8912;1,1004;1,1054;1;484;0,2249;1,1546;1,0911;1,0971;1
20250410 06:44:55;20250410 09:44:55;26,7;498;0,082;0,8501;1,1731;1,1664;1;483;0,2217;1,0951;1,1679;1,1622;1
20250410 07:00:57;20250410 10:00:57;28,3;496;0,0853;0,8233;1,2312;1,2113;1;484;0,222;1,062;1,2202;1,2031;1
20250410 07:15:27;20250410 10:15:27;29,7;501;0,0912;0,8424;1,2018;1,1889;1;485;0,2341;1,0796;1,1987;1,1866;1
20250410 07:29:57;20250410 10:29:57;31,1;500;0,0969;0,8455;1,2016;1,1888;1;486;0,242;1,0844;1,1952;1,1838;1
20250410 07:44:57;20250410 10:44:57;32,3;499;0,1019;0,8445;1,2084;1,194;1;484;0,248;1,0788;1,2056;1,1919;1
20250410 08:00:29;20250410 11:00:29;33,5;499;0,1074;0,8536;1,1962;1,1846;1;484;0,2565;1,0877;1,1952;1,1839;1
20250410 08:14:59;20250410 11:14:59;34,5;495;0,1121;0,8508;1,2045;1,1911;1;480;0,2618;1,0805;1,2069;1,1929;1
20250410 08:29:59;20250410 11:29:59;35,5;490;0,1175;0,8531;1,2032;1,19;1;475;0,2691;1,0823;1,2055;1,1918;1
20250410 08:45:00;20250410 11:45:00;36,3;484;0,1222;0,8523;1,2069;1,1929;1;469;0,2743;1,0789;1,2113;1,1963;1
20250410 09:00:01;20250410 12:00:01;36,9;481;0,1265;0,8558;1,2023;1,1894;1;466;0,2794;1,0812;1,2087;1,1943;1
20250410 09:14:31;20250410 12:14:31;37,4;477;0,1299;0,8566;1,2022;1,1893;1;459;0,2843;1,0809;1,2098;1,1951;1
20250410 09:29:31;20250410 12:29:31;37,8;474;0,1304;0,8473;1,2202;1,203;1;456;0,2822;1,0668;1,231;1,2112;1
20250410 09:45:03;20250410 12:45:03;38,0;472;0,1329;0,8524;1,2115;1,1964;1;456;0,286;1,0747;1,2194;1,2024;1
20250410 09:59:33;20250410 12:59:33;38,1;467;0,1342;0,8479;1,22;1,2029;1;448;0,287;1,0655;1,2332;1,2128;1
20250410 10:14:33;20250410 13:14:33;38,0;467;0,139;0,874;1,1735;1,1668;1;451;0,2975;1,0999;1,1837;1,1748;1
20250410 10:29:33;20250410 13:29:33;37,8;470;0,1412;0,8954;1,1389;1,1385;1;451;0,3048;1,1257;1,1502;1,1478;1
20250410 10:44:34;20250410 13:44:34;37,4;466;0,1343;0,8573;1,2009;1,1883;1;451;0,2886;1,081;1,2095;1,1949;1
20250410 10:59:34;20250410 13:59:34;36,9;465;0,1343;0,8642;1,1874;1,1778;1;448;0,2901;1,0886;1,1983;1,1862;1
20250410 11:15:36;20250410 14:15:36;36,1;464;0,1305;0,8552;1,2014;1,1887;1;449;0,2838;1,0799;1,2098;1,1951;1
20250410 11:30:06;20250410 14:30:06;35,4;463;0,129;0,8617;1,1876;1,1779;1;448;0,2836;1,0879;1,1974;1,1856;1
