DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250413 03:21:59;20250413 06:21:59;3,4;355;0,0327;0,7264;1,0431;1,0525;1;370;0,0891;1,0604;1,0275;1,037;1
20250413 03:36:55;20250413 06:36:55;5,2;359;0,0325;0,7645;1,029;1,0386;1;374;0,1011;1,0842;1,0193;1,0288;1
20250413 03:51:16;20250413 06:51:16;7,0;361;0,0358;0,7974;1,0187;1,0282;1;367;0,1218;1,1054;1,0151;1,0246;1
20250413 04:06:17;20250413 07:06:17;8,9;363;0,0416;0,8278;1,0125;1,0219;1;367;0,1432;1,1264;1,0133;1,0227;1
20250413 04:21:18;20250413 07:21:18;10,8;362;0,0502;0,856;1,0073;1,0166;1;368;0,1658;1,1496;1,0094;1,0187;1
20250413 04:36:14;20250413 07:36:14;12,6;362;0,0611;0,8829;1,0014;1,0104;1;366;0,1905;1,1673;1,0091;1,0184;1
20250413 04:51:14;20250413 07:51:14;14,5;365;0,0721;0,9066;0,9967;1,0054;1;365;0,2139;1,1865;1,0063;1,0155;1
20250413 05:06:15;20250413 08:06:15;16,4;367;0,0842;0,9269;0,9934;1,0018;1;365;0,2361;1,2029;1,0043;1,0134;1
20250413 05:21:16;20250413 08:21:16;18,2;367;0,0967;0,9437;0,9915;0,9998;1;365;0,2573;1,2173;1,0026;1,0116;1
20250413 05:36:16;20250413 08:36:16;20,0;366;0,1093;0,9591;0,9891;0,9972;1;363;0,2776;1,2283;1,0023;1,0113;1
20250413 05:51:17;20250413 08:51:17;21,8;366;0,1208;0,9724;0,9872;0,9952;1;362;0,2959;1,2402;1,0004;1,0093;1
20250413 06:06:17;20250413 09:06:17;23,6;365;0,1316;0,9757;0,9938;1,0023;1;359;0,3107;1,238;1,0085;1,0178;1
20250413 06:21:17;20250413 09:21:17;25,2;364;0,1434;0,99;0,9876;0,9956;1;358;0,3274;1,2528;1,0025;1,0115;1
20250413 06:36:18;20250413 09:36:18;26,9;364;0,1535;0,9984;0,9859;0,9938;1;357;0,341;1,2595;1,002;1,011;1
20250413 06:51:19;20250413 09:51:19;28,5;364;0,163;1,0054;0,9845;0,9923;1;357;0,3526;1,2648;1,0014;1,0104;1
20250413 07:06:20;20250413 10:06:20;30,0;364;0,1718;1,0108;0,9838;0,9915;1;356;0,3642;1,2709;0,9995;1,0084;1
20250413 07:21:21;20250413 10:21:21;31,4;365;0,1797;1,0156;0,983;0,9906;1;356;0,3732;1,2731;0,9999;1,0088;1
20250413 07:36:21;20250413 10:36:21;32,7;364;0,1879;1,0198;0,9822;0,9897;1;355;0,3823;1,2763;0,9992;1,008;1
20250413 07:51:22;20250413 10:51:22;33,9;364;0,1943;1,0226;0,9822;0,9897;1;354;0,3903;1,2797;0,9979;1,0066;1
20250413 08:06:22;20250413 11:06:22;35,1;364;0,2002;1,0258;0,9814;0,9889;1;354;0,3968;1,2811;0,9978;1,0066;1
20250413 08:21:23;20250413 11:21:23;36,1;365;0,2046;1,0276;0,9816;0,989;1;354;0,4018;1,2822;0,9978;1,0065;1
20250413 08:36:23;20250413 11:36:23;36,9;365;0,2091;1,0272;0,9834;0,991;1;355;0,4056;1,2818;0,9986;1,0074;1
20250413 08:51:23;20250413 11:51:23;37,7;363;0,2144;1,0303;0,9817;0,9892;1;351;0,4117;1,2844;0,9972;1,0059;1
20250413 09:06:23;20250413 12:06:23;38,3;362;0,2186;1,0335;0,9799;0,9871;1;345;0,4161;1,2874;0,9953;1,0039;1
20250413 09:21:24;20250413 12:21:24;38,7;366;0,2183;1,0355;0,9787;0,9859;1;352;0,4173;1,2887;0,9946;1,0032;1
20250413 09:36:24;20250413 12:36:24;39,0;361;0,2225;1,0346;0,9799;0,9872;1;347;0,4205;1,2862;0,9966;1,0053;1
20250413 09:51:24;20250413 12:51:24;39,2;362;0,2234;1,0367;0,9784;0,9855;1;347;0,4215;1,2873;0,9959;1,0045;1
20250413 10:06:24;20250413 13:06:24;39,2;361;0,2245;1,0381;0,9771;0,9841;1;345;0,4233;1,2887;0,9948;1,0033;1
20250413 10:21:25;20250413 13:21:25;39,0;360;0,2241;1,0379;0,9771;0,984;1;344;0,423;1,2886;0,9948;1,0034;1
20250413 10:36:26;20250413 13:36:26;38,7;360;0,2225;1,0376;0,9769;0,9839;1;344;0,4219;1,2887;0,9946;1,0031;1
20250413 10:51:27;20250413 13:51:27;38,2;359;0,22;1,0327;0,9804;0,9878;1;341;0,4181;1,2848;0,9972;1,0059;1
20250413 11:06:27;20250413 14:06:27;37,6;359;0,2038;0,967;1,0445;1,0538;1;350;0,3854;1,2028;1,0658;1,0741;1
20250413 11:21:28;20250413 14:21:28;36,9;360;0,2111;1,0216;0,9882;0,9962;1;349;0,4055;1,2725;1,0056;1,0147;1
20250413 11:36:28;20250413 14:36:28;36,0;359;0,208;1,0227;0,9858;0,9937;1;348;0,4033;1,2766;1,0019;1,0108;1
20250413 11:51:29;20250413 14:51:29;35,0;359;0,2025;1,0195;0,9869;0,9948;1;351;0,3961;1,2747;1,0025;1,0115;1
20250413 12:06:29;20250413 15:06:29;33,8;359;0,1952;1,009;0,9943;1,0028;1;351;0,3866;1,2625;1,0109;1,0202;1
20250413 12:21:30;20250413 15:21:30;32,6;359;0,1797;0,9574;1,0447;1,054;1;354;0,3592;1,1994;1,0641;1,0725;1
20250413 12:36:30;20250413 15:36:30;31,3;357;0,1704;0,9389;1,0628;1,0712;1;355;0,3448;1,1782;1,083;1,0899;1
20250413 12:51:30;20250413 15:51:30;29,8;357;0,1646;0,9419;1,0548;1,0636;1;357;0,3384;1,1856;1,073;1,0807;1
20250413 13:06:31;20250413 16:06:31;28,3;358;0,1607;0,97;1,0185;1,028;1;355;0,3416;1,2234;1,0348;1,0443;1
20250413 13:21:32;20250413 16:21:32;26,8;357;0,1543;0,9784;1,0045;1,0136;1;355;0,3355;1,2379;1,0187;1,0282;1
20250413 13:36:32;20250413 16:36:32;25,1;359;0,1404;0,9488;1,0287;1,0383;1;358;0,3139;1,2036;1,0431;1,0524;1
20250413 13:51:33;20250413 16:51:33;23,4;361;0,1304;0,9521;1,0169;1,0264;1;359;0,3035;1,2126;1,029;1,0386;1
20250413 14:06:34;20250413 17:06:34;21,7;360;0,1197;0,9413;1,0176;1,0272;1;358;0,2879;1,2022;1,031;1,0406;1
20250413 14:21:34;20250413 17:21:34;19,9;360;0,1103;0,9455;1,0016;1,0106;1;359;0,2762;1,2167;1,011;1,0204;1
20250413 14:36:35;20250413 17:36:35;18,1;359;0,095;0,8975;1,0407;1,0501;1;361;0,2464;1,1616;1,0502;1,0593;1
20250413 14:51:36;20250413 17:51:36;16,2;360;0,0849;0,906;1,0142;1,0237;1;359;0,234;1,1798;1,0228;1,0323;1
20250413 15:06:37;20250413 18:06:37;14,4;358;0,0723;0,8778;1,0274;1,037;1;359;0,2104;1,1529;1,0346;1,0441;1
20250413 15:21:37;20250413 18:21:37;12,5;356;0,0619;0,8677;1,017;1,0265;1;361;0,1898;1,1515;1,0219;1,0314;1
20250413 15:36:43;20250413 18:36:43;10,6;354;0,0518;0,8446;1,0187;1,0282;1;360;0,1671;1,1352;1,0208;1,0304;1
20250413 15:51:44;20250413 18:51:44;8,8;354;0,0428;0,8111;1,0311;1,0406;1;361;0,143;1,1076;1,0291;1,0387;1
20250413 16:07:17;20250413 19:07:17;6,8;349;0,0374;0,7858;1,0303;1,0399;1;364;0,1199;1,0936;1,0242;1,0338;1
20250413 16:22:24;20250413 19:22:24;4,9;344;0,0341;0,7544;1,0375;1,0469;1;365;0,102;1,0757;1,0251;1,0347;1
20250413 16:37:28;20250413 19:37:28;3,1;349;0,0332;0,7177;1,049;1,0581;1;364;0,0894;1,0576;1,0279;1,0375;1
