DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250430 02:36:09;20250430 05:36:09;3.4;508;1;460;1
20250430 02:50:29;20250430 05:50:29;5.0;482;1;422;1
20250430 03:06:03;20250430 06:06:03;6.9;449;1;428;1
20250430 03:21:28;20250430 06:21:28;8.7;415;1;398;1
20250430 03:36:03;20250430 06:36:03;10.5;418;1;408;1
20250430 03:50:33;20250430 06:50:33;12.3;403;1;398;1
20250430 04:05:29;20250430 07:05:29;14.1;406;1;399;1
20250430 04:20:29;20250430 07:20:29;16.0;410;1;406;1
20250430 04:35:30;20250430 07:35:30;17.9;412;1;409;1
20250430 04:51:02;20250430 07:51:02;19.9;410;1;405;1
20250430 05:05:32;20250430 08:05:32;21.7;413;1;410;1
20250430 05:20:33;20250430 08:20:33;23.5;411;1;409;1
20250430 05:35:34;20250430 08:35:34;25.3;409;1;408;1
20250430 05:50:04;20250430 08:50:04;27.1;414;1;403;1
20250430 06:05:04;20250430 09:05:04;28.9;407;1;399;1
20250430 06:20:04;20250430 09:20:04;30.6;411;1;402;1
20250430 06:35:04;20250430 09:35:04;32.3;410;1;402;1
20250430 06:50:05;20250430 09:50:05;33.9;412;1;402;1
20250430 07:05:05;20250430 10:05:05;35.4;416;1;406;1
20250430 07:20:36;20250430 10:20:36;36.9;417;1;405;1
20250430 07:35:06;20250430 10:35:06;38.2;414;1;401;1
20250430 07:50:06;20250430 10:50:06;39.5;413;1;402;1
20250430 08:05:07;20250430 11:05:07;40.7;416;1;402;1
20250430 08:20:07;20250430 11:20:07;41.7;420;1;403;1
20250430 08:35:07;20250430 11:35:07;42.6;414;1;402;1
20250430 08:50:08;20250430 11:50:08;43.4;412;1;398;1
20250430 09:05:09;20250430 12:05:09;44.0;421;1;400;1
20250430 09:20:40;20250430 12:20:40;44.5;430;1;405;1
20250430 09:35:41;20250430 12:35:41;44.8;430;1;403;1
20250430 09:50:42;20250430 12:50:42;44.9;426;1;403;1
20250430 10:05:42;20250430 13:05:42;44.9;420;1;404;1
20250430 10:20:43;20250430 13:20:43;44.6;426;1;403;1
20250430 10:35:44;20250430 13:35:44;44.3;425;1;401;1
20250430 10:50:44;20250430 13:50:44;43.7;426;1;404;1
20250430 11:05:45;20250430 14:05:45;43.1;424;1;401;1
20250430 11:20:45;20250430 14:20:45;42.2;425;1;404;1
20250430 11:35:14;20250430 14:35:14;41.3;414;1;396;1
20250430 11:50:46;20250430 14:50:46;40.2;408;1;399;1
20250430 12:05:16;20250430 15:05:16;39.0;405;1;397;1
20250430 12:20:47;20250430 15:20:47;37.6;425;1;408;1
20250430 12:35:47;20250430 15:35:47;36.2;424;1;406;1
20250430 12:50:48;20250430 15:50:48;34.7;422;1;405;1
20250430 13:05:17;20250430 16:05:17;33.2;419;1;403;1
20250430 13:20:48;20250430 16:20:48;31.5;421;1;408;1
20250430 13:35:49;20250430 16:35:49;29.8;419;1;408;1
20250430 13:50:49;20250430 16:50:49;28.1;418;1;407;1
20250430 14:05:50;20250430 17:05:50;26.3;416;1;406;1
20250430 14:20:51;20250430 17:20:51;24.5;415;1;406;1
20250430 14:35:51;20250430 17:35:51;22.6;410;1;405;1
20250430 14:50:52;20250430 17:50:52;20.8;409;1;403;1
20250430 15:05:52;20250430 18:05:52;18.9;408;1;403;1
20250430 15:20:53;20250430 18:20:53;17.0;408;1;402;1
20250430 15:35:53;20250430 18:35:53;15.2;406;1;400;1
20250430 15:50:55;20250430 18:50:55;13.3;403;1;398;1
20250430 16:05:59;20250430 19:05:59;11.4;405;1;398;1
20250430 16:20:59;20250430 19:20:59;9.6;410;1;395;1
20250430 16:35:59;20250430 19:35:59;7.8;411;1;392;1
20250430 16:51:36;20250430 19:51:36;5.9;418;1;402;1
20250430 17:06:39;20250430 20:06:39;4.2;445;1;403;1
