DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250410 03:30:45;20250410 06:30:45;3.4;560;1;505;1
20250410 03:44:53;20250410 06:44:53;5.2;525;1;480;1
20250410 03:59:53;20250410 06:59:53;7.0;486;1;484;1
20250410 04:15:25;20250410 07:15:25;9.0;488;1;493;1
20250410 04:29:51;20250410 07:29:51;10.8;496;1;491;1
20250410 04:45:22;20250410 07:45:22;12.7;496;1;492;1
20250410 04:59:52;20250410 07:59:52;14.5;493;1;484;1
20250410 05:14:52;20250410 08:14:52;16.4;491;1;481;1
20250410 05:29:53;20250410 08:29:53;18.2;489;1;482;1
20250410 05:45:24;20250410 08:45:24;20.1;491;1;482;1
20250410 06:01:21;20250410 09:01:21;21.9;495;1;483;1
20250410 06:14:54;20250410 09:14:54;23.5;499;1;485;1
20250410 06:29:55;20250410 09:29:55;25.1;499;1;484;1
20250410 06:44:55;20250410 09:44:55;26.7;498;1;483;1
20250410 07:00:57;20250410 10:00:57;28.3;496;1;484;1
20250410 07:15:27;20250410 10:15:27;29.7;501;1;485;1
20250410 07:29:57;20250410 10:29:57;31.1;500;1;486;1
20250410 07:44:57;20250410 10:44:57;32.3;499;1;484;1
20250410 08:00:29;20250410 11:00:29;33.5;499;1;484;1
20250410 08:14:59;20250410 11:14:59;34.5;495;1;480;1
20250410 08:29:59;20250410 11:29:59;35.5;490;1;475;1
20250410 08:45:00;20250410 11:45:00;36.3;484;1;469;1
20250410 09:00:01;20250410 12:00:01;36.9;481;1;466;1
20250410 09:14:31;20250410 12:14:31;37.4;477;1;459;1
20250410 09:29:31;20250410 12:29:31;37.8;474;1;456;1
20250410 09:45:03;20250410 12:45:03;38.0;472;1;456;1
20250410 09:59:33;20250410 12:59:33;38.1;467;1;448;1
20250410 10:14:33;20250410 13:14:33;38.0;467;1;451;1
20250410 10:29:33;20250410 13:29:33;37.8;470;1;451;1
20250410 10:44:34;20250410 13:44:34;37.4;466;1;451;1
20250410 10:59:34;20250410 13:59:34;36.9;465;1;448;1
20250410 11:15:36;20250410 14:15:36;36.1;464;1;449;1
20250410 11:30:06;20250410 14:30:06;35.4;463;1;448;1
20250410 11:45:07;20250410 14:45:07;34.4;459;1;442;1
20250410 11:59:36;20250410 14:59:36;33.4;457;1;439;1
20250410 12:14:37;20250410 15:14:37;32.2;460;1;442;1
20250410 12:29:38;20250410 15:29:38;30.9;460;1;443;1
20250410 12:45:09;20250410 15:45:09;29.5;456;1;443;1
20250410 12:59:38;20250410 15:59:38;28.1;457;1;440;1
20250410 13:15:09;20250410 16:15:09;26.5;448;1;441;1
20250410 13:31:11;20250410 16:31:11;24.8;456;1;447;1
20250410 13:45:10;20250410 16:45:10;23.3;455;1;446;1
20250410 14:00:11;20250410 17:00:11;21.6;458;1;451;1
20250410 14:15:12;20250410 17:15:12;19.8;458;1;450;1
20250410 14:30:12;20250410 17:30:12;18.0;463;1;456;1
20250410 14:45:12;20250410 17:45:12;16.2;464;1;455;1
20250410 15:00:13;20250410 18:00:13;14.3;468;1;457;1
20250410 15:15:14;20250410 18:15:14;12.5;475;1;461;1
20250410 15:30:15;20250410 18:30:15;10.6;474;1;462;1
20250410 15:45:19;20250410 18:45:19;8.7;478;1;468;1
20250410 16:00:20;20250410 19:00:20;6.8;482;1;471;1
20250410 16:15:58;20250410 19:15:58;4.9;522;1;492;1
20250410 16:31:00;20250410 19:31:00;3.0;510;1;483;1
Среднее значение ОСО (P1): 481
Стандартное отклонение: 21.24
Среднее значение ОСО (P2): 466
Стандартное отклонение: 18.12

