DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250430 02:36:09;20250430 05:36:09;3,4;508;0,0221;0,6706;1,1399;1,1393;1;460;0,0673;1,0045;1,0883;1,0946;1
20250430 02:50:29;20250430 05:50:29;5,0;482;0,0226;0,7085;1,1128;1,1163;1;422;0,0812;1,0268;1,0772;1,0845;1
20250430 03:06:03;20250430 06:06:03;6,9;449;0,0246;0,7201;1,1354;1,1355;1;428;0,091;1,0186;1,106;1,1103;1
20250430 03:21:28;20250430 06:21:28;8,7;415;0,0343;0,8089;1,0333;1,0428;1;398;0,126;1,1133;1,0235;1,0331;1
20250430 03:36:03;20250430 06:36:03;10,5;418;0,0382;0,8016;1,0737;1,0814;1;408;0,1355;1,089;1,0646;1,0729;1
20250430 03:50:33;20250430 06:50:33;12,3;403;0,0498;0,8583;1,0251;1,0347;1;398;0,1666;1,1515;1,0201;1,0296;1
20250430 04:05:29;20250430 07:05:29;14,1;406;0,0587;0,8814;1,0205;1,0301;1;399;0,1876;1,1689;1,0186;1,0282;1
20250430 04:20:29;20250430 07:20:29;16,0;410;0,0625;0,8353;1,1034;1,108;1;406;0,1887;1,0933;1,1086;1,1126;1
20250430 04:35:30;20250430 07:35:30;17,9;412;0,0676;0,8094;1,1685;1,1627;1;409;0,1955;1,0585;1,167;1,1615;1
20250430 04:51:02;20250430 07:51:02;19,9;410;0,0878;0,9121;1,0378;1,0473;1;405;0,2401;1,1788;1,0436;1,0529;1
20250430 05:05:32;20250430 08:05:32;21,7;413;0,0887;0,8512;1,1357;1,1358;1;410;0,232;1,0962;1,1422;1,1412;1
20250430 05:20:33;20250430 08:20:33;23,5;411;0,0959;0,8391;1,1717;1,1653;1;409;0,2395;1,0753;1,1795;1,1715;1
20250430 05:35:34;20250430 08:35:34;25,3;409;0,1068;0,853;1,1603;1,1561;1;408;0,2549;1,0876;1,172;1,1655;1
20250430 05:50:04;20250430 08:50:04;27,1;414;0,1168;0,8776;1,1306;1,1315;1;403;0,2755;1,1146;1,1444;1,143;1
20250430 06:05:04;20250430 09:05:04;28,9;407;0,1217;0,8446;1,1938;1,1828;1;399;0,2735;1,0713;1,2082;1,1939;1
20250430 06:20:04;20250430 09:20:04;30,6;411;0,1285;0,85;1,1916;1,1811;1;402;0,2814;1,0734;1,2098;1,1951;1
20250430 06:35:04;20250430 09:35:04;32,3;410;0,1333;0,8385;1,2194;1,2025;1;402;0,2844;1,0588;1,2353;1,2144;1
20250430 06:50:05;20250430 09:50:05;33,9;412;0,1426;0,8572;1,1909;1,1805;1;402;0,2981;1,0777;1,21;1,1952;1
20250430 07:05:05;20250430 10:05:05;35,4;416;0,1478;0,8613;1,1885;1,1786;1;406;0,3039;1,0817;1,2064;1,1925;1
20250430 07:20:36;20250430 10:20:36;36,9;417;0,1513;0,8549;1,2039;1,1906;1;405;0,3057;1,0696;1,2258;1,2072;1
20250430 07:35:06;20250430 10:35:06;38,2;414;0,1564;0,8522;1,2123;1,197;1;401;0,311;1,0646;1,2346;1,2139;1
20250430 07:50:06;20250430 10:50:06;39,5;413;0,165;0,8681;1,1869;1,1774;1;402;0,322;1,0835;1,2077;1,1935;1
20250430 08:05:07;20250430 11:05:07;40,7;416;0,1693;0,8752;1,1772;1,1697;1;402;0,3293;1,0909;1,198;1,186;1
20250430 08:20:07;20250430 11:20:07;41,7;420;0,1751;0,8924;1,1513;1,1487;1;403;0,3393;1,1103;1,1724;1,1659;1
20250430 08:35:07;20250430 11:35:07;42,6;414;0,1738;0,8655;1,1977;1,1858;1;402;0,3307;1,0786;1,2168;1,2005;1
20250430 08:50:08;20250430 11:50:08;43,4;412;0,1763;0,8634;1,2029;1,1898;1;398;0,3334;1,0745;1,2233;1,2054;1
20250430 09:05:09;20250430 12:05:09;44,0;421;0,1929;0,9391;1,0883;1,0946;1;400;0,368;1,1622;1,1109;1,1145;1
20250430 09:20:40;20250430 12:20:40;44,5;430;0,2091;1,0298;0,9905;0,9987;1;405;0,4058;1,2795;1,0034;1,0125;1
20250430 09:35:41;20250430 12:35:41;44,8;430;0,2111;1,0326;0,9883;0,9963;1;403;0,4091;1,2814;1,0021;1,0111;1
20250430 09:50:42;20250430 12:50:42;44,9;426;0,205;0,99;1,0298;1,0394;1;403;0,392;1,2265;1,0472;1,0564;1
20250430 10:05:42;20250430 13:05:42;44,9;420;0,1924;0,9239;1,1098;1,1137;1;404;0,3629;1,1467;1,1287;1,1299;1
20250430 10:20:43;20250430 13:20:43;44,6;426;0,2105;1,0216;0,9982;1,0069;1;403;0,4046;1,2696;1,0111;1,0204;1
20250430 10:35:44;20250430 13:35:44;44,3;425;0,2109;1,0297;0,9904;0,9986;1;401;0,4076;1,2799;1,0031;1,0122;1
20250430 10:50:44;20250430 13:50:44;43,7;426;0,2084;1,0278;0,9916;0,9999;1;404;0,4044;1,2805;1,0026;1,0116;1
20250430 11:05:45;20250430 14:05:45;43,1;424;0,205;1,0183;0,9995;1,0084;1;401;0,3995;1,268;1,012;1,0213;1
20250430 11:20:45;20250430 14:20:45;42,2;425;0,2016;1,0174;0,9994;1,0082;1;404;0,3949;1,2684;1,0113;1,0207;1
20250430 11:35:14;20250430 14:35:14;41,3;414;0,1868;0,9382;1,0856;1,0921;1;396;0,3621;1,1638;1,108;1,1121;1
20250430 11:50:46;20250430 14:50:46;40,2;408;0,1691;0,8676;1,1891;1,1791;1;399;0,3267;1,0853;1,2056;1,1919;1
20250430 12:05:16;20250430 15:05:16;39,0;405;0,1632;0,8553;1,2084;1,1941;1;397;0,3174;1,0698;1,2275;1,2086;1
20250430 12:20:47;20250430 15:20:47;37,6;425;0,1824;1,0118;0,9984;1,0072;1;408;0,3737;1,2701;1,0079;1,0172;1
20250430 12:35:47;20250430 15:35:47;36,2;424;0,1774;1,0158;0,9925;1,0009;1;406;0,3697;1,2748;1,0034;1,0125;1
20250430 12:50:48;20250430 15:50:48;34,7;422;0,1693;1,0027;1,002;1,011;1;405;0,3584;1,2587;1,0147;1,0242;1
20250430 13:05:17;20250430 16:05:17;33,2;419;0,1547;0,9475;1,0578;1,0666;1;403;0,3317;1,1895;1,0746;1,0821;1
20250430 13:20:48;20250430 16:20:48;31,5;421;0,1528;0,9915;1,0059;1,0151;1;408;0,337;1,2519;1,0166;1,0261;1
20250430 13:35:49;20250430 16:35:49;29,8;419;0,1387;0,9468;1,049;1,0581;1;408;0,3121;1,1954;1,0634;1,0718;1
20250430 13:50:49;20250430 16:50:49;28,1;418;0,1348;0,9766;1,0109;1,0203;1;407;0,3134;1,2392;1,0209;1,0304;1
20250430 14:05:50;20250430 17:05:50;26,3;416;0,1256;0,97;1,0113;1,0207;1;406;0,3012;1,2336;1,021;1,0306;1
20250430 14:20:51;20250430 17:20:51;24,5;415;0,116;0,9669;1,0068;1,016;1;406;0,2887;1,2341;1,0148;1,0243;1
20250430 14:35:51;20250430 17:35:51;22,6;410;0,1067;0,9565;1,0082;1,0175;1;405;0,2731;1,2266;1,0144;1,0238;1
20250430 14:50:52;20250430 17:50:52;20,8;409;0,0962;0,9444;1,0087;1,018;1;403;0,2574;1,2178;1,014;1,0235;1
20250430 15:05:52;20250430 18:05:52;18,9;408;0,0851;0,929;1,0117;1,0211;1;403;0,2386;1,2065;1,0148;1,0242;1
20250430 15:20:53;20250430 18:20:53;17,0;408;0,0744;0,9128;1,0141;1,0235;1;402;0,2191;1,1944;1,015;1,0245;1
20250430 15:35:53;20250430 18:35:53;15,2;406;0,0642;0,8936;1,0175;1,027;1;400;0,1994;1,1796;1,0163;1,0258;1
20250430 15:50:55;20250430 18:50:55;13,3;403;0,0548;0,8706;1,0231;1,0327;1;398;0,1784;1,1624;1,0182;1,0277;1
20250430 16:05:59;20250430 19:05:59;11,4;405;0,0456;0,8482;1,0258;1,0354;1;398;0,1569;1,1442;1,0196;1,0291;1
20250430 16:20:59;20250430 19:20:59;9,6;410;0,0377;0,8209;1,0323;1,0419;1;395;0,1371;1,1242;1,0216;1,0312;1
20250430 16:35:59;20250430 19:35:59;7,8;411;0,0322;0,7934;1,0376;1,0471;1;392;0,1183;1,104;1,0235;1,0331;1
20250430 16:51:36;20250430 19:51:36;5,9;418;0,0288;0,764;1,0435;1,0528;1;402;0,098;1,0857;1,0238;1,0334;1
20250430 17:06:39;20250430 20:06:39;4,2;445;0,0271;0,7337;1,0511;1,0601;1;403;0,0848;1,0692;1,0252;1,0348;1
