DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250422 02:56:57;20250422 05:56:57;3.4;398;1;370;1
20250422 03:11:22;20250422 06:11:22;5.1;396;1;362;1
20250422 03:26:52;20250422 06:26:52;7.0;358;1;361;1
20250422 03:41:20;20250422 06:41:20;8.8;354;1;353;1
20250422 03:56:21;20250422 06:56:21;10.6;346;1;345;1
20250422 04:11:17;20250422 07:11:17;12.5;347;1;347;1
20250422 04:26:18;20250422 07:26:18;14.4;346;1;341;1
20250422 04:41:19;20250422 07:41:19;16.3;344;1;339;1
20250422 04:56:19;20250422 07:56:19;18.1;346;1;340;1
20250422 05:11:20;20250422 08:11:20;20.0;349;1;338;1
20250422 05:26:20;20250422 08:26:20;21.8;350;1;340;1
20250422 05:41:21;20250422 08:41:21;23.6;351;1;340;1
20250422 05:56:22;20250422 08:56:22;25.4;352;1;340;1
20250422 06:11:22;20250422 09:11:22;27.2;353;1;339;1
20250422 06:26:22;20250422 09:26:22;28.9;352;1;338;1
20250422 06:41:22;20250422 09:41:22;30.5;351;1;336;1
20250422 06:56:23;20250422 09:56:23;32.1;351;1;335;1
20250422 07:11:24;20250422 10:11:24;33.5;351;1;334;1
20250422 07:26:24;20250422 10:26:24;35.0;351;1;333;1
20250422 07:41:24;20250422 10:41:24;36.3;352;1;335;1
20250422 07:56:25;20250422 10:56:25;37.5;352;1;334;1
20250422 08:11:26;20250422 11:11:26;38.6;353;1;335;1
20250422 08:26:27;20250422 11:26:27;39.5;353;1;332;1
20250422 08:41:27;20250422 11:41:27;40.4;353;1;332;1
20250422 08:56:27;20250422 11:56:27;41.1;353;1;332;1
20250422 09:11:28;20250422 12:11:28;41.6;352;1;332;1
20250422 09:26:28;20250422 12:26:28;42.0;352;1;332;1
20250422 09:41:28;20250422 12:41:28;42.3;354;1;336;1
20250422 09:57:00;20250422 12:57:00;42.3;352;1;331;1
20250422 10:10:59;20250422 13:10:59;42.3;346;1;328;1
20250422 10:26:30;20250422 13:26:30;42.0;353;1;336;1
20250422 10:41:30;20250422 13:41:30;41.6;353;1;328;1
20250422 10:56:00;20250422 13:56:00;41.1;339;1;331;1
20250422 11:11:32;20250422 14:11:32;40.3;355;1;337;1
20250422 11:26:32;20250422 14:26:32;39.5;353;1;336;1
20250422 11:41:02;20250422 14:41:02;38.5;348;1;343;1
20250422 11:56:02;20250422 14:56:02;37.4;351;1;340;1
20250422 12:11:03;20250422 15:11:03;36.2;348;1;344;1
20250422 12:26:03;20250422 15:26:03;34.9;346;1;341;1
20250422 12:41:34;20250422 15:41:34;33.5;348;1;343;1
20250422 12:56:35;20250422 15:56:35;32.0;350;1;349;1
20250422 13:11:36;20250422 16:11:36;30.4;350;1;347;1
20250422 13:26:36;20250422 16:26:36;28.8;350;1;346;1
20250422 13:41:37;20250422 16:41:37;27.1;351;1;348;1
20250422 13:56:37;20250422 16:56:37;25.3;352;1;352;1
20250422 14:11:37;20250422 17:11:37;23.6;353;1;351;1
20250422 14:26:38;20250422 17:26:38;21.7;354;1;353;1
20250422 14:41:38;20250422 17:41:38;19.9;352;1;350;1
20250422 14:57:10;20250422 17:57:10;18.0;357;1;354;1
20250422 15:11:40;20250422 18:11:40;16.2;355;1;355;1
20250422 15:26:41;20250422 18:26:41;14.3;352;1;353;1
20250422 15:41:42;20250422 18:41:42;12.4;356;1;356;1
20250422 15:56:47;20250422 18:56:47;10.5;361;1;359;1
20250422 16:12:24;20250422 19:12:24;8.6;366;1;367;1
20250422 16:26:51;20250422 19:26:51;6.8;377;1;363;1
20250422 16:41:48;20250422 19:41:48;5.0;409;1;370;1
20250422 16:57:30;20250422 19:57:30;3.2;449;1;391;1
