DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250414 03:19:09;20250414 06:19:09;3,4;390;0,0302;0,714;1,0622;1,0707;1;378;0,0858;1,0511;1,0368;1,0463;1
20250414 03:33:27;20250414 06:33:27;5,1;361;0,0309;0,7345;1,0716;1,0794;1;366;0,0998;1,0437;1,0594;1,068;1
20250414 03:48:28;20250414 06:48:28;7,0;360;0,0335;0,7423;1,0992;1,1044;1;364;0,1143;1,0284;1,0957;1,1012;1
20250414 04:03:28;20250414 07:03:28;8,9;359;0,0399;0,7755;1,0839;1,0907;1;361;0,1364;1,0535;1,0869;1,0934;1
20250414 04:18:28;20250414 07:18:28;10,8;351;0,0529;0,8315;1,0369;1,0464;1;353;0,169;1,108;1,0477;1,0568;1
20250414 04:33:29;20250414 07:33:29;12,6;347;0,0672;0,8852;0,999;1,0078;1;347;0,202;1,1651;1,011;1,0204;1
20250414 04:48:26;20250414 07:48:26;14,5;356;0,0681;0,8139;1,117;1,1199;1;356;0,1952;1,0629;1,133;1,1335;1
20250414 05:03:27;20250414 08:03:27;16,4;354;0,0828;0,8527;1,0821;1,089;1;352;0,2232;1,1028;1,1004;1,1054;1
20250414 05:18:28;20250414 08:18:28;18,2;353;0,0947;0,8647;1,0845;1,0912;1;351;0,2414;1,1098;1,1051;1,1096;1
20250414 05:33:29;20250414 08:33:29;20,0;354;0,107;0,8858;1,0721;1,0799;1;351;0,2618;1,1326;1,0908;1,0969;1
20250414 05:48:29;20250414 08:48:29;21,8;353;0,1159;0,8811;1,0925;1,0984;1;350;0,2721;1,1187;1,1159;1,1189;1
20250414 06:03:30;20250414 09:03:30;23,6;353;0,1283;0,9;1,0796;1,0868;1;349;0,2904;1,1392;1,1013;1,1062;1
20250414 06:18:30;20250414 09:18:30;25,3;354;0,1428;0,9408;1,0384;1,0479;1;350;0,3156;1,1893;1,0568;1,0656;1
20250414 06:33:00;20250414 09:33:00;26,9;354;0,1419;0,8872;1,1153;1,1184;1;348;0,3048;1,1184;1,1389;1,1385;1
20250414 06:48:31;20250414 09:48:31;28,5;354;0,1515;0,8964;1,1092;1,1131;1;351;0,3157;1,128;1,1326;1,1332;1
20250414 07:03:33;20250414 10:03:33;30,0;356;0,1696;0,9597;1,0351;1,0446;1;353;0,3477;1,2051;1,0547;1,0636;1
20250414 07:18:33;20250414 10:18:33;31,5;357;0,1767;0,9637;1,0347;1,0442;1;351;0,3574;1,2083;1,0542;1,0631;1
20250414 07:33:34;20250414 10:33:34;32,8;356;0,1806;0,9467;1,0577;1,0664;1;350;0,3568;1,1822;1,0814;1,0883;1
20250414 07:48:35;20250414 10:48:35;34,1;355;0,1875;0,9517;1,0549;1,0638;1;349;0,3656;1,1887;1,0764;1,0839;1
20250414 08:03:36;20250414 11:03:36;35,2;358;0,1992;0,9907;1,0148;1,0242;1;351;0,3856;1,2366;1,0334;1,0429;1
20250414 08:18:37;20250414 11:18:37;36,3;357;0,2003;0,971;1,0376;1,0471;1;353;0,3814;1,2124;1,0558;1,0646;1
20250414 08:33:38;20250414 11:33:38;37,2;358;0,2067;0,9854;1,0238;1,0334;1;355;0,3908;1,2317;1,0391;1,0485;1
20250414 08:48:38;20250414 11:48:38;37,9;358;0,2092;0,9803;1,0304;1,04;1;354;0,3924;1,2253;1,0453;1,0546;1
20250414 09:03:39;20250414 12:03:39;38,6;358;0,2079;0,9654;1,048;1,0572;1;357;0,3864;1,2049;1,0644;1,0728;1
20250414 09:18:39;20250414 12:18:39;39,0;358;0,2139;0,9826;1,0299;1,0394;1;355;0,3968;1,2261;1,0453;1,0545;1
20250414 09:33:41;20250414 12:33:41;39,4;359;0,2173;0,9945;1,018;1,0276;1;356;0,4028;1,2417;1,0319;1,0414;1
20250414 09:48:42;20250414 12:48:42;39,5;359;0,2163;0,9852;1,0278;1,0374;1;354;0,4004;1,2293;1,0427;1,0521;1
20250414 10:03:42;20250414 13:03:42;39,6;359;0,2168;0,9884;1,0246;1,0341;1;355;0,4013;1,2336;1,0389;1,0483;1
20250414 10:18:42;20250414 13:18:42;39,4;360;0,2131;0,977;1,0365;1,046;1;359;0,3948;1,2221;1,049;1,0581;1
20250414 10:33:12;20250414 13:33:12;39,1;354;0,2017;0,917;1,1102;1,114;1;353;0,3685;1,1435;1,1298;1,1308;1
20250414 10:48:12;20250414 13:48:12;38,7;350;0,1901;0,8692;1,1832;1,1744;1;352;0,3458;1,0888;1,1996;1,1873;1
20250414 11:03:13;20250414 14:03:13;38,1;348;0,1831;0,8484;1,2189;1,2021;1;351;0,3337;1,0629;1,2372;1,2158;1
