DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250409 03:33:27;20250409 06:33:27;3.4;458;1;445;1
20250409 03:47:45;20250409 06:47:45;5.2;504;1;454;1
20250409 04:02:46;20250409 07:02:46;7.0;448;1;435;1
20250409 04:17:46;20250409 07:17:46;8.9;456;1;439;1
20250409 04:35:02;20250409 07:35:02;11.1;464;1;444;1
20250409 04:47:44;20250409 07:47:44;12.7;463;1;446;1
20250409 05:02:44;20250409 08:02:44;14.5;461;1;444;1
20250409 05:17:45;20250409 08:17:45;16.4;456;1;444;1
20250409 05:32:46;20250409 08:32:46;18.2;447;1;440;1
20250409 05:47:47;20250409 08:47:47;20.0;449;1;441;1
20250409 06:02:48;20250409 09:02:48;21.7;448;1;440;1
20250409 06:17:48;20250409 09:17:48;23.4;447;1;440;1
20250409 06:32:49;20250409 09:32:49;25.1;447;1;440;1
20250409 06:48:21;20250409 09:48:21;26.7;458;1;447;1
20250409 07:02:51;20250409 10:02:51;28.2;461;1;450;1
20250409 07:18:22;20250409 10:18:22;29.6;470;1;451;1
20250409 07:32:22;20250409 10:32:22;30.9;474;1;450;1
20250409 07:48:23;20250409 10:48:23;32.2;465;1;450;1
20250409 08:02:53;20250409 11:02:53;33.3;468;1;454;1
20250409 08:17:54;20250409 11:17:54;34.4;475;1;459;1
20250409 08:32:55;20250409 11:32:55;35.3;467;1;450;1
20250409 08:48:27;20250409 11:48:27;36.1;466;1;449;1
20250409 09:02:57;20250409 12:02:57;36.7;469;1;453;1
20250409 09:17:58;20250409 12:17:58;37.2;476;1;463;1
20250409 09:32:28;20250409 12:32:28;37.5;467;1;446;1
20250409 09:47:59;20250409 12:47:59;37.7;476;1;462;1
20250409 10:03:00;20250409 13:03:00;37.7;473;1;456;1
20250409 10:18:01;20250409 13:18:01;37.6;465;1;451;1
20250409 10:33:02;20250409 13:33:02;37.4;466;1;448;1
20250409 10:48:02;20250409 13:48:02;36.9;466;1;448;1
20250409 11:03:33;20250409 14:03:33;36.4;466;1;445;1
20250409 11:18:03;20250409 14:18:03;35.7;463;1;450;1
20250409 11:32:32;20250409 14:32:32;34.9;463;1;444;1
20250409 11:48:03;20250409 14:48:03;33.9;463;1;447;1
20250409 12:03:04;20250409 15:03:04;32.8;459;1;447;1
20250409 12:18:05;20250409 15:18:05;31.6;468;1;455;1
20250409 12:33:06;20250409 15:33:06;30.3;468;1;452;1
20250409 12:48:06;20250409 15:48:06;28.9;466;1;452;1
20250409 13:03:06;20250409 16:03:06;27.5;466;1;455;1
20250409 13:18:07;20250409 16:18:07;25.9;467;1;456;1
20250409 13:33:08;20250409 16:33:08;24.3;461;1;453;1
20250409 13:48:09;20250409 16:48:09;22.6;465;1;458;1
20250409 14:04:10;20250409 17:04:10;20.8;471;1;461;1
20250409 14:18:40;20250409 17:18:40;19.1;473;1;465;1
20250409 14:33:10;20250409 17:33:10;17.4;475;1;466;1
20250409 14:48:15;20250409 17:48:15;15.5;476;1;464;1
20250409 15:03:15;20250409 18:03:15;13.7;485;1;468;1
20250409 15:18:16;20250409 18:18:16;11.8;482;1;469;1
20250409 15:33:48;20250409 18:33:48;9.9;494;1;485;1
20250409 15:48:17;20250409 18:48:17;8.1;483;1;476;1
20250409 16:03:51;20250409 19:03:51;6.1;492;1;487;1
20250409 16:18:55;20250409 19:18:55;4.3;538;1;489;1
Среднее значение ОСО (P1): 468
Стандартное отклонение: 15.14
Среднее значение ОСО (P2): 453
Стандартное отклонение: 11.9

