DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250417 03:10:42;20250417 06:10:42;3.4;320;1;338;1
20250417 03:24:59;20250417 06:24:59;5.1;334;1;338;1
20250417 03:40:00;20250417 06:40:00;7.0;337;1;339;1
20250417 03:55:17;20250417 06:55:17;8.9;337;1;337;1
20250417 04:09:56;20250417 07:09:56;10.7;333;1;332;1
20250417 04:24:57;20250417 07:24:57;12.6;332;1;334;1
20250417 04:39:58;20250417 07:39:58;14.5;332;1;333;1
20250417 04:54:59;20250417 07:54:59;16.3;330;1;330;1
20250417 05:09:59;20250417 08:09:59;18.2;333;1;333;1
20250417 05:25:00;20250417 08:25:00;20.0;330;1;331;1
20250417 05:40:01;20250417 08:40:01;21.9;330;1;330;1
20250417 05:55:02;20250417 08:55:02;23.6;330;1;329;1
20250417 06:10:03;20250417 09:10:03;25.4;327;1;328;1
20250417 06:25:03;20250417 09:25:03;27.1;327;1;323;1
20250417 06:40:35;20250417 09:40:35;28.7;333;1;326;1
20250417 06:55:05;20250417 09:55:05;30.2;334;1;325;1
20250417 07:09:35;20250417 10:09:35;31.7;334;1;324;1
20250417 07:24:35;20250417 10:24:35;33.1;331;1;320;1
20250417 07:40:37;20250417 10:40:37;34.5;337;1;329;1
20250417 07:55:07;20250417 10:55:07;35.7;341;1;334;1
20250417 08:10:07;20250417 11:10:07;36.8;346;1;337;1
20250417 08:25:08;20250417 11:25:08;37.7;344;1;333;1
20250417 08:40:09;20250417 11:40:09;38.6;349;1;343;1
20250417 08:55:09;20250417 11:55:09;39.3;350;1;342;1
20250417 09:10:10;20250417 12:10:10;39.9;351;1;345;1
20250417 09:25:11;20250417 12:25:11;40.3;346;1;337;1
20250417 09:40:12;20250417 12:40:12;40.5;348;1;338;1
20250417 09:55:14;20250417 12:55:14;40.6;349;1;338;1
20250417 10:10:14;20250417 13:10:14;40.6;355;1;348;1
20250417 10:25:14;20250417 13:25:14;40.4;361;1;358;1
20250417 10:41:16;20250417 13:41:16;40.0;351;1;338;1
20250417 10:55:15;20250417 13:55:15;39.5;348;1;340;1
20250417 11:10:15;20250417 14:10:15;38.8;349;1;341;1
20250417 11:25:16;20250417 14:25:16;38.0;346;1;334;1
20250417 11:40:16;20250417 14:40:16;37.0;347;1;343;1
20250417 11:55:18;20250417 14:55:18;36.0;354;1;348;1
20250417 12:10:18;20250417 15:10:18;34.8;350;1;347;1
20250417 12:25:19;20250417 15:25:19;33.5;349;1;345;1
20250417 12:40:20;20250417 15:40:20;32.1;357;1;356;1
20250417 12:55:21;20250417 15:55:21;30.7;354;1;352;1
20250417 13:10:22;20250417 16:10:22;29.1;353;1;352;1
20250417 13:25:22;20250417 16:25:22;27.5;349;1;348;1
20250417 13:40:23;20250417 16:40:23;25.8;345;1;344;1
20250417 13:55:24;20250417 16:55:24;24.1;345;1;345;1
20250417 14:10:55;20250417 17:10:55;22.3;347;1;348;1
20250417 14:25:28;20250417 17:25:28;20.5;348;1;346;1
20250417 14:40:25;20250417 17:40:25;18.7;344;1;344;1
20250417 14:55:29;20250417 17:55:29;16.9;348;1;344;1
20250417 15:10:26;20250417 18:10:26;15.0;339;1;339;1
20250417 15:25:27;20250417 18:25:27;13.1;345;1;347;1
20250417 15:41:09;20250417 18:41:09;11.2;351;1;351;1
20250417 15:56:15;20250417 18:56:15;9.3;354;1;353;1
20250417 16:11:12;20250417 19:11:12;7.4;360;1;356;1
20250417 16:26:16;20250417 19:26:16;5.6;363;1;358;1
20250417 16:41:17;20250417 19:41:17;3.8;394;1;364;1
Среднее значение ОСО (P1): 344
Стандартное отклонение: 11.87
Среднее значение ОСО (P2): 340
Стандартное отклонение: 9.77

