DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250418 03:08:04;20250418 06:08:04;3,4;430;0,0283;0,715;1,0609;1,0694;1;366;0,0883;1,0365;1,0521;1,0611;1
20250418 03:22:55;20250418 06:22:55;5,2;369;0,0305;0,7424;1,0603;1,0689;1;361;0,1028;1,0487;1,0546;1,0634;1
20250418 03:37:51;20250418 06:37:51;7,0;359;0,0348;0,7658;1,0627;1,0712;1;358;0,1212;1,0569;1,0635;1,0719;1
20250418 03:52:12;20250418 06:52:12;8,8;349;0,0429;0,7847;1,0688;1,0768;1;347;0,1454;1,0622;1,0764;1,0838;1
20250418 04:07:13;20250418 07:07:13;10,7;345;0,0519;0,7927;1,0904;1,0965;1;344;0,1652;1,0581;1,1012;1,1061;1
20250418 04:22:13;20250418 07:22:13;12,6;345;0,0617;0,8098;1,0951;1,1007;1;344;0,1855;1,0682;1,1084;1,1124;1
20250418 04:37:14;20250418 07:37:14;14,5;345;0,074;0,8329;1,0874;1,0938;1;345;0,2068;1,0894;1,1006;1,1056;1
20250418 04:52:11;20250418 07:52:11;16,3;344;0,084;0,8286;1,1173;1,1201;1;343;0,2216;1,0753;1,1328;1,1333;1
20250418 05:07:12;20250418 08:07:12;18,2;343;0,0954;0,838;1,1238;1,1257;1;343;0,2382;1,0809;1,1397;1,1391;1
20250418 05:22:12;20250418 08:22:12;20,0;343;0,1058;0,8419;1,136;1,136;1;343;0,252;1,0799;1,1533;1,1503;1
20250418 05:37:13;20250418 08:37:13;21,9;342;0,1171;0,8519;1,1362;1,1362;1;342;0,2672;1,0873;1,1545;1,1513;1
20250418 05:52:14;20250418 08:52:14;23,6;342;0,1276;0,8601;1,1377;1,1375;1;341;0,281;1,0923;1,1576;1,1539;1
20250418 06:07:15;20250418 09:07:15;25,4;343;0,1351;0,8566;1,1546;1,1515;1;342;0,2887;1,0832;1,1781;1,1704;1
20250418 06:22:16;20250418 09:22:16;27,1;341;0,1439;0,8553;1,1663;1,1609;1;339;0,2976;1,0801;1,1896;1,1795;1
20250418 06:37:16;20250418 09:37:16;28,7;341;0,1513;0,8548;1,1752;1,168;1;339;0,3053;1,0773;1,1991;1,1869;1
20250418 06:52:17;20250418 09:52:17;30,3;341;0,1592;0,8581;1,1765;1,1691;1;338;0,3143;1,0794;1,2005;1,188;1
