DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250408 03:36:23;20250408 06:36:23;3.4;438;1;414;1
20250408 03:50:44;20250408 06:50:44;5.2;445;1;410;1
20250408 04:05:41;20250408 07:05:41;7.0;429;1;414;1
20250408 04:20:41;20250408 07:20:41;8.9;429;1;414;1
20250408 04:35:42;20250408 07:35:42;10.8;426;1;413;1
20250408 04:50:38;20250408 07:50:38;12.7;425;1;415;1
20250408 05:05:38;20250408 08:05:38;14.5;423;1;417;1
20250408 05:20:39;20250408 08:20:39;16.4;423;1;416;1
20250408 05:37:18;20250408 08:37:18;18.4;423;1;417;1
20250408 05:50:42;20250408 08:50:42;20.0;422;1;416;1
20250408 06:05:43;20250408 09:05:43;21.7;425;1;418;1
20250408 06:21:01;20250408 09:21:01;23.4;424;1;416;1
20250408 06:35:45;20250408 09:35:45;25.0;425;1;413;1
20250408 06:50:15;20250408 09:50:15;26.5;427;1;413;1
20250408 07:05:46;20250408 10:05:46;28.1;423;1;407;1
20250408 07:20:47;20250408 10:20:47;29.5;429;1;413;1
20250408 07:35:47;20250408 10:35:47;30.8;432;1;414;1
20250408 07:50:48;20250408 10:50:48;32.0;432;1;412;1
20250408 08:05:49;20250408 11:05:49;33.2;434;1;410;1
20250408 08:20:49;20250408 11:20:49;34.2;434;1;411;1
20250408 08:35:50;20250408 11:35:50;35.0;438;1;411;1
20250408 08:50:50;20250408 11:50:50;35.8;437;1;412;1
20250408 09:05:51;20250408 12:05:51;36.4;437;1;413;1
20250408 09:20:51;20250408 12:20:51;36.9;439;1;414;1
20250408 09:35:52;20250408 12:35:52;37.2;440;1;416;1
20250408 09:50:52;20250408 12:50:52;37.3;440;1;416;1
20250408 10:05:52;20250408 13:05:52;37.4;441;1;417;1
20250408 10:20:53;20250408 13:20:53;37.2;442;1;418;1
20250408 10:35:54;20250408 13:35:54;36.9;443;1;419;1
20250408 10:50:54;20250408 13:50:54;36.5;444;1;419;1
20250408 11:05:55;20250408 14:05:55;35.9;443;1;420;1
20250408 11:20:55;20250408 14:20:55;35.2;444;1;421;1
20250408 11:35:55;20250408 14:35:55;34.3;443;1;421;1
20250408 11:50:55;20250408 14:50:55;33.3;441;1;421;1
20250408 12:05:55;20250408 15:05:55;32.2;442;1;423;1
20250408 12:20:55;20250408 15:20:55;31.0;440;1;421;1
20250408 12:35:56;20250408 15:35:56;29.7;438;1;421;1
20250408 12:50:57;20250408 15:50:57;28.3;438;1;422;1
20250408 13:05:57;20250408 16:05:57;26.9;437;1;423;1
20250408 13:20:58;20250408 16:20:58;25.3;435;1;424;1
20250408 13:35:58;20250408 16:35:58;23.7;433;1;425;1
20250408 13:50:59;20250408 16:50:59;22.0;431;1;425;1
20250408 14:05:59;20250408 17:05:59;20.3;432;1;425;1
20250408 14:20:59;20250408 17:20:59;18.5;430;1;425;1
20250408 14:35:59;20250408 17:35:59;16.7;431;1;425;1
20250408 14:51:00;20250408 17:51:00;14.9;430;1;424;1
20250408 15:06:00;20250408 18:06:00;13.1;435;1;424;1
20250408 15:21:05;20250408 18:21:05;11.2;433;1;421;1
20250408 15:36:06;20250408 18:36:06;9.3;433;1;423;1
20250408 15:51:07;20250408 18:51:07;7.4;432;1;421;1
20250408 16:06:44;20250408 19:06:44;5.5;422;1;425;1
20250408 16:21:51;20250408 19:21:51;3.6;441;1;421;1
Среднее значение ОСО (P1): 433
Стандартное отклонение: 6.84
Среднее значение ОСО (P2): 417
Стандартное отклонение: 4.86

