DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250419 03:05:08;20250419 06:05:08;3.4;322;1;338;1
20250419 03:20:04;20250419 06:20:04;5.2;316;1;328;1
20250419 03:34:59;20250419 06:34:59;7.0;315;1;326;1
20250419 03:49:27;20250419 06:49:27;8.8;323;1;326;1
20250419 04:04:53;20250419 07:04:53;10.7;326;1;328;1
20250419 04:19:23;20250419 07:19:23;12.5;318;1;321;1
20250419 04:34:24;20250419 07:34:24;14.4;316;1;319;1
20250419 04:49:24;20250419 07:49:24;16.3;315;1;314;1
20250419 05:04:25;20250419 08:04:25;18.2;313;1;313;1
20250419 05:19:26;20250419 08:19:26;20.0;312;1;313;1
20250419 05:34:26;20250419 08:34:26;21.8;313;1;312;1
20250419 05:49:28;20250419 08:49:28;23.6;313;1;312;1
20250419 06:04:28;20250419 09:04:28;25.4;314;1;313;1
20250419 06:19:29;20250419 09:19:29;27.1;314;1;311;1
20250419 06:34:29;20250419 09:34:29;28.8;313;1;309;1
20250419 06:49:30;20250419 09:49:30;30.4;310;1;309;1
20250419 07:04:31;20250419 10:04:31;31.9;310;1;308;1
20250419 07:19:01;20250419 10:19:01;33.3;301;1;303;1
20250419 07:34:01;20250419 10:34:01;34.6;302;1;304;1
20250419 07:49:32;20250419 10:49:32;35.9;312;1;310;1
20250419 08:04:33;20250419 11:04:33;37.1;306;1;308;1
20250419 08:19:34;20250419 11:19:34;38.1;301;1;304;1
20250419 08:34:04;20250419 11:34:04;39.0;304;1;305;1
20250419 08:49:35;20250419 11:49:35;39.8;314;1;311;1
20250419 09:04:36;20250419 12:04:36;40.4;310;1;309;1
20250419 09:19:37;20250419 12:19:37;40.8;315;1;312;1
20250419 09:34:38;20250419 12:34:38;41.2;316;1;312;1
20250419 09:49:39;20250419 12:49:39;41.3;311;1;310;1
20250419 10:04:40;20250419 13:04:40;41.3;313;1;312;1
20250419 10:19:41;20250419 13:19:41;41.1;313;1;312;1
20250419 10:34:42;20250419 13:34:42;40.8;313;1;311;1
20250419 10:49:43;20250419 13:49:43;40.3;315;1;311;1
20250419 11:04:43;20250419 14:04:43;39.7;316;1;311;1
20250419 11:19:44;20250419 14:19:44;38.9;317;1;314;1
20250419 11:34:45;20250419 14:34:45;38.0;311;1;308;1
20250419 11:49:45;20250419 14:49:45;37.0;311;1;305;1
20250419 12:04:46;20250419 15:04:46;35.8;315;1;310;1
20250419 12:19:46;20250419 15:19:46;34.6;317;1;311;1
20250419 12:34:47;20250419 15:34:47;33.2;317;1;313;1
20250419 12:49:47;20250419 15:49:47;31.8;316;1;311;1
20250419 13:04:18;20250419 16:04:18;30.3;309;1;307;1
20250419 13:19:49;20250419 16:19:49;28.7;310;1;307;1
20250419 13:34:19;20250419 16:34:19;27.1;311;1;306;1
20250419 13:49:50;20250419 16:49:50;25.3;317;1;313;1
20250419 14:04:51;20250419 17:04:51;23.6;317;1;312;1
20250419 14:19:52;20250419 17:19:52;21.8;318;1;315;1
20250419 14:34:52;20250419 17:34:52;19.9;319;1;321;1
20250419 14:49:53;20250419 17:49:53;18.1;319;1;321;1
20250419 15:04:53;20250419 18:04:53;16.2;326;1;328;1
20250419 15:20:24;20250419 18:20:24;14.3;330;1;329;1
20250419 15:34:54;20250419 18:34:54;12.5;333;1;332;1
20250419 15:49:55;20250419 18:49:55;10.6;337;1;336;1
20250419 16:04:59;20250419 19:04:59;8.7;335;1;335;1
20250419 16:20:33;20250419 19:20:33;6.8;336;1;342;1
20250419 16:35:40;20250419 19:35:40;5.0;339;1;342;1
20250419 16:50:43;20250419 19:50:43;3.2;360;1;354;1
Среднее значение ОСО (P1): 316
Стандартное отклонение: 10.11
Среднее значение ОСО (P2): 316
Стандартное отклонение: 11.12

