	MuEff				
3	Ozone	number			
88	Mueff	number			
0.05	Mueff	step			
260	315	345	Ozon	number
0.55494365	0.51027179	0.48147542	1.1	
0.539376969	0.494340141	0.466789143	1.15	
0.5243324	0.47897312	0.45255416	1.2	
0.509798281	0.464157969	0.438763438	1.25	
0.49576295	0.44988193	0.42540994	1.3	
0.482214744	0.436132246	0.412486633	1.35	
0.469142	0.42289616	0.39998648	1.4	
0.456533056	0.410160914	0.387902448	1.45	
0.44437625	0.39791375	0.3762275	1.5	
0.432659919	0.386141911	0.364954603	1.55	
0.4213724	0.37483264	0.35407672	1.6	
0.410502031	0.363973179	0.343586818	1.65	
0.40003715	0.35355077	0.33347786	1.7	
0.389966094	0.343552656	0.323742813	1.75	
0.3802772	0.33396608	0.31437464	1.8	
0.370958806	0.324778284	0.305366308	1.85	
0.36199925	0.31597651	0.29671078	1.9	
0.353386869	0.307548001	0.288401023	1.95	
0.34511	0.29948	0.28043	2	
0.337156981	0.291759749	0.272790678	2.05	
0.32951615	0.28437449	0.26547602	2.1	
0.322175844	0.277311466	0.258478993	2.15	
0.3151244	0.27055792	0.25179256	2.2	
0.308350156	0.264101094	0.245409688	2.25	
0.30184145	0.25792823	0.23932334	2.3	
0.295586619	0.252026571	0.233526483	2.35	
0.289574	0.24638336	0.22801208	2.4	
0.283791931	0.240985839	0.222773098	2.45	
0.27822875	0.23582125	0.2178025	2.5	
0.272872794	0.230876836	0.213093253	2.55	
0.2677124	0.22613984	0.20863832	2.6	
0.262735906	0.221597504	0.204430668	2.65	
0.25793165	0.21723707	0.20046326	2.7	
0.253287969	0.213045781	0.196729063	2.75	
0.2487932	0.20901088	0.19322104	2.8	
0.244435681	0.205119609	0.189932158	2.85	
0.24020375	0.20135921	0.18685538	2.9	
0.236085744	0.197716926	0.183983673	2.95	
0.23207	0.19418	0.18131	3	
0.229024325	0.19129125	0.177500025	3.05	
0.2254363	0.188145	0.1747291	3.1	
0.221905925	0.18506125	0.172007225	3.15	
0.2184332	0.18204	0.1693344	3.2	
0.215018125	0.17908125	0.166710625	3.25	
0.2116607	0.176185	0.1641359	3.3	
0.208360925	0.17335125	0.161610225	3.35	
0.2051188	0.17058	0.1591336	3.4	
0.201934325	0.16787125	0.156706025	3.45	
0.1988075	0.165225	0.1543275	3.5	
0.195738325	0.16264125	0.151998025	3.55	
0.1927268	0.16012	0.1497176	3.6	
0.189772925	0.15766125	0.147486225	3.65	
0.1868767	0.155265	0.1453039	3.7	
0.184038125	0.15293125	0.143170625	3.75	
0.1812572	0.15066	0.1410864	3.8	
0.178533925	0.14845125	0.139051225	3.85	
0.1758683	0.146305	0.1370651	3.9	
0.173260325	0.14422125	0.135128025	3.95	
0.17071	0.1422	0.13324	4	
0.168217325	0.14024125	0.131401025	4.05	
0.1657823	0.138345	0.1296111	4.1	
0.163404925	0.13651125	0.127870225	4.15	
0.1610852	0.13474	0.1261784	4.2	
0.158823125	0.13303125	0.124535625	4.25	
0.1566187	0.131385	0.1229419	4.3	
0.154471925	0.12980125	0.121397225	4.35	
0.1523828	0.12828	0.1199016	4.4	
0.150351325	0.12682125	0.118455025	4.45	
0.1483775	0.125425	0.1170575	4.5	
0.146461325	0.12409125	0.115709025	4.55	
0.1446028	0.12282	0.1144096	4.6	
0.142801925	0.12161125	0.113159225	4.65	
0.1410587	0.120465	0.1119579	4.7	
0.139373125	0.11938125	0.110805625	4.75	
0.1377452	0.11836	0.1097024	4.8	
0.136174925	0.11740125	0.108648225	4.85	
0.1346623	0.116505	0.1076431	4.9	
0.133207325	0.11567125	0.106687025	4.95	
0.13181	0.1149	0.10578	5	
0.130470325	0.11419125	0.104922025	5.05	
0.1291883	0.113545	0.1041131	5.1	
0.127963925	0.11296125	0.103353225	5.15	
0.1267972	0.11244	0.1026424	5.2	
0.125688125	0.11198125	0.101980625	5.25	
0.1246367	0.111585	0.1013679	5.3	
0.123642925	0.11125125	0.100804225	5.35	
0.1227068	0.11098	0.1002896	5.4	
0.121828325	0.11077125	0.099824025	5.45	
