DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231026 05:37:58;20231026 08:37:58;3,1;-10762;-0,6592;-6,3396;-3,9779;-0,1469;0;8904;0,4596;6,1842;-2,1929;0,156;0
20231026 05:47:59;20231026 08:47:59;4,2;41944;0,6678;0,2606;-10,9278;3,5868;0;94020;2,1509;-2,9;-5,4453;-0,3311;0
20231026 05:57:59;20231026 08:57:59;5,2;2182;0,6838;1,9443;-0,4674;0,4847;0;802;0,0113;0,671;1,3196;1,4358;0
20231026 06:07:59;20231026 09:07:59;6,2;10267;0,7765;-28,2632;-3,2083;-0,0337;0;-16580;-3,4182;0,3526;-2,6881;2,7546;0
20231026 06:18:00;20231026 09:18:00;7,2;-13456;-1,0763;-1,606;-7,6668;-0,5995;0;-16472808;-14,1884;-0,0611;-677,6346;-16,0537;0
20231026 06:28:01;20231026 09:28:01;8,1;-848;0,8086;0,6378;1,1543;1,5257;0;72595;2,5;-1,6522;-7,6959;-0,6004;0
20231026 06:38:01;20231026 09:38:01;9,0;-1667;-1,3097;3,0909;-1,2087;0,318;0;1663;1,4686;1,7073;-0,1949;0,5872;0
20231026 06:48:02;20231026 09:48:02;9,9;-443;-0,5253;3,7246;-1,4655;0,2663;0;-1469;1,0987;0,786;1,2865;1,2883;0
20231026 06:58:02;20231026 09:58:02;10,7;1934;0,1782;4,9312;-1,7986;0,2028;0;-2873935;-5,925;-0,0922;-346,4475;-11,0879;0
20231026 07:08:03;20231026 10:08:03;11,5;362;-0,068;167,6;-2,9529;0,006;1;5412;0,2867;0,3086;-6,9361;3,3386;0
20231026 07:18:03;20231026 10:18:03;12,3;14012;-4,1984;0,6301;1,0606;1,6085;0;11850;1,4039;0,3579;-3,6081;2,9006;0
20231026 07:28:03;20231026 10:28:03;13,0;2512;0,3679;4,0;-1,5242;0,2548;0;110;-0,1814;6,3659;-2,1472;0,1642;1
20231026 07:38:04;20231026 10:38:04;13,7;-181009;-0,4105;-0,0902;-383,6095;-11,354;0;-74340;-2,8016;-0,6029;-20,8462;-1,7435;0
20231026 07:48:05;20231026 10:48:05;14,3;85009;1,3192;-0,5339;-24,1409;-1,927;0;934;0,2788;1,9643;-0,3815;0,5379;0
