DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20231026 05:37:58;20231026 08:37:58;3.1;-10762;0;8904;0
20231026 05:47:59;20231026 08:47:59;4.2;41944;0;94020;0
20231026 05:57:59;20231026 08:57:59;5.2;2182;0;802;0
20231026 06:07:59;20231026 09:07:59;6.2;10267;0;-16580;0
20231026 06:18:00;20231026 09:18:00;7.2;-13456;0;-16472808;0
20231026 06:28:01;20231026 09:28:01;8.1;-848;0;72595;0
20231026 06:38:01;20231026 09:38:01;9.0;-1667;0;1663;0
20231026 06:48:02;20231026 09:48:02;9.9;-443;0;-1469;0
20231026 06:58:02;20231026 09:58:02;10.7;1934;0;-2873935;0
20231026 07:08:03;20231026 10:08:03;11.5;362;1;5412;0
20231026 07:18:03;20231026 10:18:03;12.3;14012;0;11850;0
20231026 07:28:03;20231026 10:28:03;13.0;2512;0;110;1
20231026 07:38:04;20231026 10:38:04;13.7;-181009;0;-74340;0
20231026 07:48:05;20231026 10:48:05;14.3;85009;0;934;0
20231026 07:58:05;20231026 10:58:05;14.8;6107986;0;494;1
20231026 08:08:05;20231026 11:08:05;15.4;-2926;0;-167;0
20231026 08:18:06;20231026 11:18:06;15.8;10964;0;256;1
20231026 08:28:07;20231026 11:28:07;16.3;2474;0;-359;0
20231026 08:38:07;20231026 11:38:07;16.6;205621;0;-2711879;0
20231026 08:48:07;20231026 11:48:07;17.0;-15170925;0;16974;0
20231026 08:58:08;20231026 11:58:08;17.2;7549226;0;166929;0
20231026 09:08:09;20231026 12:08:09;17.4;-1772;0;7327;0
20231026 09:18:10;20231026 12:18:10;17.6;343;1;-2063;0
20231026 09:28:10;20231026 12:28:10;17.7;994;0;1385;0
20231026 09:38:11;20231026 12:38:11;17.7;-986;0;-4317;0
20231026 09:48:12;20231026 12:48:12;17.7;5241;0;-146489;0
20231026 09:58:12;20231026 12:58:12;17.6;3672;0;-19353;0
20231026 10:08:13;20231026 13:08:13;17.5;-1146;0;-793;0
20231026 10:18:14;20231026 13:18:14;17.3;-10171;0;2877;0
20231026 10:28:15;20231026 13:28:15;17.1;-102;0;-780;0
20231026 10:38:15;20231026 13:38:15;16.8;29933347;0;553;1
20231026 10:48:16;20231026 13:48:16;16.5;716658;0;821183;0
20231026 10:58:16;20231026 13:58:16;16.1;-645;0;181621;0
20231026 11:08:17;20231026 14:08:17;15.6;733;0;440;1
20231026 11:18:18;20231026 14:18:18;15.1;13016;0;136;1
20231026 11:28:18;20231026 14:28:18;14.6;2918;0;3525;0
20231026 11:38:18;20231026 14:38:18;14.0;-238400;0;-2258;0
20231026 11:48:19;20231026 14:48:19;13.3;61402;0;757;0
20231026 11:58:19;20231026 14:58:19;12.6;348706;0;841;0
20231026 12:08:19;20231026 15:08:19;11.9;-224;0;1002;0
20231026 12:18:19;20231026 15:18:19;11.1;51129;0;3223;0
20231026 12:28:20;20231026 15:28:20;10.3;2286;0;2925;0
20231026 12:38:21;20231026 15:38:21;9.5;108592;0;-792;0
20231026 12:48:21;20231026 15:48:21;8.6;31308;0;6507;0
20231026 12:58:21;20231026 15:58:21;7.7;1128;0;725516;0
20231026 13:08:22;20231026 16:08:22;6.7;173079;0;-1618;0
20231026 13:18:23;20231026 16:18:23;5.7;-74730;0;17018;0
20231026 13:28:24;20231026 16:28:24;4.7;-526246669;0;-378107;0
20231026 13:38:24;20231026 16:38:24;3.7;-31466;0;2751;0
Среднее значение ОСО (P1): 352
Стандартное отклонение: 9.5
Среднее значение ОСО (P2): 331
Стандартное отклонение: 173.31

