DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250510 02:12:31;20250510 05:12:31;3,3;467;0,0258;0,7057;1,0746;1,0822;1;428;0,0751;1,0545;1,0329;1,0425;1
20250510 02:27:27;20250510 05:27:27;5,0;445;0,0264;0,7423;1,0559;1,0647;1;415;0,0869;1,0754;1,0256;1,0352;1
20250510 02:41:49;20250510 05:41:49;6,6;429;0,0284;0,7726;1,0445;1,0538;1;404;0,1033;1,0934;1,0226;1,0322;1
20250510 02:56:50;20250510 05:56:50;8,3;420;0,0324;0,7928;1,0486;1,0577;1;405;0,1187;1,1018;1,0308;1,0404;1
20250510 03:11:50;20250510 06:11:50;10,1;425;0,0361;0,7979;1,0728;1,0805;1;409;0,1321;1,0926;1,0571;1,0659;1
20250510 03:26:47;20250510 06:26:47;11,9;425;0,0415;0,802;1,0967;1,1021;1;414;0,1458;1,085;1,0827;1,0896;1
20250510 03:42:18;20250510 06:42:18;13,8;421;0,0483;0,7983;1,1325;1,1331;1;418;0,1579;1,0652;1,1237;1,1256;1
20250510 03:56:48;20250510 06:56:48;15,6;416;0,0601;0,8497;1,0776;1,0849;1;413;0,1871;1,1243;1,0713;1,0791;1
20250510 04:11:49;20250510 07:11:49;17,5;413;0,0731;0,8917;1,0422;1,0516;1;410;0,2137;1,1669;1,0418;1,0512;1
20250510 04:26:49;20250510 07:26:49;19,4;412;0,0861;0,9277;1,0164;1,0259;1;409;0,2391;1,2056;1,0176;1,0271;1
20250510 04:41:50;20250510 07:41:50;21,2;415;0,0963;0,9439;1,0121;1,0214;1;409;0,2573;1,2179;1,0158;1,0253;1
20250510 04:56:50;20250510 07:56:50;23,1;415;0,1068;0,9527;1,0146;1,0241;1;409;0,2736;1,2227;1,0193;1,0288;1
20250510 05:11:51;20250510 08:11:51;25,0;418;0,1159;0,9541;1,0224;1,0319;1;411;0,2854;1,2187;1,0293;1,0389;1
20250510 05:26:51;20250510 08:26:51;26,8;420;0,1268;0,9723;1,0109;1,0202;1;410;0,3026;1,2365;1,02;1,0296;1
20250510 05:41:52;20250510 08:41:52;28,7;422;0,1364;0,9786;1,0108;1,0202;1;410;0,3163;1,2411;1,0206;1,0301;1
20250510 05:56:52;20250510 08:56:52;30,5;425;0,1453;0,9851;1,0096;1,0189;1;411;0,328;1,2464;1,0195;1,0291;1
20250510 06:11:52;20250510 09:11:52;32,2;425;0,1546;0,9909;1,0082;1,0175;1;412;0,3386;1,2515;1,0178;1,0273;1
20250510 06:26:53;20250510 09:26:53;34,0;427;0,1619;0,9936;1,0093;1,0186;1;412;0,3479;1,2505;1,0206;1,0302;1
20250510 06:41:54;20250510 09:41:54;35,6;429;0,1696;0,9978;1,0084;1,0177;1;412;0,3571;1,2539;1,0193;1,0289;1
20250510 06:56:55;20250510 09:56:55;37,2;431;0,1762;1,0012;1,0079;1,0172;1;413;0,3647;1,2557;1,019;1,0285;1
20250510 07:11:55;20250510 10:11:55;38,8;430;0,1827;1,0034;1,0082;1,0175;1;410;0,3729;1,2551;1,0205;1,03;1
20250510 07:26:56;20250510 10:26:56;40,2;429;0,1886;1,0004;1,0133;1,0227;1;412;0,3773;1,2523;1,0235;1,033;1
20250510 07:41:57;20250510 10:41:57;41,6;429;0,1942;1,0024;1,0131;1,0225;1;410;0,3837;1,2522;1,0241;1,0337;1
20250510 07:56:58;20250510 10:56:58;42,8;429;0,1987;1,0023;1,0147;1,0242;1;409;0,3884;1,2503;1,0261;1,0357;1
20250510 08:11:58;20250510 11:11:58;43,9;430;0,2023;1,0045;1,0138;1,0233;1;412;0,3922;1,255;1,0226;1,0322;1
20250510 08:26:28;20250510 11:26:28;44,9;397;0,1711;0,8095;1,3146;1,2712;1;396;0,3128;1,0117;1,3284;1,2806;1
20250510 08:42:00;20250510 11:42:00;45,8;433;0,2078;1,0094;1,011;1,0204;1;414;0,3989;1,2587;1,02;1,0296;1
