DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250504 02:26:20;20250504 05:26:20;3.4;452;1;415;1
20250504 02:41:16;20250504 05:41:16;5.0;436;1;414;1
20250504 02:56:10;20250504 05:56:10;6.8;417;1;412;1
20250504 03:10:38;20250504 06:10:38;8.5;421;1;405;1
20250504 03:25:39;20250504 06:25:39;10.3;424;1;410;1
20250504 03:40:35;20250504 06:40:35;12.1;427;1;418;1
20250504 03:57:17;20250504 06:57:17;14.2;424;1;416;1
20250504 04:10:38;20250504 07:10:38;15.9;417;1;412;1
20250504 04:25:37;20250504 07:25:37;17.7;424;1;420;1
20250504 04:40:38;20250504 07:40:38;19.6;418;1;413;1
20250504 04:55:38;20250504 07:55:38;21.5;419;1;413;1
20250504 05:10:39;20250504 08:10:39;23.4;423;1;415;1
20250504 05:25:40;20250504 08:25:40;25.2;426;1;417;1
20250504 05:40:09;20250504 08:40:09;27.0;433;1;418;1
20250504 05:55:10;20250504 08:55:10;28.8;426;1;412;1
20250504 06:11:42;20250504 09:11:42;30.7;428;1;412;1
20250504 06:25:10;20250504 09:25:10;32.3;419;1;409;1
20250504 06:40:11;20250504 09:40:11;33.9;426;1;412;1
20250504 06:55:12;20250504 09:55:12;35.5;424;1;411;1
20250504 07:10:43;20250504 10:10:43;37.1;438;1;418;1
20250504 07:25:43;20250504 10:25:43;38.5;438;1;418;1
20250504 07:40:44;20250504 10:40:44;39.9;441;1;419;1
20250504 07:55:44;20250504 10:55:44;41.1;430;1;411;1
20250504 08:10:44;20250504 11:10:44;42.2;436;1;417;1
20250504 08:25:44;20250504 11:25:44;43.2;442;1;420;1
20250504 08:40:14;20250504 11:40:14;44.1;425;1;408;1
20250504 08:55:15;20250504 11:55:15;44.8;417;1;405;1
20250504 09:10:15;20250504 12:10:15;45.4;428;1;410;1
20250504 09:25:46;20250504 12:25:46;45.8;420;1;407;1
20250504 09:40:47;20250504 12:40:47;46.0;424;1;402;1
20250504 09:57:21;20250504 12:57:21;46.1;435;1;412;1
20250504 10:10:18;20250504 13:10:18;46.0;413;1;401;1
20250504 10:25:49;20250504 13:25:49;45.7;430;1;407;1
20250504 10:40:49;20250504 13:40:49;45.3;429;1;409;1
20250504 10:55:19;20250504 13:55:19;44.7;424;1;406;1
20250504 11:10:20;20250504 14:10:20;43.9;404;1;400;1
20250504 11:25:51;20250504 14:25:51;43.0;414;1;408;1
20250504 11:40:21;20250504 14:40:21;42.0;411;1;401;1
20250504 11:55:52;20250504 14:55:52;40.8;418;1;409;1
20250504 12:10:22;20250504 15:10:22;39.6;408;1;397;1
20250504 12:26:24;20250504 15:26:24;38.2;421;1;407;1
20250504 12:40:54;20250504 15:40:54;36.8;416;1;405;1
20250504 12:55:23;20250504 15:55:23;35.3;406;1;402;1
20250504 13:10:24;20250504 16:10:24;33.7;414;1;407;1
20250504 13:25:24;20250504 16:25:24;32.0;413;1;407;1
20250504 13:40:24;20250504 16:40:24;30.3;415;1;404;1
20250504 13:55:56;20250504 16:55:56;28.5;410;1;408;1
20250504 14:10:57;20250504 17:10:57;26.6;412;1;407;1
20250504 14:25:56;20250504 17:25:56;24.8;410;1;388;1
20250504 14:40:57;20250504 17:40:57;23.0;411;1;409;1
20250504 14:55:58;20250504 17:55:58;21.1;410;1;411;1
20250504 15:10:58;20250504 18:10:58;19.2;419;1;418;1
20250504 15:26:03;20250504 18:26:03;17.3;417;1;411;1
20250504 15:41:30;20250504 18:41:30;15.4;429;1;423;1
20250504 15:56:00;20250504 18:56:00;13.6;405;1;399;1
20250504 16:11:04;20250504 19:11:04;11.8;404;1;397;1
20250504 16:26:04;20250504 19:26:04;9.9;402;1;393;1
20250504 16:41:38;20250504 19:41:38;8.1;412;1;403;1
20250504 16:56:39;20250504 19:56:39;6.3;429;1;409;1
20250504 17:11:44;20250504 20:11:44;4.6;449;1;413;1
20250504 17:26:50;20250504 20:26:50;2.9;455;1;431;1
