DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250501 02:33:54;20250501 05:33:54;3,4;444;0,0275;0,7156;1,0597;1,0683;1;410;0,0786;1,0577;1,0301;1,0397;1
20250501 02:48:38;20250501 05:48:38;5,1;428;0,0278;0,7499;1,0468;1,056;1;405;0,0902;1,073;1,0288;1,0384;1
20250501 03:03:00;20250501 06:03:00;6,8;418;0,0297;0,7798;1,0377;1,0472;1;394;0,1076;1,0914;1,026;1,0355;1
20250501 03:18:01;20250501 06:18:01;8,6;408;0,0347;0,8083;1,0317;1,0412;1;392;0,1262;1,1092;1,026;1,0356;1
20250501 03:33:01;20250501 06:33:01;10,4;411;0,0406;0,8357;1,0262;1,0358;1;396;0,1451;1,1296;1,0239;1,0335;1
20250501 03:48:01;20250501 06:48:01;12,3;405;0,0495;0,8616;1,0208;1,0304;1;396;0,1673;1,1503;1,0208;1,0304;1
20250501 04:02:58;20250501 07:02:58;14,1;403;0,0594;0,8852;1,0158;1,0252;1;397;0,1887;1,1697;1,0177;1,0272;1
20250501 04:17:59;20250501 07:17:59;16,0;405;0,0694;0,9053;1,0126;1,022;1;398;0,2103;1,1874;1,0148;1,0242;1
20250501 04:32:59;20250501 07:32:59;17,9;404;0,0806;0,9251;1,0077;1,0169;1;397;0,2319;1,2031;1,0122;1,0216;1
20250501 04:48:00;20250501 07:48:00;19,7;406;0,0915;0,9428;1,0034;1,0124;1;397;0,251;1,2138;1,0127;1,0221;1
20250501 05:03:01;20250501 08:03:01;21,6;407;0,1028;0,9583;0,9998;1,0087;1;397;0,2695;1,2259;1,0109;1,0203;1
20250501 05:18:01;20250501 08:18:01;23,5;408;0,1137;0,9697;0,9992;1,0081;1;397;0,2864;1,2347;1,0109;1,0203;1
20250501 05:33:02;20250501 08:33:02;25,3;408;0,1246;0,9802;0,9972;1,0059;1;396;0,3028;1,2452;1,0087;1,0179;1
20250501 05:48:03;20250501 08:48:03;27,1;410;0,1348;0,9883;0,9962;1,0049;1;397;0,3165;1,2518;1,0086;1,0179;1
20250501 06:03:04;20250501 09:03:04;28,9;412;0,1441;0,9941;0,9963;1,005;1;397;0,3292;1,2558;1,0093;1,0186;1
20250501 06:18:04;20250501 09:18:04;30,6;414;0,1533;1,0036;0,9922;1,0005;1;397;0,3417;1,2639;1,0059;1,0151;1
20250501 06:33:05;20250501 09:33:05;32,3;416;0,1618;1,009;0,9911;0,9994;1;398;0,3528;1,2694;1,0039;1,013;1
20250501 06:48:06;20250501 09:48:06;33,9;416;0,1701;1,0145;0,9894;0,9976;1;398;0,3625;1,2742;1,002;1,011;1
20250501 07:03:07;20250501 10:03:07;35,5;417;0,1775;1,0177;0,9895;0,9976;1;397;0,3712;1,2744;1,0032;1,0122;1
20250501 07:18:07;20250501 10:18:07;37,0;417;0,1846;1,0209;0,989;0,9971;1;397;0,3792;1,2777;1,0018;1,0107;1
20250501 07:33:08;20250501 10:33:08;38,4;415;0,1916;1,0221;0,99;0,9982;1;397;0,3865;1,2771;1,003;1,012;1
20250501 07:47:38;20250501 10:47:38;39,6;407;0,1873;0,9546;1,0623;1,0708;1;390;0,3669;1,1879;1,0818;1,0888;1
20250501 08:03:10;20250501 11:03:10;40,8;418;0,2021;1,0315;0,9849;0,9927;1;398;0,3995;1,2892;0,9951;1,0037;1
20250501 08:18:11;20250501 11:18:11;41,9;418;0,2057;1,0288;0,9886;0,9967;1;395;0,4027;1,2809;1,0017;1,0106;1
20250501 08:33:11;20250501 11:33:11;42,8;418;0,2094;1,0295;0,989;0,9971;1;397;0,406;1,283;1,0004;1,0093;1
20250501 08:48:11;20250501 11:48:11;43,6;403;0,1937;0,9144;1,1215;1,1237;1;369;0,365;1,1159;1,1659;1,1607;1
20250501 09:03:12;20250501 12:03:12;44,2;419;0,214;1,0299;0,9902;0,9984;1;395;0,4113;1,2803;1,0028;1,0118;1
20250501 09:18:12;20250501 12:18:12;44,7;421;0,2152;1,0338;0,9871;0,9951;1;397;0,4132;1,2848;0,9995;1,0084;1
20250501 09:33:13;20250501 12:33:13;45,0;422;0,2161;1,0332;0,988;0,996;1;398;0,4137;1,2849;0,9995;1,0084;1
20250501 09:48:14;20250501 12:48:14;45,2;425;0,2148;1,0327;0,9886;0,9967;1;401;0,4122;1,2838;1,0004;1,0093;1
20250501 10:03:14;20250501 13:03:14;45,2;425;0,215;1,0346;0,9869;0,9948;1;400;0,4132;1,2848;0,9997;1,0085;1
20250501 10:18:15;20250501 13:18:15;45,0;426;0,2138;1,0328;0,9883;0,9964;1;401;0,4114;1,2832;1,0008;1,0097;1
20250501 10:33:16;20250501 13:33:16;44,6;424;0,213;1,0299;0,9906;0,9988;1;400;0,41;1,2812;1,0022;1,0112;1
20250501 10:48:16;20250501 13:48:16;44,1;424;0,2114;1,0305;0,9895;0,9977;1;400;0,4084;1,282;1,0015;1,0105;1
20250501 11:03:16;20250501 14:03:16;43,5;422;0,2088;1,0254;0,9934;1,0019;1;402;0,4043;1,2793;1,0033;1,0124;1
20250501 11:18:17;20250501 14:18:17;42,7;420;0,2055;1,017;1,0003;1,0092;1;403;0,3986;1,2719;1,0087;1,018;1
20250501 11:33:18;20250501 14:33:18;41,7;420;0,2021;1,0183;0,998;1,0068;1;403;0,3952;1,2731;1,0075;1,0168;1
20250501 11:48:18;20250501 14:48:18;40,6;416;0,1988;1,0139;1,0007;1,0096;1;403;0,3899;1,2715;1,0083;1,0176;1
20250501 12:03:19;20250501 15:03:19;39,4;415;0,1946;1,0124;1,0006;1,0095;1;400;0,3862;1,2689;1,0098;1,0191;1
20250501 12:18:19;20250501 15:18:19;38,1;414;0,189;1,0089;1,002;1,011;1;401;0,3792;1,267;1,0106;1,0199;1
20250501 12:33:20;20250501 15:33:20;36,7;406;0,1689;0,9194;1,1019;1,1067;1;393;0,3393;1,1474;1,1233;1,1253;1
20250501 12:48:21;20250501 15:48:21;35,2;413;0,175;0,9987;1,0069;1,0161;1;399;0,3634;1,2553;1,0179;1,0274;1
20250501 13:03:21;20250501 16:03:21;33,7;414;0,1674;1,0002;1,0023;1,0113;1;399;0,3562;1,2575;1,0147;1,0241;1
