DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250505 02:23:55;20250505 05:23:55;3,3;461;0,0262;0,7062;1,0739;1,0816;1;417;0,0763;1,0513;1,0362;1,0457;1
20250505 02:38:51;20250505 05:38:51;5,0;426;0,0278;0,7464;1,0508;1,0598;1;410;0,0886;1,0758;1,0257;1,0353;1
20250505 02:53:51;20250505 05:53:51;6,8;420;0,0293;0,7728;1,0473;1,0565;1;408;0,1027;1,0865;1,0305;1,0401;1
20250505 03:08:14;20250505 06:08:14;8,5;419;0,0332;0,8035;1,0362;1,0457;1;403;0,1216;1,1092;1,025;1,0346;1
20250505 03:23:14;20250505 06:23:14;10,3;415;0,0394;0,8308;1,0304;1,04;1;403;0,141;1,1292;1,0232;1,0327;1
20250505 03:38:14;20250505 06:38:14;12,1;415;0,0469;0,8552;1,0265;1,0361;1;405;0,1605;1,1468;1,0228;1,0324;1
20250505 03:53:11;20250505 06:53:11;14,0;412;0,0562;0,8793;1,0207;1,0302;1;406;0,1821;1,1681;1,0179;1,0274;1
20250505 04:08:11;20250505 07:08:11;15,8;411;0,0666;0,9035;1,0129;1,0223;1;404;0,2051;1,1878;1,0134;1,0228;1
20250505 04:23:12;20250505 07:23:12;17,7;410;0,0777;0,9239;1,0077;1,0169;1;406;0,2255;1,205;1,0098;1,0192;1
20250505 04:38:13;20250505 07:38:13;19,6;412;0,0882;0,9388;1,0063;1,0154;1;407;0,2442;1,2168;1,0095;1,0188;1
20250505 04:53:13;20250505 07:53:13;21,5;414;0,0989;0,9559;1,0012;1,0102;1;406;0,2634;1,2275;1,009;1,0182;1
20250505 05:08:14;20250505 08:08:14;23,3;416;0,1094;0,9692;0,999;1,0078;1;406;0,2802;1,2369;1,0085;1,0178;1
20250505 05:23:14;20250505 08:23:14;25,2;417;0,1203;0,9785;0,9983;1,0071;1;405;0,2963;1,2451;1,0082;1,0175;1
20250505 05:38:15;20250505 08:38:15;27,0;419;0,13;0,9869;0,9971;1,0058;1;405;0,3106;1,2495;1,0101;1,0194;1
20250505 05:53:16;20250505 08:53:16;28,8;423;0,1396;0,998;0,9924;1,0008;1;406;0,3245;1,2607;1,0053;1,0145;1
20250505 06:08:17;20250505 09:08:17;30,6;423;0,1485;0,9987;0,9966;1,0053;1;405;0,3354;1,2586;1,0099;1,0193;1
20250505 06:23:17;20250505 09:23:17;32,3;421;0,1377;0,8793;1,1491;1,1469;1;408;0,2975;1,1064;1,1679;1,1622;1
20250505 06:38:48;20250505 09:38:48;34,0;430;0,1638;1,0124;0,9916;0,9999;1;410;0,3546;1,2699;1,0054;1,0145;1
