DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250502 02:31:13;20250502 05:31:13;3.4;440;1;402;1
20250502 02:46:09;20250502 05:46:09;5.1;404;1;391;1
20250502 03:00:31;20250502 06:00:31;6.8;403;1;381;1
20250502 03:15:31;20250502 06:15:31;8.5;386;1;377;1
20250502 03:30:31;20250502 06:30:31;10.4;388;1;378;1
20250502 03:45:32;20250502 06:45:32;12.2;386;1;378;1
20250502 04:00:28;20250502 07:00:28;14.1;385;1;378;1
20250502 04:15:29;20250502 07:15:29;15.9;385;1;378;1
20250502 04:30:29;20250502 07:30:29;17.8;384;1;378;1
20250502 04:45:30;20250502 07:45:30;19.7;384;1;378;1
20250502 05:00:31;20250502 08:00:31;21.6;388;1;379;1
20250502 05:15:32;20250502 08:15:32;23.4;388;1;379;1
20250502 05:30:32;20250502 08:30:32;25.3;388;1;378;1
20250502 05:45:33;20250502 08:45:33;27.1;387;1;378;1
20250502 06:00:34;20250502 09:00:34;28.9;388;1;377;1
20250502 06:15:34;20250502 09:15:34;30.6;389;1;377;1
20250502 06:30:35;20250502 09:30:35;32.3;389;1;378;1
20250502 06:45:35;20250502 09:45:35;34.0;388;1;376;1
20250502 07:00:37;20250502 10:00:37;35.5;379;1;375;1
20250502 07:15:37;20250502 10:15:37;37.0;387;1;375;1
20250502 07:30:38;20250502 10:30:38;38.4;377;1;373;1
20250502 07:45:39;20250502 10:45:39;39.7;386;1;374;1
20250502 08:00:40;20250502 11:00:40;40.9;378;1;372;1
20250502 08:15:41;20250502 11:15:41;42.0;385;1;371;1
20250502 08:30:42;20250502 11:30:42;43.0;386;1;374;1
20250502 08:45:42;20250502 11:45:42;43.8;389;1;375;1
20250502 09:00:43;20250502 12:00:43;44.4;389;1;376;1
20250502 09:15:43;20250502 12:15:43;44.9;383;1;378;1
20250502 09:30:43;20250502 12:30:43;45.3;370;1;356;1
20250502 09:45:44;20250502 12:45:44;45.5;374;1;373;1
20250502 10:00:14;20250502 13:00:14;45.5;383;1;378;1
20250502 10:15:44;20250502 13:15:44;45.3;400;1;388;1
20250502 10:30:45;20250502 13:30:45;45.0;400;1;387;1
20250502 10:45:14;20250502 13:45:14;44.5;378;1;383;1
20250502 11:00:46;20250502 14:00:46;43.9;396;1;386;1
20250502 11:15:46;20250502 14:15:46;43.1;394;1;383;1
20250502 11:30:46;20250502 14:30:46;42.2;371;1;376;1
20250502 11:45:47;20250502 14:45:47;41.1;391;1;384;1
20250502 12:00:17;20250502 15:00:17;40.0;370;1;373;1
20250502 12:15:17;20250502 15:15:17;38.7;371;1;375;1
20250502 12:30:48;20250502 15:30:48;37.2;382;1;384;1
20250502 12:45:18;20250502 15:45:18;35.8;379;1;375;1
20250502 13:00:49;20250502 16:00:49;34.2;386;1;386;1
20250502 13:15:49;20250502 16:15:49;32.6;369;1;378;1
20250502 13:30:50;20250502 16:30:50;30.9;370;1;380;1
20250502 13:45:51;20250502 16:45:51;29.2;380;1;380;1
20250502 14:01:23;20250502 17:01:23;27.3;380;1;378;1
20250502 14:15:52;20250502 17:15:52;25.6;379;1;381;1
20250502 14:30:53;20250502 17:30:53;23.7;380;1;379;1
20250502 14:45:53;20250502 17:45:53;21.9;382;1;382;1
20250502 15:00:54;20250502 18:00:54;20.0;381;1;382;1
20250502 15:15:55;20250502 18:15:55;18.1;382;1;382;1
20250502 15:30:55;20250502 18:30:55;16.3;384;1;382;1
20250502 15:45:55;20250502 18:45:55;14.4;384;1;384;1
20250502 16:01:00;20250502 19:01:00;12.5;385;1;383;1
20250502 16:16:00;20250502 19:16:00;10.7;385;1;382;1
20250502 16:31:34;20250502 19:31:34;8.8;385;1;389;1
20250502 16:46:34;20250502 19:46:34;7.0;401;1;396;1
20250502 17:01:39;20250502 20:01:39;5.2;409;1;401;1
20250502 17:16:45;20250502 20:16:45;3.5;442;1;409;1
Среднее значение ОСО (P1): 386
Стандартное отклонение: 13.07
Среднее значение ОСО (P2): 380
Стандартное отклонение: 7.85

