DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250507 02:19:20;20250507 05:19:20;3.4;521;1;470;1
20250507 02:34:15;20250507 05:34:15;5.0;471;1;455;1
20250507 02:49:13;20250507 05:49:13;6.7;445;1;440;1
20250507 03:03:37;20250507 06:03:37;8.4;439;1;432;1
20250507 03:18:38;20250507 06:18:38;10.2;429;1;425;1
20250507 03:34:39;20250507 06:34:39;12.2;415;1;422;1
20250507 03:48:38;20250507 06:48:38;13.9;411;1;420;1
20250507 04:03:38;20250507 07:03:38;15.7;438;1;430;1
20250507 04:18:39;20250507 07:18:39;17.6;431;1;430;1
20250507 04:33:08;20250507 07:33:08;19.4;457;1;430;1
20250507 04:48:40;20250507 07:48:40;21.4;432;1;431;1
20250507 05:03:41;20250507 08:03:41;23.3;437;1;431;1
20250507 05:18:42;20250507 08:18:42;25.1;412;1;424;1
20250507 05:33:42;20250507 08:33:42;27.0;412;1;419;1
20250507 05:48:43;20250507 08:48:43;28.8;400;1;417;1
20250507 06:03:43;20250507 09:03:43;30.6;435;1;427;1
20250507 06:18:13;20250507 09:18:13;32.2;436;1;421;1
20250507 06:33:13;20250507 09:33:13;33.9;401;1;414;1
20250507 06:48:14;20250507 09:48:14;35.6;401;1;413;1
20250507 07:03:45;20250507 10:03:45;37.2;397;1;418;1
20250507 07:18:15;20250507 10:18:15;38.6;408;1;418;1
20250507 07:33:16;20250507 10:33:16;40.0;443;1;427;1
20250507 07:48:47;20250507 10:48:47;41.4;438;1;422;1
20250507 08:03:17;20250507 11:03:17;42.5;441;1;425;1
20250507 08:18:48;20250507 11:18:48;43.6;436;1;420;1
20250507 08:33:18;20250507 11:33:18;44.5;434;1;419;1
20250507 08:48:49;20250507 11:48:49;45.3;436;1;419;1
20250507 09:03:50;20250507 12:03:50;46.0;435;1;422;1
20250507 09:18:20;20250507 12:18:20;46.4;432;1;411;1
20250507 09:33:51;20250507 12:33:51;46.8;437;1;422;1
20250507 09:48:21;20250507 12:48:21;46.9;436;1;419;1
20250507 10:03:21;20250507 13:03:21;46.9;434;1;420;1
20250507 10:18:22;20250507 13:18:22;46.7;435;1;419;1
20250507 10:33:53;20250507 13:33:53;46.3;442;1;427;1
20250507 10:48:23;20250507 13:48:23;45.8;441;1;423;1
20250507 11:03:23;20250507 14:03:23;45.1;451;1;433;1
20250507 11:18:54;20250507 14:18:54;44.2;455;1;441;1
20250507 11:33:55;20250507 14:33:55;43.3;450;1;435;1
20250507 11:48:56;20250507 14:48:56;42.2;452;1;440;1
20250507 12:04:27;20250507 15:04:27;40.9;460;1;445;1
20250507 12:18:25;20250507 15:18:25;39.7;464;1;445;1
20250507 12:33:57;20250507 15:33:57;38.2;459;1;448;1
20250507 12:48:57;20250507 15:48:57;36.7;460;1;449;1
20250507 13:03:58;20250507 16:03:58;35.1;458;1;445;1
20250507 13:19:29;20250507 16:19:29;33.4;464;1;453;1
20250507 13:33:59;20250507 16:33:59;31.7;455;1;443;1
20250507 13:48:28;20250507 16:48:28;30.0;460;1;438;1
20250507 14:03:59;20250507 17:03:59;28.2;447;1;439;1
20250507 14:19:00;20250507 17:19:00;26.4;444;1;436;1
20250507 14:34:00;20250507 17:34:00;24.5;442;1;437;1
20250507 14:49:01;20250507 17:49:01;22.7;440;1;435;1
20250507 15:04:02;20250507 18:04:02;20.8;441;1;436;1
20250507 15:19:39;20250507 18:19:39;18.8;445;1;441;1
20250507 15:34:07;20250507 18:34:07;17.0;445;1;436;1
20250507 15:49:08;20250507 18:49:08;15.2;439;1;429;1
20250507 16:04:09;20250507 19:04:09;13.3;447;1;430;1
20250507 16:19:42;20250507 19:19:42;11.4;459;1;443;1
20250507 16:34:46;20250507 19:34:46;9.6;460;1;444;1
20250507 16:49:49;20250507 19:49:49;7.8;466;1;448;1
20250507 17:04:53;20250507 20:04:53;6.1;473;1;447;1
20250507 17:20:04;20250507 20:20:04;4.4;517;1;463;1
20250507 17:35:18;20250507 20:35:18;2.7;523;1;480;1
Среднее значение ОСО (P1): 443
Стандартное отклонение: 24.55
Среднее значение ОСО (P2): 432
Стандартное отклонение: 13.85

