DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250504 02:26:20;20250504 05:26:20;3,4;452;0,0269;0,7114;1,0655;1,0737;1;415;0,0771;1,0574;1,0302;1,0398;1
20250504 02:41:16;20250504 05:41:16;5,0;436;0,027;0,7417;1,0582;1,0669;1;414;0,0871;1,0711;1,0304;1,04;1
20250504 02:56:10;20250504 05:56:10;6,8;417;0,0292;0,7631;1,0617;1,0702;1;412;0,1006;1,0763;1,0407;1,0501;1
20250504 03:10:38;20250504 06:10:38;8,5;421;0,0328;0,7995;1,042;1,0514;1;405;0,1204;1,1061;1,0281;1,0377;1
20250504 03:25:39;20250504 06:25:39;10,3;424;0,0365;0,7935;1,0825;1,0893;1;410;0,1317;1,0789;1,0736;1,0812;1
20250504 03:40:35;20250504 06:40:35;12,1;427;0,0411;0,7899;1,1198;1,1222;1;418;0,1422;1,0607;1,1131;1,1165;1
20250504 03:57:17;20250504 06:57:17;14,2;424;0,0516;0,8331;1,0837;1,0905;1;416;0,1693;1,1071;1,0788;1,086;1
20250504 04:10:38;20250504 07:10:38;15,9;417;0,063;0,8722;1,0505;1,0596;1;412;0,1941;1,1468;1,0507;1,0598;1
20250504 04:25:37;20250504 07:25:37;17,7;424;0,063;0,8043;1,1757;1,1685;1;420;0,187;1,0528;1,1735;1,1668;1
20250504 04:40:38;20250504 07:40:38;19,6;418;0,081;0,8841;1,0708;1,0786;1;413;0,2257;1,1421;1,0783;1,0856;1
20250504 04:55:38;20250504 07:55:38;21,5;419;0,0951;0,9342;1,0242;1,0338;1;413;0,254;1,203;1,0296;1,0392;1
20250504 05:10:39;20250504 08:10:39;23,4;423;0,105;0,9505;1,0183;1,0278;1;415;0,2707;1,2172;1,0249;1,0344;1
20250504 05:25:40;20250504 08:25:40;25,2;426;0,1157;0,97;1,0069;1,0161;1;417;0,2879;1,2372;1,0147;1,0242;1
20250504 05:40:09;20250504 08:40:09;27,0;433;0,1155;0,9191;1,0721;1,0799;1;418;0,2819;1,1683;1,0833;1,0901;1
20250504 05:55:10;20250504 08:55:10;28,8;426;0,1175;0,8598;1,1671;1,1616;1;412;0,2714;1,0864;1,1865;1,1771;1
