DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250501 02:33:54;20250501 05:33:54;3.4;444;1;410;1
20250501 02:48:38;20250501 05:48:38;5.1;428;1;405;1
20250501 03:03:00;20250501 06:03:00;6.8;418;1;394;1
20250501 03:18:01;20250501 06:18:01;8.6;408;1;392;1
20250501 03:33:01;20250501 06:33:01;10.4;411;1;396;1
20250501 03:48:01;20250501 06:48:01;12.3;405;1;396;1
20250501 04:02:58;20250501 07:02:58;14.1;403;1;397;1
20250501 04:17:59;20250501 07:17:59;16.0;405;1;398;1
20250501 04:32:59;20250501 07:32:59;17.9;404;1;397;1
20250501 04:48:00;20250501 07:48:00;19.7;406;1;397;1
20250501 05:03:01;20250501 08:03:01;21.6;407;1;397;1
20250501 05:18:01;20250501 08:18:01;23.5;408;1;397;1
20250501 05:33:02;20250501 08:33:02;25.3;408;1;396;1
20250501 05:48:03;20250501 08:48:03;27.1;410;1;397;1
20250501 06:03:04;20250501 09:03:04;28.9;412;1;397;1
20250501 06:18:04;20250501 09:18:04;30.6;414;1;397;1
20250501 06:33:05;20250501 09:33:05;32.3;416;1;398;1
20250501 06:48:06;20250501 09:48:06;33.9;416;1;398;1
20250501 07:03:07;20250501 10:03:07;35.5;417;1;397;1
20250501 07:18:07;20250501 10:18:07;37.0;417;1;397;1
20250501 07:33:08;20250501 10:33:08;38.4;415;1;397;1
20250501 07:47:38;20250501 10:47:38;39.6;407;1;390;1
20250501 08:03:10;20250501 11:03:10;40.8;418;1;398;1
20250501 08:18:11;20250501 11:18:11;41.9;418;1;395;1
20250501 08:33:11;20250501 11:33:11;42.8;418;1;397;1
20250501 08:48:11;20250501 11:48:11;43.6;403;1;369;1
20250501 09:03:12;20250501 12:03:12;44.2;419;1;395;1
20250501 09:18:12;20250501 12:18:12;44.7;421;1;397;1
20250501 09:33:13;20250501 12:33:13;45.0;422;1;398;1
20250501 09:48:14;20250501 12:48:14;45.2;425;1;401;1
20250501 10:03:14;20250501 13:03:14;45.2;425;1;400;1
20250501 10:18:15;20250501 13:18:15;45.0;426;1;401;1
20250501 10:33:16;20250501 13:33:16;44.6;424;1;400;1
20250501 10:48:16;20250501 13:48:16;44.1;424;1;400;1
20250501 11:03:16;20250501 14:03:16;43.5;422;1;402;1
20250501 11:18:17;20250501 14:18:17;42.7;420;1;403;1
20250501 11:33:18;20250501 14:33:18;41.7;420;1;403;1
20250501 11:48:18;20250501 14:48:18;40.6;416;1;403;1
20250501 12:03:19;20250501 15:03:19;39.4;415;1;400;1
20250501 12:18:19;20250501 15:18:19;38.1;414;1;401;1
20250501 12:33:20;20250501 15:33:20;36.7;406;1;393;1
20250501 12:48:21;20250501 15:48:21;35.2;413;1;399;1
20250501 13:03:21;20250501 16:03:21;33.7;414;1;399;1
20250501 13:18:22;20250501 16:18:22;32.0;411;1;397;1
20250501 13:33:22;20250501 16:33:22;30.4;409;1;398;1
20250501 13:48:24;20250501 16:48:24;28.6;407;1;399;1
20250501 14:03:24;20250501 17:03:24;26.8;406;1;399;1
20250501 14:18:25;20250501 17:18:25;25.0;404;1;399;1
20250501 14:33:25;20250501 17:33:25;23.2;403;1;399;1
20250501 14:48:26;20250501 17:48:26;21.3;400;1;398;1
20250501 15:03:26;20250501 18:03:26;19.5;400;1;397;1
20250501 15:18:27;20250501 18:18:27;17.6;397;1;394;1
20250501 15:33:27;20250501 18:33:27;15.7;398;1;393;1
20250501 15:48:28;20250501 18:48:28;13.8;398;1;392;1
20250501 16:03:32;20250501 19:03:32;12.0;395;1;390;1
20250501 16:18:33;20250501 19:18:33;10.1;396;1;390;1
20250501 16:33:34;20250501 19:33:34;8.3;397;1;388;1
20250501 16:49:11;20250501 19:49:11;6.5;407;1;399;1
20250501 17:04:13;20250501 20:04:13;4.7;433;1;405;1
20250501 17:19:18;20250501 20:19:18;3.0;438;1;412;1
