DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250511 02:10:25;20250511 05:10:25;3.3;532;1;471;1
20250511 02:24:41;20250511 05:24:41;4.9;518;1;447;1
20250511 02:40:14;20250511 05:40:14;6.7;468;1;442;1
20250511 02:55:10;20250511 05:55:10;8.4;450;1;437;1
20250511 03:09:38;20250511 06:09:38;10.1;445;1;426;1
20250511 03:24:39;20250511 06:24:39;11.9;440;1;425;1
20250511 03:39:39;20250511 06:39:39;13.7;433;1;423;1
20250511 03:54:36;20250511 06:54:36;15.6;428;1;422;1
20250511 04:09:36;20250511 07:09:36;17.4;425;1;426;1
20250511 04:25:07;20250511 07:25:07;19.4;429;1;430;1
20250511 04:39:37;20250511 07:39:37;21.2;430;1;430;1
20250511 04:54:38;20250511 07:54:38;23.1;426;1;425;1
20250511 05:09:38;20250511 08:09:38;24.9;436;1;431;1
20250511 05:24:39;20250511 08:24:39;26.8;426;1;423;1
20250511 05:40:10;20250511 08:40:10;28.7;432;1;425;1
20250511 05:54:40;20250511 08:54:40;30.4;427;1;420;1
20250511 06:09:40;20250511 09:09:40;32.2;436;1;427;1
