DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231218 07:52:02;20231218 10:52:02;3,1;522;0,0415;0,6845;1,243;1,3605;1;299;0,1329;0,9447;0,9805;1,0214;1
20231218 08:02:02;20231218 11:02:02;3,6;426;0,0567;0,6842;1,2427;1,3626;1;239;0,1522;0,9436;0,9762;1,019;1
20231218 08:12:02;20231218 11:12:02;4,2;545;0,0461;0,6931;1,2444;1,3483;1;229;0,1547;0,9421;0,9769;1,0194;1
20231218 08:22:02;20231218 11:22:02;4,6;417;0,0713;0,7158;1,244;1,3097;1;198;0,1747;0,9544;0,9546;1,0068;1
20231218 08:32:02;20231218 11:32:02;5,0;491;0,061;0,7057;1,2451;1,3332;1;200;0,1784;0,9578;0,9511;1,0049;1
20231218 08:42:03;20231218 11:42:03;5,4;435;0,0747;0,7176;1,2446;1,3158;1;217;0,175;0,9613;0,9487;1,0036;1
20231218 08:52:03;20231218 11:52:03;5,8;482;0,0677;0,7165;1,2449;1,3223;1;215;0,1803;0,9605;0,9547;1,0069;1
20231218 09:02:03;20231218 12:02:03;6,0;467;0,0726;0,7173;1,245;1,3248;1;212;0,1811;0,9479;0,9828;1,0227;1
20231218 09:12:03;20231218 12:12:03;6,3;474;0,0725;0,7164;1,2451;1,3298;1;233;0,1765;0,9589;0,9661;1,0132;1
20231218 09:22:03;20231218 12:22:03;6,5;454;0,0781;0,7205;1,245;1,3249;1;239;0,1746;0,9559;0,9749;1,0182;1
20231218 09:32:04;20231218 12:32:04;6,6;444;0,0813;0,7405;1,2413;1,291;1;246;0,1801;0,9785;0,935;0,9961;1
20231218 09:42:04;20231218 12:42:04;6,7;512;0,0668;0,716;1,245;1,3365;1;221;0,183;0,9418;1,005;1,0358;1
20231218 09:52:04;20231218 12:52:04;6,7;492;0,0713;0,7254;1,2448;1,3196;1;234;0,1802;0,9535;0,9841;1,0235;1
20231218 10:02:04;20231218 13:02:04;6,7;432;0,0843;0,7178;1,2451;1,3333;1;222;0,187;0,9533;0,9841;1,0235;1
20231218 10:12:05;20231218 13:12:05;6,6;490;0,0713;0,7262;1,2446;1,3168;1;236;0,1809;0,9622;0,9661;1,0132;1
20231218 10:22:05;20231218 13:22:05;6,5;469;0,0751;0,7241;1,2447;1,3189;1;237;0,1822;0,9717;0,9461;1,0021;1
20231218 10:32:06;20231218 13:32:06;6,3;480;0,0717;0,7302;1,2435;1,3054;1;221;0,1808;0,9503;0,9831;1,0229;1
20231218 10:42:06;20231218 13:42:06;6,1;489;0,0682;0,7226;1,2446;1,316;1;228;0,1786;0,963;0,9557;1,0074;1
20231218 10:52:06;20231218 13:52:06;5,8;526;0,0592;0,7155;1,245;1,3253;1;221;0,1766;0,9566;0,9633;1,0116;1
20231218 11:02:06;20231218 14:02:06;5,5;539;0,0549;0,7154;1,2449;1,3211;1;249;0,1649;0,9778;0,9186;0,9873;1
20231218 11:12:06;20231218 14:12:06;5,2;533;0,054;0,7192;1,244;1,3096;1;216;0,1765;0,9712;0,9267;0,9916;1
20231218 11:22:07;20231218 14:22:07;4,7;543;0,0499;0,6924;1,2437;1,3553;1;226;0,1612;0,9504;0,9629;1,0115;1
20231218 11:32:07;20231218 14:32:07;4,3;514;0,0515;0,699;1,245;1,3379;1;246;0,1505;0,952;0,9581;1,0088;1
20231218 11:42:08;20231218 14:42:08;3,8;522;0,0467;0,6995;1,2451;1,3334;1;213;0,1644;0,9511;0,961;1,0104;1
20231218 11:52:08;20231218 14:52:08;3,2;382;0,0558;0,6932;1,2447;1,3436;1;270;0,1425;0,9446;0,9784;1,0202;1
