DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231208 09:55:14;20231208 12:55:14;7,4;488;0,0766;0,7422;1,2428;1,2998;1;271;0,1752;0,9732;0,9608;1,0102;1
20231208 10:05:14;20231208 13:05:14;7,3;517;0,0697;0,7412;1,2429;1,3008;1;269;0,1782;0,9811;0,9449;1,0015;1
20231208 10:15:15;20231208 13:15:15;7,2;493;0,0744;0,7352;1,244;1,3098;1;284;0,1698;0,9882;0,9295;0,9931;1
20231208 10:25:15;20231208 13:25:15;7,1;473;0,0779;0,7447;1,2412;1,2906;1;275;0,1746;0,9921;0,9187;0,9874;1
20231208 10:35:15;20231208 13:35:15;6,8;499;0,0709;0,7404;1,2421;1,2952;1;268;0,1739;0,9869;0,9242;0,9903;1
20231208 10:45:16;20231208 13:45:16;6,6;486;0,0718;0,722;1,245;1,3242;1;257;0,1703;0,9686;0,9538;1,0063;1
20231208 10:55:16;20231208 13:55:16;6,3;498;0,0674;0,7087;1,2447;1,3444;1;259;0,1617;0,9568;0,9703;1,0156;1
20231208 11:05:16;20231208 14:05:16;5,9;501;0,0647;0,7148;1,2451;1,3278;1;264;0,1551;0,9587;0,9608;1,0102;1
20231208 11:15:16;20231208 14:15:16;5,5;525;0,0576;0,7052;1,2449;1,3402;1;271;0,1462;0,9543;0,9633;1,0117;1
20231208 11:25:17;20231208 14:25:17;5,1;410;0,0771;0,6978;1,2443;1,3486;1;236;0,1579;0,9483;0,9694;1,0151;1
20231208 11:35:17;20231208 14:35:17;4,6;522;0,0522;0,7006;1,245;1,3376;1;250;0,149;0,9506;0,9615;1,0106;1
20231208 11:45:17;20231208 14:45:17;4,0;495;0,0521;0,7025;1,2451;1,3294;1;266;0,1439;0,9582;0,9465;1,0023;1
20231208 11:55:18;20231208 14:55:18;3,5;452;0,0517;0,6852;1,2431;1,3599;1;278;0,1391;0,9486;0,9684;1,0145;1
