DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20231209 07:38:42;20231209 10:38:42;3.1;452;1;274;1
20231209 07:48:42;20231209 10:48:42;3.7;512;1;256;1
20231209 07:58:42;20231209 10:58:42;4.2;430;1;235;1
20231209 08:08:43;20231209 11:08:43;4.8;405;1;232;1
20231209 08:18:43;20231209 11:18:43;5.2;391;1;209;1
20231209 08:28:43;20231209 11:28:43;5.7;436;1;229;1
20231209 08:38:43;20231209 11:38:43;6.0;452;1;251;1
20231209 08:48:44;20231209 11:48:44;6.4;475;1;251;1
20231209 08:58:44;20231209 11:58:44;6.6;484;1;254;1
20231209 09:08:44;20231209 12:08:44;6.9;489;1;257;1
20231209 09:18:44;20231209 12:18:44;7.0;486;1;255;1
20231209 09:28:44;20231209 12:28:44;7.2;479;1;254;1
20231209 09:38:44;20231209 12:38:44;7.3;474;1;261;1
20231209 09:48:45;20231209 12:48:45;7.3;493;1;263;1
20231209 09:58:45;20231209 12:58:45;7.3;486;1;262;1
20231209 10:08:45;20231209 13:08:45;7.2;445;1;251;1
20231209 10:18:45;20231209 13:18:45;7.1;497;1;262;1
20231209 10:28:46;20231209 13:28:46;6.9;460;1;253;1
20231209 10:38:46;20231209 13:38:46;6.7;439;1;248;1
20231209 10:48:46;20231209 13:48:46;6.4;481;1;253;1
20231209 10:58:46;20231209 13:58:46;6.1;465;1;254;1
20231209 11:08:47;20231209 14:08:47;5.7;446;1;246;1
20231209 11:18:47;20231209 14:18:47;5.3;407;1;220;1
20231209 11:28:47;20231209 14:28:47;4.8;478;1;231;1
20231209 11:38:47;20231209 14:38:47;4.3;407;1;218;1
20231209 11:48:47;20231209 14:48:47;3.8;491;1;249;1
20231209 11:58:48;20231209 14:58:48;3.2;419;1;265;1
