DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231220 07:53:45;20231220 10:53:45;3,1;818;0,0162;0,6798;1,2415;1,3698;0;357;0,1105;0,9359;0,9971;1,0311;1
20231220 08:03:46;20231220 11:03:46;3,6;693;0,0261;0,6728;1,2379;1,3856;0;374;0,1002;0,9529;0,9586;1,009;1
20231220 08:13:46;20231220 11:13:46;4,1;553;0,0453;0,6645;1,2315;1,4062;1;262;0,1381;0,9326;0,9949;1,0298;1
20231220 08:23:46;20231220 11:23:46;4,6;582;0,0429;0,6767;1,238;1,3852;1;280;0,1338;0,9442;0,9738;1,0176;1
20231220 08:33:46;20231220 11:33:46;5,0;574;0,0459;0,6957;1,244;1,3521;1;258;0,1459;0,9454;0,9745;1,018;1
20231220 08:43:47;20231220 11:43:47;5,4;626;0,0374;0,6939;1,243;1,3604;0;266;0,145;0,9462;0,9769;1,0194;1
20231220 08:53:47;20231220 11:53:47;5,7;587;0,0462;0,6971;1,2432;1,3586;1;256;0,1534;0,9464;0,9811;1,0217;1
20231220 09:03:47;20231220 12:03:47;6,0;626;0,0391;0,6959;1,2423;1,3652;0;271;0,1485;0,9454;0,9871;1,0252;1
20231220 09:13:47;20231220 12:13:47;6,2;596;0,0464;0,701;1,2433;1,3585;1;270;0,1522;0,9471;0,9876;1,0255;1
20231220 09:23:47;20231220 12:23:47;6,4;633;0,0392;0,7083;1,2444;1,3473;0;259;0,1622;0,9532;0,9795;1,0208;1
20231220 09:33:48;20231220 12:33:48;6,5;581;0,0511;0,7085;1,2443;1,3487;1;262;0,1627;0,9543;0,9797;1,0209;1
20231220 09:43:48;20231220 12:43:48;6,6;617;0,0438;0,7062;1,2438;1,3544;0;290;0,1508;0,965;0,9612;1,0105;1
20231220 09:53:48;20231220 12:53:48;6,7;538;0,0611;0,707;1,2439;1,3532;1;259;0,1652;0,9531;0,984;1,0234;1
20231220 10:03:49;20231220 13:03:49;6,6;553;0,0577;0,709;1,2443;1,3491;1;260;0,1659;0,9582;0,974;1,0177;1
20231220 10:13:49;20231220 13:13:49;6,6;495;0,0698;0,7052;1,2437;1,3552;1;259;0,1641;0,9532;0,9819;1,0222;1
20231220 10:23:49;20231220 13:23:49;6,4;519;0,0641;0,6973;1,2417;1,3687;1;264;0,1575;0,9462;0,9928;1,0286;1
20231220 10:33:49;20231220 13:33:49;6,3;612;0,0431;0,711;1,2449;1,3399;0;261;0,16;0,9567;0,9701;1,0155;1
20231220 10:43:50;20231220 13:43:50;6,0;553;0,0547;0,6934;1,2413;1,3704;1;254;0,157;0,9423;0,9933;1,0288;1
20231220 10:53:50;20231220 13:53:50;5,8;554;0,053;0,7025;1,2443;1,3488;1;272;0,1497;0,9611;0,9538;1,0064;1
20231220 11:03:50;20231220 14:03:50;5,5;572;0,0479;0,6978;1,2439;1,3535;1;254;0,1529;0,9496;0,9712;1,0161;1
20231220 11:13:50;20231220 14:13:50;5,1;672;0,0281;0,6809;1,2388;1,3822;0;292;0,1337;0,9606;0,9461;1,0021;1
20231220 11:23:51;20231220 14:23:51;4,7;560;0,0465;0,7013;1,245;1,3372;1;288;0,1335;0,9571;0,9496;1,004;1
20231220 11:33:51;20231220 14:33:51;4,2;579;0,0415;0,6906;1,2439;1,3536;1;294;0,1264;0,9407;0,9795;1,0208;1
20231220 11:43:51;20231220 14:43:51;3,7;449;0,0549;0,6737;1,2383;1,384;1;310;0,124;0,9454;0,9723;1,0168;1
20231220 11:53:51;20231220 14:53:51;3,1;890;0,0093;0,659;1,2289;1,4132;0;379;0,1045;0,9505;0,9685;1,0146;1
