DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20231211 07:42:23;20231211 10:42:23;3.1;758;0;275;1
20231211 07:52:23;20231211 10:52:23;3.7;540;1;282;1
20231211 08:02:24;20231211 11:02:24;4.2;457;1;260;1
20231211 08:12:24;20231211 11:12:24;4.7;560;1;241;1
20231211 08:22:24;20231211 11:22:24;5.2;574;1;238;1
20231211 08:32:24;20231211 11:32:24;5.6;489;1;231;1
20231211 08:42:24;20231211 11:42:24;5.9;521;1;211;1
20231211 08:52:24;20231211 11:52:24;6.3;573;1;247;1
20231211 09:02:25;20231211 12:02:25;6.5;525;1;231;1
20231211 09:12:25;20231211 12:12:25;6.7;455;1;245;1
20231211 09:22:25;20231211 12:22:25;6.9;506;1;260;1
20231211 09:32:26;20231211 12:32:26;7.0;477;1;244;1
20231211 09:42:26;20231211 12:42:26;7.1;444;1;216;1
20231211 09:52:27;20231211 12:52:27;7.1;459;1;267;1
20231211 10:02:27;20231211 13:02:27;7.1;463;1;254;1
20231211 10:12:27;20231211 13:12:27;7.0;463;1;242;1
20231211 10:22:27;20231211 13:22:27;6.8;456;1;225;1
20231211 10:32:27;20231211 13:32:27;6.7;451;1;232;1
20231211 10:42:28;20231211 13:42:28;6.4;540;1;259;1
20231211 10:52:28;20231211 13:52:28;6.1;494;1;237;1
20231211 11:02:28;20231211 14:02:28;5.8;484;1;240;1
20231211 11:12:28;20231211 14:12:28;5.4;560;1;242;1
20231211 11:22:28;20231211 14:22:28;5.0;525;1;245;1
20231211 11:32:29;20231211 14:32:29;4.5;419;1;244;1
20231211 11:42:29;20231211 14:42:29;4.0;587;1;258;1
20231211 11:52:29;20231211 14:52:29;3.4;660;0;284;1
