DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231219 07:52:58;20231219 10:52:58;3,1;168;0,1126;0,67;1,2367;1,3899;1;198;0,1671;0,9374;0,9942;1,0294;1
20231219 08:02:58;20231219 11:02:58;3,6;925;-0,0005;0,6715;1,2372;1,3884;0;750;0,0528;1,0266;0,8167;0,9365;0
20231219 08:12:59;20231219 11:12:59;4,2;418;0,0644;0,6697;1,2351;1,3954;1;379;0,0886;0,9363;0,9879;1,0257;1
20231219 08:22:59;20231219 11:22:59;4,6;548;0,0484;0,7115;1,2447;1,3176;1;547;0,0696;1,0316;0,8058;0,9314;1
20231219 08:32:59;20231219 11:32:59;5,0;671;0,0282;0,7148;1,2446;1,3161;0;366;0,0991;0,9724;0,9232;0,9898;1
20231219 08:42:59;20231219 11:42:59;5,4;556;0,0509;0,7081;1,2451;1,3333;1;358;0,1068;0,9836;0,9059;0,9807;1
20231219 08:52:59;20231219 11:52:59;5,7;697;0,0239;0,6908;1,2412;1,3713;0;360;0,1082;0,9871;0,9039;0,9797;1
20231219 09:02:59;20231219 12:02:59;6,0;745;0,0142;0,7125;1,2451;1,3334;0;426;0,0743;0,9647;0,9509;1,0047;1
20231219 09:12:59;20231219 12:12:59;6,3;598;0,0461;0,6992;1,2427;1,3622;1;275;0,1523;0,9576;0,9683;1,0145;1
20231219 09:23:00;20231219 12:23:00;6,4;528;0,0619;0,7244;1,2447;1,3175;1;283;0,1604;0,9904;0,9096;0,9826;1
20231219 09:33:00;20231219 12:33:00;6,6;669;0,0322;0,7166;1,2451;1,3337;0;287;0,153;0,9699;0,9508;1,0047;1
20231219 09:43:00;20231219 12:43:00;6,6;669;0,0325;0,7308;1,244;1,3091;0;311;0,1426;0,9778;0,9373;0,9974;1
20231219 09:53:00;20231219 12:53:00;6,7;624;0,0424;0,7297;1,2442;1,3114;0;284;0,1629;0,9912;0,9127;0,9843;1
20231219 10:03:01;20231219 13:03:01;6,7;573;0,0535;0,7135;1,2449;1,3409;1;260;0,1665;0,9587;0,9734;1,0173;1
20231219 10:13:01;20231219 13:13:01;6,6;689;0,0279;0,7009;1,2425;1,364;0;316;0,1392;0,9791;0,9338;0,9955;1
20231219 10:23:01;20231219 13:23:01;6,5;633;0,0395;0,7315;1,2435;1,3052;0;279;0,1623;0,9881;0,9144;0,9851;1
20231219 10:33:01;20231219 13:33:01;6,3;657;0,0336;0,7231;1,2447;1,3178;0;287;0,1558;0,9896;0,9085;0,982;1
20231219 10:43:02;20231219 13:43:02;6,1;528;0,0599;0,6989;1,243;1,3601;1;253;0,1617;0,9545;0,971;1,016;1
20231219 10:53:02;20231219 13:53:02;5,8;587;0,0463;0,7024;1,2443;1,3494;1;270;0,1498;0,9559;0,964;1,0121;1
20231219 11:03:02;20231219 14:03:02;5,5;624;0,0379;0,6956;1,2433;1,3581;0;249;0,1588;0,9611;0,9498;1,0041;1
20231219 11:13:02;20231219 14:13:02;5,1;653;0,0315;0,7113;1,245;1,3234;0;273;0,1462;0,9693;0,9298;0,9933;1
20231219 11:23:02;20231219 14:23:02;4,7;614;0,0379;0,6842;1,2412;1,3711;0;311;0,1257;0,9706;0,9241;0,9902;1
20231219 11:33:03;20231219 14:33:03;4,2;708;0,023;0,6988;1,245;1,3381;0;346;0,1049;0,9463;0,9688;1,0148;1
20231219 11:43:03;20231219 14:43:03;3,7;642;0,032;0,6871;1,2434;1,3573;0;383;0,0958;0,9573;0,9495;1,004;1
20231219 11:53:03;20231219 14:53:03;3,2;1049;-0,0057;0,6753;1,2395;1,3791;0;593;0,0689;0,9217;1,022;1,046;1
