DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231217 07:51:02;20231217 10:51:02;3,1;655;0,0304;0,6634;1,2324;1,4036;0;377;0,1032;0,935;0,9987;1,032;1
20231217 08:01:03;20231217 11:01:03;3,6;522;0,0456;0,6851;1,243;1,3607;1;274;0,1371;0,939;0,9848;1,0239;1
20231217 08:11:03;20231217 11:11:03;4,2;577;0,0421;0,6627;1,2301;1,4101;1;271;0,1337;0,9292;1,0013;1,0335;1
20231217 08:21:03;20231217 11:21:03;4,6;458;0,0632;0,6913;1,2435;1,3563;1;265;0,143;0,9525;0,9582;1,0088;1
20231217 08:31:03;20231217 11:31:03;5,1;545;0,0513;0,6917;1,243;1,3603;1;264;0,1443;0,9477;0,9704;1,0157;1
20231217 08:41:03;20231217 11:41:03;5,4;547;0,0531;0,6821;1,2382;1,3845;1;262;0,1445;0,9343;0,9998;1,0327;1
20231217 08:51:04;20231217 11:51:04;5,8;521;0,0599;0,6993;1,2437;1,3549;1;260;0,1498;0,9393;0,9948;1,0297;1
20231217 09:01:04;20231217 12:01:04;6,1;547;0,0562;0,6858;1,2379;1,3858;1;265;0,1479;0,9306;1,0153;1,042;1
20231217 09:11:04;20231217 12:11:04;6,3;491;0,0691;0,6997;1,2428;1,3618;1;271;0,1543;0,9549;0,974;1,0177;1
20231217 09:21:04;20231217 12:21:04;6,5;548;0,0579;0,6975;1,2416;1,3691;1;267;0,1515;0,9281;1,0269;1,049;1
20231217 09:31:04;20231217 12:31:04;6,6;510;0,0669;0,7158;1,245;1,336;1;274;0,1601;0,9659;0,9591;1,0093;1
20231217 09:41:04;20231217 12:41:04;6,7;526;0,064;0,7274;1,2446;1,316;1;279;0,162;0,9785;0,9373;0,9973;1
20231217 09:51:06;20231217 12:51:06;6,7;471;0,0766;0,7527;1,2369;1,2723;1;279;0,1752;1,0131;0,8724;0,9636;1
20231217 10:01:06;20231217 13:01:06;6,7;481;0,0745;0,7582;1,234;1,2628;1;268;0,1792;1,0067;0,8842;0,9695;1
20231217 10:11:06;20231217 13:11:06;6,7;492;0,0712;0,7469;1,2392;1,281;1;260;0,1741;0,9823;0,9291;0,9929;1
20231217 10:21:06;20231217 13:21:06;6,5;531;0,0618;0,7162;1,2451;1,3342;1;269;0,1623;0,9669;0,9559;1,0075;1
20231217 10:31:06;20231217 13:31:06;6,4;488;0,0704;0,7398;1,2409;1,2891;1;255;0,1725;0,9801;0,9279;0,9923;1
20231217 10:41:07;20231217 13:41:07;6,2;474;0,0718;0,7286;1,2436;1,3058;1;249;0,1681;0,9652;0,9522;1,0055;1
20231217 10:51:07;20231217 13:51:07;5,9;440;0,0772;0,7308;1,2425;1,2981;1;257;0,1672;0,9848;0,9106;0,9831;1
20231217 11:01:07;20231217 14:01:07;5,6;489;0,0652;0,7375;1,2394;1,2822;1;261;0,1631;0,99;0,8958;0,9755;1
20231217 11:11:08;20231217 14:11:08;5,2;472;0,0659;0,7173;1,2444;1,3136;1;245;0,1612;0,9693;0,9309;0,9939;1
20231217 11:21:08;20231217 14:21:08;4,8;458;0,0648;0,7204;1,2433;1,3032;1;252;0,1576;0,9774;0,9117;0,9837;1
20231217 11:31:09;20231217 14:31:09;4,3;449;0,0616;0,6993;1,245;1,338;1;258;0,1471;0,9577;0,9473;1,0028;1
20231217 11:41:09;20231217 14:41:09;3,8;405;0,0618;0,6897;1,2439;1,3527;1;247;0,1488;0,946;0,9704;1,0156;1
20231217 11:51:09;20231217 14:51:09;3,3;490;0,0464;0,7229;1,2408;1,2885;1;278;0,1519;0,9878;0,8952;0,9752;1
