DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20231217 07:51:02;20231217 10:51:02;3.1;655;0;377;1
20231217 08:01:03;20231217 11:01:03;3.6;522;1;274;1
20231217 08:11:03;20231217 11:11:03;4.2;577;1;271;1
20231217 08:21:03;20231217 11:21:03;4.6;458;1;265;1
20231217 08:31:03;20231217 11:31:03;5.1;545;1;264;1
20231217 08:41:03;20231217 11:41:03;5.4;547;1;262;1
20231217 08:51:04;20231217 11:51:04;5.8;521;1;260;1
20231217 09:01:04;20231217 12:01:04;6.1;547;1;265;1
20231217 09:11:04;20231217 12:11:04;6.3;491;1;271;1
20231217 09:21:04;20231217 12:21:04;6.5;548;1;267;1
20231217 09:31:04;20231217 12:31:04;6.6;510;1;274;1
20231217 09:41:04;20231217 12:41:04;6.7;526;1;279;1
20231217 09:51:06;20231217 12:51:06;6.7;471;1;279;1
20231217 10:01:06;20231217 13:01:06;6.7;481;1;268;1
20231217 10:11:06;20231217 13:11:06;6.7;492;1;260;1
20231217 10:21:06;20231217 13:21:06;6.5;531;1;269;1
20231217 10:31:06;20231217 13:31:06;6.4;488;1;255;1
20231217 10:41:07;20231217 13:41:07;6.2;474;1;249;1
20231217 10:51:07;20231217 13:51:07;5.9;440;1;257;1
20231217 11:01:07;20231217 14:01:07;5.6;489;1;261;1
20231217 11:11:08;20231217 14:11:08;5.2;472;1;245;1
20231217 11:21:08;20231217 14:21:08;4.8;458;1;252;1
20231217 11:31:09;20231217 14:31:09;4.3;449;1;258;1
20231217 11:41:09;20231217 14:41:09;3.8;405;1;247;1
20231217 11:51:09;20231217 14:51:09;3.3;490;1;278;1
