DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20231216 07:49:52;20231216 10:49:52;3.1;619;0;373;1
20231216 07:59:52;20231216 10:59:52;3.6;619;0;326;1
20231216 08:09:53;20231216 11:09:53;4.2;585;1;293;1
20231216 08:19:53;20231216 11:19:53;4.6;571;1;286;1
20231216 08:29:53;20231216 11:29:53;5.1;667;0;314;1
20231216 08:39:53;20231216 11:39:53;5.5;643;0;310;1
20231216 08:49:53;20231216 11:49:53;5.8;569;1;308;1
20231216 08:59:53;20231216 11:59:53;6.1;516;1;295;1
20231216 09:09:54;20231216 12:09:54;6.3;565;1;290;1
20231216 09:19:54;20231216 12:19:54;6.5;585;1;285;1
20231216 09:29:54;20231216 12:29:54;6.6;633;0;279;1
20231216 09:39:54;20231216 12:39:54;6.7;608;0;303;1
20231216 09:49:55;20231216 12:49:55;6.8;579;1;302;1
20231216 09:59:55;20231216 12:59:55;6.8;552;1;286;1
20231216 10:09:55;20231216 13:09:55;6.7;548;1;284;1
20231216 10:19:55;20231216 13:19:55;6.6;629;0;279;1
20231216 10:29:56;20231216 13:29:56;6.4;600;1;273;1
20231216 10:39:56;20231216 13:39:56;6.2;578;1;292;1
20231216 10:49:56;20231216 13:49:56;6.0;588;1;297;1
20231216 10:59:56;20231216 13:59:56;5.6;635;0;293;1
20231216 11:09:56;20231216 14:09:56;5.3;555;1;299;1
20231216 11:19:57;20231216 14:19:57;4.9;563;1;269;1
20231216 11:29:57;20231216 14:29:57;4.4;536;1;312;1
20231216 11:39:57;20231216 14:39:57;3.9;584;1;311;1
20231216 11:49:57;20231216 14:49:57;3.4;840;0;365;1
