DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231213 07:45:42;20231213 10:45:42;3,1;553;0,039;0,6735;1,2387;1,3827;1;683;0,0592;0,924;1,0191;1,0443;0
20231213 07:55:43;20231213 10:55:43;3,7;453;0,0539;0,6819;1,2419;1,3673;1;304;0,1178;0,9065;1,0453;1,0606;1
20231213 08:05:43;20231213 11:05:43;4,2;588;0,0402;0,6928;1,2443;1,3492;1;329;0,1103;0,9348;0,9907;1,0273;1
20231213 08:15:43;20231213 11:15:43;4,7;684;0,026;0,7063;1,2451;1,3279;0;255;0,1349;0,9047;1,0479;1,0623;1
20231213 08:25:43;20231213 11:25:43;5,1;766;0,0105;0,6989;1,2445;1,3471;0;296;0,1237;0,9256;1,0125;1,0403;1
20231213 08:35:44;20231213 11:35:44;5,5;506;0,0615;0,7254;1,2432;1,3028;1;264;0,151;0,9593;0,9538;1,0064;1
20231213 08:45:44;20231213 11:45:44;5,9;639;0,0361;0,7142;1,2451;1,3282;0;218;0,1726;0,9382;0,9984;1,0318;1
20231213 08:55:44;20231213 11:55:44;6,2;453;0,0763;0,7242;1,2444;1,3142;1;264;0,1589;0,9618;0,959;1,0092;1
20231213 09:05:44;20231213 12:05:44;6,4;677;0,0298;0,7295;1,2439;1,3082;0;267;0,1637;0,9725;0,9433;1,0006;1
20231213 09:15:44;20231213 12:15:44;6,6;596;0,0485;0,6991;1,2417;1,3683;1;234;0,1813;0,9593;0,9719;1,0165;1
20231213 09:25:45;20231213 12:25:45;6,8;541;0,0611;0,7219;1,2451;1,3274;1;280;0,1671;0,9906;0,9161;0,986;1
20231213 09:35:45;20231213 12:35:45;6,9;527;0,0648;0,7354;1,2434;1,3045;1;227;0,1934;0,9711;0,9548;1,0069;1
20231213 09:45:45;20231213 12:45:45;6,9;536;0,0632;0,7226;1,2451;1,3284;1;200;0,2014;0,9476;0,9995;1,0325;1
20231213 09:55:46;20231213 12:55:46;6,9;511;0,0695;0,6782;1,228;1,4155;1;237;0,184;0,9594;0,9777;1,0198;1
20231213 10:05:46;20231213 13:05:46;6,9;626;0,0435;0,6819;1,2312;1,407;0;185;0,1929;0,9013;1,0822;1,085;1
20231213 10:15:46;20231213 13:15:46;6,8;647;0,038;0,7232;1,245;1,325;0;219;0,1813;0,927;1,0344;1,0537;1
20231213 10:25:47;20231213 13:25:47;6,6;552;0,058;0,7079;1,2441;1,3514;1;188;0,192;0,9151;1,0534;1,0658;1
20231213 10:35:47;20231213 13:35:47;6,5;585;0,0497;0,7098;1,2446;1,3448;1;273;0,1575;0,9622;0,963;1,0115;1
20231213 10:45:47;20231213 13:45:47;6,2;586;0,0484;0,7215;1,2448;1,3193;1;231;0,1698;0,9387;1,0026;1,0343;1
20231213 10:55:47;20231213 13:55:47;5,9;513;0,0621;0,7091;1,245;1,3381;1;187;0,1906;0,9437;0,9885;1,0261;1
20231213 11:05:47;20231213 14:05:47;5,6;629;0,0371;0,7021;1,2445;1,3466;0;278;0,1429;0,955;0,9623;1,0111;1
20231213 11:15:47;20231213 14:15:47;5,2;620;0,0377;0,7127;1,2449;1,3215;0;240;0,1643;0,9713;0,9265;0,9915;1
20231213 11:25:47;20231213 14:25:47;4,7;409;0,074;0,7094;1,2449;1,3225;1;251;0,1539;0,9664;0,9321;0,9946;1
20231213 11:35:47;20231213 14:35:47;4,2;757;0,0159;0,6916;1,244;1,352;0;457;0,0785;0,9775;0,9092;0,9824;1
20231213 11:45:48;20231213 14:45:48;3,7;882;0,0037;0,668;1,235;1,3959;0;535;0,0751;0,9733;0,9191;0,9876;1
20231213 11:55:48;20231213 14:55:48;3,1;622;0,0333;0,6647;1,2333;1,401;0;524;0,0831;0,952;0,966;1,0132;1
