DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20231208 09:55:14;20231208 12:55:14;7.4;488;1;271;1
20231208 10:05:14;20231208 13:05:14;7.3;517;1;269;1
20231208 10:15:15;20231208 13:15:15;7.2;493;1;284;1
20231208 10:25:15;20231208 13:25:15;7.1;473;1;275;1
20231208 10:35:15;20231208 13:35:15;6.8;499;1;268;1
20231208 10:45:16;20231208 13:45:16;6.6;486;1;257;1
20231208 10:55:16;20231208 13:55:16;6.3;498;1;259;1
20231208 11:05:16;20231208 14:05:16;5.9;501;1;264;1
20231208 11:15:16;20231208 14:15:16;5.5;525;1;271;1
20231208 11:25:17;20231208 14:25:17;5.1;410;1;236;1
20231208 11:35:17;20231208 14:35:17;4.6;522;1;250;1
20231208 11:45:17;20231208 14:45:17;4.0;495;1;266;1
20231208 11:55:18;20231208 14:55:18;3.5;452;1;278;1
