DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231214 07:47:09;20231214 10:47:09;3,1;214;0,1469;0,5246;0,7734;1,7749;1;119;0,1548;0,7797;1,2528;1,2376;1
20231214 07:57:09;20231214 10:57:09;3,7;-12;0,2598;0,533;0,8268;1,749;0;189;0,1735;0,9481;0,9675;1,014;1
20231214 08:07:09;20231214 11:07:09;4,2;1002;-0,0198;0,6202;1,1709;1,5069;0;974;0,0087;1,0391;0,7902;0,9242;0
20231214 08:17:09;20231214 11:17:09;4,7;640;0,0344;0,6441;1,2076;1,456;0;566;0,0552;0,9505;0,9622;1,011;1
20231214 08:27:10;20231214 11:27:10;5,1;652;0,032;0,6736;1,2345;1,3974;0;309;0,1152;0,9147;1,0326;1,0526;1
20231214 08:37:11;20231214 11:37:11;5,5;714;0,02;0,6918;1,2422;1,3659;0;364;0,0899;0,9106;1,0444;1,06;1
20231214 08:47:11;20231214 11:47:11;5,8;471;0,0706;0,6941;1,2421;1,3661;1;372;0,0878;0,9178;1,0356;1,0545;1
20231214 08:57:12;20231214 11:57:12;6,1;702;0,0238;0,6785;1,233;1,402;0;394;0,0787;0,9491;0,9823;1,0224;1
20231214 09:07:12;20231214 12:07:12;6,4;715;0,0218;0,6796;1,2324;1,4036;0;306;0,1309;0,9342;1,0142;1,0413;1
20231214 09:17:12;20231214 12:17:12;6,6;866;-0,0106;0,6754;1,228;1,4154;0;433;0,0739;0,9544;0,9802;1,0213;1
20231214 09:27:12;20231214 12:27:12;6,7;560;0,057;0,6861;1,235;1,3958;1;307;0,13;0,9172;1,0511;1,0643;1
20231214 09:37:13;20231214 12:37:13;6,8;467;0,0788;0,6756;1,2264;1,4191;1;324;0,1308;0,955;0,9837;1,0233;1
20231214 09:47:13;20231214 12:47:13;6,9;498;0,0712;0,7123;1,2445;1,3467;1;330;0,1266;0,9488;0,9962;1,0305;1
20231214 09:57:13;20231214 12:57:13;6,9;653;0,0371;0,7086;1,2438;1,3536;0;357;0,1175;0,9788;0,9401;0,9988;1
20231214 10:07:13;20231214 13:07:13;6,8;628;0,0428;0,6801;1,2303;1,4096;0;307;0,1327;0,9224;1,0434;1,0594;1
20231214 10:17:13;20231214 13:17:13;6,7;397;0,0944;0,6645;1,2161;1,441;1;326;0,1396;0,9974;0,902;0,9786;1
20231214 10:27:14;20231214 13:27:14;6,6;402;0,0917;0,6698;1,223;1,427;1;303;0,1334;0,9288;1,0271;1,0492;1
20231214 10:37:14;20231214 13:37:14;6,4;377;0,0964;0,6686;1,2233;1,4263;1;257;0,1429;0,8779;1,1141;1,1077;1
20231214 10:47:14;20231214 13:47:14;6,1;658;0,0329;0,686;1,2378;1,3862;0;381;0,0901;0,9599;0,9615;1,0107;1
20231214 10:57:14;20231214 13:57:14;5,8;755;0,012;0,7047;1,2446;1,3451;0;267;0,1413;0,9201;1,0309;1,0515;1
20231214 11:07:15;20231214 14:07:15;5,5;299;0,121;0,6907;1,2419;1,3674;1;355;0,104;0,9641;0,9438;1,0009;1
20231214 11:17:15;20231214 14:17:15;5,1;1125;-0,0581;0,6278;1,1777;1,4987;0;891;0,0046;0,941;0,983;1,0229;0
20231214 11:27:15;20231214 14:27:15;4,6;432;0,0673;0,6846;1,2416;1,3693;1;279;0,1183;0,8733;1,1038;1,1002;1
20231214 11:37:15;20231214 14:37:15;4,1;39;0,2011;0,5978;1,1162;1,5629;0;289;0,1487;1,008;0,8504;0,9527;1
20231214 11:47:16;20231214 14:47:16;3,6;281;0,2354;0,4978;0,544;1,8722;1;4;0,2256;0,8984;1,0605;1,0704;0
20231214 11:57:16;20231214 14:57:16;3,0;662;0,2633;0,4631;0,1392;2,0108;0;508;0,0761;0,8743;1,1097;1,1044;1
