DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20231218 07:52:02;20231218 10:52:02;3.1;522;1;299;1
20231218 08:02:02;20231218 11:02:02;3.6;426;1;239;1
20231218 08:12:02;20231218 11:12:02;4.2;545;1;229;1
20231218 08:22:02;20231218 11:22:02;4.6;417;1;198;1
20231218 08:32:02;20231218 11:32:02;5.0;491;1;200;1
20231218 08:42:03;20231218 11:42:03;5.4;435;1;217;1
20231218 08:52:03;20231218 11:52:03;5.8;482;1;215;1
20231218 09:02:03;20231218 12:02:03;6.0;467;1;212;1
20231218 09:12:03;20231218 12:12:03;6.3;474;1;233;1
20231218 09:22:03;20231218 12:22:03;6.5;454;1;239;1
20231218 09:32:04;20231218 12:32:04;6.6;444;1;246;1
20231218 09:42:04;20231218 12:42:04;6.7;512;1;221;1
20231218 09:52:04;20231218 12:52:04;6.7;492;1;234;1
20231218 10:02:04;20231218 13:02:04;6.7;432;1;222;1
20231218 10:12:05;20231218 13:12:05;6.6;490;1;236;1
20231218 10:22:05;20231218 13:22:05;6.5;469;1;237;1
20231218 10:32:06;20231218 13:32:06;6.3;480;1;221;1
20231218 10:42:06;20231218 13:42:06;6.1;489;1;228;1
20231218 10:52:06;20231218 13:52:06;5.8;526;1;221;1
20231218 11:02:06;20231218 14:02:06;5.5;539;1;249;1
20231218 11:12:06;20231218 14:12:06;5.2;533;1;216;1
20231218 11:22:07;20231218 14:22:07;4.7;543;1;226;1
20231218 11:32:07;20231218 14:32:07;4.3;514;1;246;1
20231218 11:42:08;20231218 14:42:08;3.8;522;1;213;1
20231218 11:52:08;20231218 14:52:08;3.2;382;1;270;1
