DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231215 07:48:33;20231215 10:48:33;3,1;231;0,1089;0,5676;1,0155;1,6407;1;773;0,0474;0,9197;1,0271;1,0492;0
20231215 07:58:34;20231215 10:58:34;3,6;268;0,1334;0,5673;1,0115;1,6433;1;273;0,1228;0,8751;1,1016;1,0986;1
20231215 08:08:34;20231215 11:08:34;4,2;444;0,0645;0,6192;1,1688;1,5094;1;389;0,0827;0,9299;0,9998;1,0327;1
20231215 08:18:34;20231215 11:18:34;4,7;598;0,0439;0,6092;1,1411;1,5393;1;699;0,0362;0,939;0,9839;1,0234;0
20231215 08:28:34;20231215 11:28:34;5,1;693;0,0256;0,6242;1,1701;1,5079;0;377;0,0961;0,9928;0,8844;0,9696;1
20231215 08:38:34;20231215 11:38:34;5,5;791;0,0049;0,6869;1,2404;1,3752;0;384;0,0819;0,9402;0,9891;1,0264;1
20231215 08:48:35;20231215 11:48:35;5,8;493;0,0659;0,7319;1,2421;1,2953;1;379;0,0909;0,966;0,9451;1,0016;1
20231215 08:58:35;20231215 11:58:35;6,1;551;0,0555;0,7377;1,2409;1,2891;1;323;0,118;0,9299;1,0174;1,0432;1
20231215 09:08:35;20231215 12:08:35;6,4;513;0,0651;0,6901;1,2389;1,3817;1;302;0,1342;0,9401;1,0026;1,0344;1
20231215 09:18:36;20231215 12:18:36;6,5;426;0,0846;0,7117;1,2448;1,3427;1;291;0,1427;0,942;1,0024;1,0342;1
20231215 09:28:36;20231215 12:28:36;6,7;788;0,0066;0,7331;1,2436;1,3056;0;318;0,1331;0,9573;0,9767;1,0192;1
20231215 09:38:36;20231215 12:38:36;6,8;589;0,0515;0,6692;1,2207;1,4319;1;295;0,1418;0,9361;1,0176;1,0434;1
20231215 09:48:36;20231215 12:48:36;6,8;757;0,0141;0,7256;1,2449;1,3212;0;362;0,1149;0,9812;0,9346;0,9959;1
20231215 09:58:36;20231215 12:58:36;6,8;609;0,0465;0,6959;1,2399;1,3775;0;361;0,11;0,9569;0,9799;1,0211;1
20231215 10:08:37;20231215 13:08:37;6,8;779;0,0089;0,6857;1,2346;1,3971;0;330;0,1259;0,9514;0,9889;1,0263;1
20231215 10:18:37;20231215 13:18:37;6,7;600;0,0476;0,7301;1,2441;1,3105;1;366;0,1019;0,9386;1,0106;1,0391;1
20231215 10:28:37;20231215 13:28:37;6,5;661;0,034;0,6781;1,2307;1,4083;0;361;0,1001;0,9238;1,035;1,0541;1
20231215 10:38:37;20231215 13:38:37;6,3;363;0,103;0,7209;1,2449;1,3217;1;343;0,109;0,9279;1,0239;1,0472;1
20231215 10:48:37;20231215 13:48:37;6,0;372;0,095;0,7072;1,2447;1,3435;1;296;0,1399;0,9634;0,9534;1,0062;1
20231215 10:58:37;20231215 13:58:37;5,7;374;0,0918;0,7009;1,2441;1,351;1;353;0,106;0,9607;0,9538;1,0064;1
20231215 11:08:38;20231215 14:08:38;5,4;450;0,0713;0,7032;1,2448;1,3419;1;254;0,1469;0,9326;1,002;1,034;1
20231215 11:18:38;20231215 14:18:38;5,0;349;0,0995;0,6622;1,2262;1,4197;1;250;0,1362;0,8941;1,0689;1,076;1
20231215 11:28:38;20231215 14:28:38;4,5;534;0,0512;0,6477;1,2132;1,4462;1;442;0,0666;0,8976;1,0602;1,0702;1
20231215 11:38:38;20231215 14:38:38;4,0;1007;-0,0178;0,6107;1,1512;1,529;0;611;0,0555;0,9367;0,9873;1,0253;0
20231215 11:48:38;20231215 14:48:38;3,5;521;0,0446;0,6823;1,2422;1,3657;1;304;0,1302;0,9535;0,9589;1,0092;1
