DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250128 07:25:11;20250128 10:25:11;5.1;-519;0;-1179;0
20250128 07:35:11;20250128 10:35:11;5.8;-598;0;-925;0
20250128 07:45:10;20250128 10:45:10;6.6;-493;0;-859;0
20250128 07:55:04;20250128 10:55:04;7.2;-484;0;-758;0
20250128 08:05:11;20250128 11:05:11;7.9;-389;0;-725;0
20250128 08:15:11;20250128 11:15:11;8.5;-304;0;-770;0
20250128 08:25:15;20250128 11:25:15;9.0;-360;0;-645;0
20250128 08:35:15;20250128 11:35:15;9.6;-359;0;-630;0
20250128 08:45:15;20250128 11:45:15;10.0;-413;0;-730;0
20250128 08:55:14;20250128 11:55:14;10.4;-277;0;-604;0
20250128 09:05:18;20250128 12:05:18;10.8;-315;0;-614;0
20250128 09:15:18;20250128 12:15:18;11.1;-350;0;-637;0
20250128 09:25:12;20250128 12:25:12;11.4;-253;0;-619;0
20250128 09:35:19;20250128 12:35:19;11.6;-311;0;-500;0
20250128 09:45:19;20250128 12:45:19;11.7;-322;0;-671;0
20250128 09:55:19;20250128 12:55:19;11.8;-242;0;-610;0
20250128 10:05:23;20250128 13:05:23;11.9;-215;0;-610;0
20250128 10:15:17;20250128 13:15:17;11.9;-203;0;-588;0
20250128 10:25:18;20250128 13:25:18;11.8;-249;0;-579;0
20250128 10:35:23;20250128 13:35:23;11.7;-244;0;-601;0
20250128 10:45:23;20250128 13:45:23;11.6;-232;0;-605;0
20250128 10:55:27;20250128 13:55:27;11.4;-249;0;-646;0
20250128 11:05:21;20250128 14:05:21;11.1;-234;0;-655;0
20250128 11:15:22;20250128 14:15:22;10.8;-282;0;-520;0
20250128 11:25:28;20250128 14:25:28;10.4;-321;0;-650;0
20250128 11:35:28;20250128 14:35:28;10.0;-299;0;-661;0
20250128 11:45:32;20250128 14:45:32;9.5;-389;0;-672;0
20250128 11:55:31;20250128 14:55:31;9.0;-307;0;-579;0
20250128 12:05:31;20250128 15:05:31;8.5;-331;0;-745;0
20250128 12:15:31;20250128 15:15:31;7.9;-416;0;-950;0
20250128 12:25:35;20250128 15:25:35;7.2;-435;0;-917;0
20250128 12:35:34;20250128 15:35:34;6.5;-329;0;-945;0
20250128 12:45:34;20250128 15:45:34;5.8;-402;0;-1194;0
20250128 12:55:34;20250128 15:55:34;5.0;-500;0;-1203;0
