DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250127 07:28:06;20250127 10:28:06;5,1;-777;0,6848;0,9429;0,98;0,9979;0;-1186;0,8472;0,9458;0,9741;1,0178;0
20250127 07:38:10;20250127 10:38:10;5,8;-637;0,6557;0,9684;0,9489;0,9789;0;-964;0,8245;0,9655;0,9463;1,0022;0
20250127 07:48:10;20250127 10:48:10;6,5;-625;0,6996;0,9718;0,956;0,9832;0;-968;0,8656;0,9602;0,9683;1,0145;0
20250127 07:58:14;20250127 10:58:14;7,2;-445;0,6398;0,9759;0,9618;0,9867;0;-798;0,8433;0,9841;0,9369;0,9971;0
20250127 08:08:14;20250127 11:08:14;7,8;-442;0,6561;0,9628;0,9947;1,0073;0;-788;0,8387;0,966;0,9835;1,0232;0
20250127 08:18:07;20250127 11:18:07;8,4;-366;0,6733;0,999;0,9459;0,9772;0;-704;0,8287;0,978;0,9739;1,0176;0
20250127 08:28:02;20250127 11:28:02;8,9;-390;0,679;0,9677;1,006;1,0147;0;-771;0,8586;0,9551;1,026;1,0485;0
20250127 08:38:00;20250127 11:38:00;9,4;-386;0,6928;0,9628;1,0216;1,0252;0;-743;0,8584;0,9553;1,0354;1,0544;0
20250127 08:47:55;20250127 11:47:55;9,9;-248;0,6491;1,0047;0,9622;0,9869;0;-520;0,8207;1,0221;0,9245;0,9905;0
20250127 08:57:55;20250127 11:57:55;10,3;-260;0,6667;0,9989;0,9778;0,9965;0;-579;0,8258;0,9905;0,9896;1,0267;0
20250127 09:07:57;20250127 12:07:57;10,6;-275;0,6702;0,9807;1,0118;1,0185;0;-683;0,8524;0,9518;1,0636;1,0725;0
20250127 09:17:57;20250127 12:17:57;10,9;-187;0,6365;1,0071;0,9746;0,9946;0;-579;0,8353;0,9851;1,0113;1,0395;0
20250127 09:28:04;20250127 12:28:04;11,2;-162;0,6259;1,0101;0,9736;0,9939;0;-633;0,8671;0,9764;1,0309;1,0515;0
20250127 09:38:05;20250127 12:38:05;11,4;-121;0,585;0,9983;0,9948;1,0073;0;-601;0,8533;0,979;1,0298;1,0509;0
20250127 09:48:01;20250127 12:48:01;11,5;-280;0,6696;0,9513;1,0676;1,0584;0;-526;0,8073;0,982;1,027;1,0491;0
20250127 09:58:02;20250127 12:58:02;11,6;-207;0,6365;0,9741;1,035;1,0345;0;-563;0,8586;0,9975;1,0015;1,0337;0
20250127 10:08:03;20250127 13:08:03;11,6;-147;0,6098;0,9952;1,0033;1,0129;0;-481;0,7862;0,9881;1,0186;1,0439;0
20250127 10:18:03;20250127 13:18:03;11,6;-260;0,6592;0,9534;1,0659;1,0571;0;-640;0,8454;0,9488;1,0851;1,087;0
20250127 10:28:10;20250127 13:28:10;11,5;-244;0,6698;0,9802;1,0252;1,0276;0;-574;0,8271;0,9709;1,0467;1,0615;0
20250127 10:38:10;20250127 13:38:10;11,4;-235;0,6643;0,9853;1,0157;1,0211;0;-468;0,7983;1,0074;0,981;1,0217;0
20250127 10:48:06;20250127 13:48:06;11,2;-223;0,6795;1,0118;0,9718;0,9928;0;-656;0,8723;0,9674;1,0477;1,0621;0
20250127 10:58:06;20250127 13:58:06;11,0;-225;0,6461;0,9844;1,0115;1,0183;0;-688;0,8509;0,9399;1,0902;1,0906;0
20250127 11:08:08;20250127 14:08:08;10,7;-194;0,6116;0,981;1,013;1,0193;0;-531;0,8112;0,9952;0,9899;1,0269;0
20250127 11:18:14;20250127 14:18:14;10,4;-172;0,6215;1,0178;0,9495;0,9793;0;-759;0,8629;0,9275;1,1007;1,0979;0
20250127 11:28:16;20250127 14:28:16;10,0;-279;0,6304;0,9585;1,0372;1,036;0;-698;0,8404;0,9493;1,0571;1,0682;0
20250127 11:38:22;20250127 14:38:22;9,6;-301;0,6576;0,9829;0,9924;1,0058;0;-700;0,856;0,9693;1,0138;1,041;0
20250127 11:48:24;20250127 14:48:24;9,1;-358;0,6751;0,9774;0,9933;1,0064;0;-614;0,822;0,9955;0,9566;1,0079;0
20250127 11:58:20;20250127 14:58:20;8,6;-408;0,6656;0,9583;1,0149;1,0206;0;-650;0,8108;0,985;0,9649;1,0125;0
20250127 12:08:21;20250127 15:08:21;8,0;-456;0,6754;0,9631;0,9974;1,0091;0;-599;0,824;1,0276;0,8731;0,9639;0
20250127 12:18:20;20250127 15:18:20;7,4;-461;0,6501;0,9672;0,9799;0,9978;0;-833;0,8513;0,9697;0,968;1,0143;0
20250127 12:28:21;20250127 15:28:21;6,7;-567;0,6977;0,986;0,9361;0,9714;0;-898;0,869;0,9781;0,9388;0,9982;0
20250127 12:38:26;20250127 15:38:26;6,0;-649;0,6831;0,9726;0,9456;0,977;0;-926;0,8269;0,9703;0,9408;0,9992;0
20250127 12:48:38;20250127 15:48:38;5,3;-794;0,6775;0,9448;0,9801;0,998;0;-1133;0,8537;0,9539;0,961;1,0104;0
