	MuEff							
7	Ozone	number						
99	Mueff	number						
0.05	Mueff	step						
250	275	303	318	365	420	470	Ozon	number
0.058153855	0.050643541	0.045078837	0.041259105	0.033345348	0.029896028	0.025507741	4.4	
0.057549075	0.050152531	0.044733402	0.04093585	0.0331691	0.029844384	0.025542433	4.45	
0.056964684	0.049685258	0.044418926	0.040638667	0.03301055	0.02980546	0.025592003	4.5	
0.056399405	0.049240553	0.044133728	0.040365943	0.032869551	0.029778351	0.025655252	4.55	
0.055852126	0.048817332	0.043876053	0.040115999	0.032745974	0.029762188	0.025730895	4.6	
0.055321894	0.048414597	0.043644073	0.039887096	0.0326397	0.029756135	0.025817568	4.65	
0.054807914	0.048031432	0.043435895	0.039677439	0.032550604	0.029759392	0.025913834	4.7	
0.054309541	0.047666999	0.043249564	0.039485188	0.032478543	0.029771193	0.026018196	4.75	
0.053826278	0.047320532	0.043083073	0.039308471	0.032423347	0.029790806	0.026129104	4.8	
0.053357766	0.04699134	0.042934373	0.039145388	0.032384804	0.029817535	0.02624497	4.85	
0.052903779	0.046678797	0.042801378	0.038994034	0.032362647	0.029850718	0.026364181	4.9	
0.05246422	0.046382346	0.042681983	0.038852507	0.032356544	0.029889726	0.026485118	4.95	
0.052039106	0.046101487	0.042574074	0.038718929	0.032366084	0.029933967	0.026606171	5	
0.051628564	0.045835782	0.042475543	0.038591462	0.032390766	0.029982882	0.026725758	5.05	
0.051232823	0.045584846	0.042384307	0.038468329	0.032429987	0.030035948	0.026842351	5.1	
0.050852199	0.045348347	0.04229832	0.038347838	0.032483025	0.030092675	0.026954494	5.15	
0.050487087	0.045126	0.042215598	0.038228399	0.032549035	0.030152607	0.027060828	5.2	
0.050137951	0.044917567	0.042134234	0.038108557	0.03262703	0.030215326	0.027160121	5.25	
0.049805309	0.044722852	0.042052425	0.037987012	0.03271587	0.030280444	0.027251294	5.3	
0.049489725	0.044541696	0.041968493	0.037862652	0.032814253	0.030347612	0.02733345	5.35	
0.049191789	0.044373977	0.041880906	0.037734578	0.032920699	0.030416513	0.027405905	5.4	
0.048912109	0.044219605	0.041788311	0.037602139	0.033033538	0.030486865	0.027468226	5.45	
0.048651293	0.044078518	0.041689558	0.037464965	0.0331509	0.03055842	0.027520258	5.5	
0.048409936	0.043950681	0.041583729	0.037322999	0.033270701	0.030630966	0.027562168	5.55	
0.048188601	0.04383608	0.041470166	0.037322999	0.033390633	0.030704324	0.027594479	5.6	
0.047987808	0.043734721	0.04134851	0.037322999	0.033508147	0.030778352	0.027618112	5.65	
0.04780801	0.043646626	0.041218727	0.037322999	0.033620444	0.030852939	0.027634427	5.7	
0.04764958	0.043571829	0.041081145	0.037322999	0.033724464	0.030928012	0.027645264	5.75	
0.047512789	0.043510373	0.040936493	0.037322999	0.03381687	0.03100353	0.027652993	5.8	
0.047397791	0.043462308	0.040785934	0.037322999	0.03389404	0.031079488	0.027660558	5.85	
0.047304599	0.043427686	0.040631107	0.037322999	0.033952051	0.031155917	0.027671525	5.9	
0.047233069	0.043406558	0.040474168	0.037322999	0.033986666	0.031232878	0.027690134	5.95	
0.047182873	0.043398973	0.040317827	0.037322999	0.033993329	0.031310471	0.027721349	6	
