DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231122 06:56:18;20231122 09:56:18;3,1;613;0,0339;0,7241;1,2403;1,2861;0;296;0,1469;0,9896;0,8946;0,9749;1
20231122 06:58:58;20231122 09:58:58;3,3;403;0,055;0,7239;1,2404;1,2867;1;290;0,1466;0,9869;0,8969;0,976;1
20231122 07:01:53;20231122 10:01:53;3,5;533;0,0438;0,7254;1,24;1,2847;1;301;0,1394;0,9847;0,8986;0,9769;1
20231122 07:11:53;20231122 10:11:53;4,3;490;0,0551;0,7323;1,2382;1,2771;1;261;0,1578;0,9958;0,8739;0,9643;1
20231122 07:21:53;20231122 10:21:53;5,0;469;0,0648;0,7365;1,2381;1,2768;1;257;0,1614;0,9934;0,8823;0,9686;1
20231122 07:31:54;20231122 10:31:54;5,6;489;0,0659;0,7424;1,2375;1,2747;1;265;0,168;1,0079;0,8625;0,9586;1
20231122 07:41:54;20231122 10:41:54;6,3;458;0,0761;0,7434;1,2392;1,2814;1;259;0,1785;1,0067;0,8753;0,965;1
20231122 07:51:54;20231122 10:51:54;6,8;458;0,0801;0,7563;1,2356;1,2678;1;259;0,189;1,0114;0,8778;0,9663;1
20231122 08:01:54;20231122 11:01:54;7,4;462;0,0828;0,7606;1,2357;1,2682;1;279;0,1859;1,0168;0,8788;0,9668;1
20231122 08:11:54;20231122 11:11:54;7,9;445;0,0903;0,7638;1,2362;1,2699;1;281;0,1896;1,0125;0,8977;0,9765;1
20231122 08:21:55;20231122 11:21:55;8,3;499;0,0814;0,7762;1,2316;1,2558;1;280;0,1972;1,0131;0,9063;0,9809;1
20231122 08:31:55;20231122 11:31:55;8,7;470;0,0912;0,7771;1,233;1,2599;1;288;0,2017;1,0229;0,8968;0,976;1
20231122 08:41:55;20231122 11:41:55;9,0;474;0,0934;0,7828;1,2314;1,2552;1;286;0,207;1,0196;0,9104;0,983;1
20231122 08:51:56;20231122 11:51:56;9,3;499;0,0898;0,7842;1,232;1,2569;1;297;0,2096;1,0347;0,8891;0,972;1
20231122 09:01:56;20231122 12:01:56;9,5;480;0,0965;0,7861;1,2321;1,2571;1;298;0,2129;1,0375;0,8891;0,972;1
20231122 09:11:57;20231122 12:11:57;9,7;499;0,0936;0,7923;1,2293;1,2497;1;297;0,215;1,0345;0,8988;0,977;1
20231122 09:19:54;20231122 12:19:54;9,8;496;0,0953;0,7925;1,2297;1,2507;1;303;0,2149;1,0403;0,8906;0,9728;1
20231122 09:29:59;20231122 12:29:59;9,9;477;0,1017;0,8037;1,2229;1,2345;1;293;0,2267;1,0457;0,8827;0,9688;1
20231122 09:32:18;20231122 12:32:18;10,0;494;0,0971;0,7967;1,2277;1,2456;1;296;0,2201;1,0359;0,9009;0,9781;1
20231122 09:42:18;20231122 12:42:18;10,0;485;0,0993;0,792;1,2307;1,2534;1;291;0,222;1,0308;0,911;0,9833;1
20231122 09:52:19;20231122 12:52:19;10,0;483;0,0996;0,7895;1,2321;1,2571;1;292;0,2225;1,0351;0,9026;0,979;1
20231122 10:02:19;20231122 13:02:19;9,9;503;0,0942;0,7947;1,2287;1,2479;1;291;0,2193;1,028;0,914;0,9849;1
20231122 10:12:19;20231122 13:12:19;9,8;513;0,0896;0,7638;1,2423;1,2967;1;291;0,2064;1,0014;0,9598;1,0097;1
20231122 10:22:20;20231122 13:22:20;9,6;481;0,0963;0,7788;1,2361;1,2695;1;285;0,2149;1,0176;0,9266;0,9916;1
20231122 10:32:20;20231122 13:32:20;9,4;478;0,0951;0,7777;1,2357;1,2682;1;285;0,2119;1,0177;0,9215;0,9889;1
20231122 10:42:20;20231122 13:42:20;9,1;466;0,0959;0,7843;1,2309;1,2538;1;282;0,2134;1,0252;0,9017;0,9785;1
20231122 10:52:20;20231122 13:52:20;8,8;450;0,097;0,7837;1,2296;1,2503;1;275;0,2128;1,0239;0,8968;0,976;1
20231122 11:02:21;20231122 14:02:21;8,4;462;0,0909;0,7763;1,2321;1,257;1;271;0,2058;1,0147;0,9055;0,9805;1
20231122 11:12:21;20231122 14:12:21;8,0;500;0,0781;0,7547;1,2404;1,2867;1;269;0,1924;0,9938;0,9349;0,996;1
20231122 11:22:21;20231122 14:22:21;7,5;462;0,084;0,7689;1,2318;1,2562;1;271;0,1921;1,0158;0,8834;0,9691;1
20231122 11:32:21;20231122 14:32:21;7,0;469;0,0787;0,761;1,2337;1,2617;1;255;0,1914;1,0067;0,8892;0,9721;1
20231122 11:42:21;20231122 14:42:21;6,4;477;0,0728;0,7354;1,2424;1,2973;1;263;0,1706;0,987;0,9154;0,9856;1
20231122 11:52:22;20231122 14:52:22;5,8;457;0,0738;0,7577;1,2298;1,2508;1;241;0,1838;1,0071;0,8663;0,9606;1
20231122 12:02:23;20231122 15:02:23;5,1;380;0,0843;0,7248;1,2427;1,299;1;231;0,1713;0,9787;0,912;0,9839;1
20231122 12:12:23;20231122 15:12:23;4,4;411;0,0713;0,7349;1,2373;1,2739;1;233;0,1689;0,9881;0,8891;0,972;1
20231122 12:22:24;20231122 15:22:24;3,7;483;0,0509;0,7276;1,2393;1,2817;1;290;0,141;0,9781;0,9098;0,9827;1
20231122 12:32:24;20231122 15:32:24;2,9;484;0,0437;0,7377;1,2339;1,2623;1;275;0,1547;0,9859;0,9047;0,98;1
