DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20231123 06:59:09;20231123 09:59:09;3,1;752;0,0217;0,693;1,2447;1,3437;0;325;0,1249;0,9502;0,9698;1,0153;1
20231123 07:09:09;20231123 10:09:09;3,9;603;0,037;0,6965;1,2449;1,3396;0;288;0,1359;0,9617;0,9403;0,999;1
20231123 07:19:10;20231123 10:19:10;4,6;573;0,0441;0,695;1,2444;1,3483;1;259;0,1416;0,9391;0,9833;1,0231;1
20231123 07:29:10;20231123 10:29:10;5,2;534;0,0545;0,6823;1,239;1,3814;1;252;0,1444;0,923;1,0187;1,044;1
20231123 07:39:10;20231123 10:39:10;5,9;497;0,0654;0,6912;1,241;1,3724;1;234;0,1634;0,9364;1,0017;1,0338;1
20231123 07:49:10;20231123 10:49:10;6,5;607;0,0451;0,6979;1,2418;1,368;0;256;0,1603;0,9401;1,0045;1,0355;1
20231123 07:59:11;20231123 10:59:11;7,0;522;0,0667;0,705;1,2427;1,3626;1;273;0,1587;0,9421;1,0108;1,0392;1
20231123 08:09:11;20231123 11:09:11;7,5;537;0,0663;0,7217;1,2449;1,3386;1;279;0,1656;0,9541;0,9986;1,032;1
20231123 08:19:11;20231123 11:19:11;8,0;547;0,0672;0,7157;1,2435;1,3569;1;280;0,173;0,9595;0,9979;1,0316;1
20231123 08:29:11;20231123 11:29:11;8,4;575;0,0638;0,7062;1,239;1,3813;1;297;0,1619;0,9371;1,0463;1,0613;1
20231123 08:39:12;20231123 11:39:12;8,7;561;0,0698;0,7105;1,2397;1,3783;1;288;0,1722;0,9377;1,0522;1,065;1
20231123 08:49:12;20231123 11:49:12;9,0;573;0,0689;0,7327;1,2448;1,3411;1;305;0,1764;0,9738;0,994;1,0292;1
20231123 08:59:12;20231123 11:59:12;9,3;551;0,0762;0,7632;1,2413;1,291;1;311;0,1852;1,001;0,95;1,0043;1
20231123 09:09:12;20231123 12:09:12;9,5;546;0,079;0,7521;1,2443;1,3128;1;311;0,1848;0,9909;0,9726;1,0169;1
20231123 09:19:13;20231123 12:19:13;9,6;582;0,0716;0,7247;1,2424;1,3647;1;307;0,1783;0,9572;1,0356;1,0545;1
20231123 09:29:13;20231123 12:29:13;9,7;560;0,0776;0,74;1,245;1,3378;1;298;0,1912;0,9747;1,0066;1,0367;1
20231123 09:39:13;20231123 12:39:13;9,8;551;0,0802;0,737;1,2447;1,344;1;287;0,1955;0,963;1,0283;1,0499;1
20231123 09:49:13;20231123 12:49:13;9,8;545;0,0816;0,7382;1,2448;1,3416;1;296;0,191;0,9678;1,0199;1,0447;1
20231123 09:59:13;20231123 12:59:13;9,7;581;0,0724;0,7417;1,2451;1,3345;1;306;0,1859;0,9754;1,0052;1,0359;1
20231123 10:09:13;20231123 13:09:13;9,6;577;0,0726;0,7396;1,245;1,337;1;312;0,182;0,9803;0,9943;1,0294;1
20231123 10:19:14;20231123 13:19:14;9,4;566;0,074;0,7322;1,2444;1,3482;1;306;0,1795;0,9669;1,015;1,0418;1
20231123 10:29:14;20231123 13:29:14;9,2;551;0,076;0,7504;1,2443;1,3126;1;310;0,1827;0,9932;0,9635;1,0117;1
20231123 10:39:14;20231123 13:39:14;9,0;543;0,0757;0,7508;1,2439;1,3083;1;295;0,1889;0,9923;0,9597;1,0096;1
20231123 10:49:14;20231123 13:49:14;8,7;536;0,0749;0,7413;1,2448;1,3204;1;295;0,1801;0,9798;0,9759;1,0188;1
20231123 10:59:15;20231123 13:59:15;8,3;548;0,0696;0,7222;1,2442;1,3501;1;284;0,1771;0,9646;0,996;1,0304;1
20231123 11:09:15;20231123 14:09:15;7,9;553;0,0656;0,7082;1,2414;1,3703;1;291;0,1614;0,9447;1,0236;1,047;1
20231123 11:19:15;20231123 14:19:15;7,4;645;0,0419;0,701;1,2399;1,3772;0;271;0,1636;0,9333;1,0353;1,0543;1
20231123 11:29:15;20231123 14:29:15;6,9;602;0,0486;0,7063;1,2432;1,3591;0;249;0,1713;0,9412;1,0111;1,0394;1
20231123 11:39:15;20231123 14:39:15;6,4;569;0,053;0,7068;1,2443;1,3495;1;256;0,1587;0,9381;1,007;1,0369;1
20231123 11:49:16;20231123 14:49:16;5,8;590;0,0457;0,7085;1,245;1,3377;1;265;0,1477;0,941;0,992;1,0281;1
20231123 11:59:16;20231123 14:59:16;5,2;582;0,045;0,6869;1,2412;1,371;1;247;0,1478;0,9294;1,0059;1,0363;1
20231123 12:09:16;20231123 15:09:16;4,5;549;0,0477;0,6756;1,2377;1,3863;1;263;0,1386;0,9353;0,9902;1,027;1
20231123 12:19:16;20231123 15:19:16;3,8;653;0,0307;0,6899;1,244;1,3519;0;332;0,1116;0,9331;0,9951;1,0299;1
20231123 12:29:16;20231123 15:29:16;3,0;634;0,0319;0,672;1,2379;1,3856;0;358;0,1067;0,9155;1,036;1,0547;1
