DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250510 17:52:03;20250510 20:52:03;1.6;251;1;10671;0
20250510 18:00:25;20250510 21:00:25;0.7;135;1;-3354924;0
20250510 18:10:42;20250510 21:10:42;-0.3;196;1;644;0
20250510 18:21:16;20250510 21:21:16;-1.3;4062;0;16240;0
20250510 18:31:35;20250510 21:31:35;-2.3;1778;0;-1372087;0
20250510 18:42:00;20250510 21:42:00;-3.2;13045;0;2576;0
20250510 18:52:26;20250510 21:52:26;-4.1;235;1;381;1
20250510 19:02:54;20250510 22:02:54;-5.0;15214;0;238012959;0
20250510 19:30:04;20250510 22:30:04;-7.0;-6704;0;-1012;0
20250510 19:39:21;20250510 22:39:21;-7.7;-365323;0;135468;0
