DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250510 17:52:03;20250510 20:52:03;1,6;251;0,2472;-0,6899;1,2827;-0,8579;1;10671;1,5;-0,2857;29,5757;-3,8828;0
20250510 18:00:25;20250510 21:00:25;0,7;135;0,8936;-0,7581;1,1386;-0,7383;1;-3354924;-1,25;-0,0444;944,5756;-25,3445;0
20250510 18:10:42;20250510 21:10:42;-0,3;196;0,8816;-1,5833;0,7878;-0,3477;1;644;1,7812;4,5714;1,0561;0,2475;0
20250510 18:21:16;20250510 21:21:16;-1,3;4062;-2,2093;-0,4778;1,8108;-1,2123;0;16240;1,5625;-0,2192;46,9425;-5,0922;0
20250510 18:31:35;20250510 21:31:35;-2,3;1778;-1,1731;-1,04;0,9918;-0,5983;0;-1372087;-6,1429;0,1944;35,2687;5,6224;0
20250510 18:42:00;20250510 21:42:00;-3,2;13045;-2,303;-0,3402;3,3747;-1,9424;0;2576;0,7059;0,4016;6,5124;2,6738;0
20250510 18:52:26;20250510 21:52:26;-4,1;235;0,2312;-5,1667;0,6732;-0,1334;1;381;0,0533;-12,5;1,589;-0,085;1
20250510 19:02:54;20250510 22:02:54;-5,0;15214;-1,8095;-1,0;1,1059;-0,709;0;238012959;-4,0;0,0093;18022,4049;114,2709;0
20250510 19:30:04;20250510 22:30:04;-7,0;-6704;2,2969;0,6757;1,0855;1,098;0;-1012;1,201;1,0234;1,0329;1,0422;0
20250510 19:39:21;20250510 22:39:21;-7,7;-365323;0,6875;-0,0407;209,9015;-18,4528;0;135468;-1,2174;0,1759;42,1359;6,0951;0
